	mass_A
t	x
2.440000E0	1.395431E2
2.445000E0	1.408541E2
2.448333E0	1.421590E2
2.453333E0	1.411455E2
2.456667E0	1.423446E2
2.461667E0	1.426496E2
2.465000E0	1.432758E2
2.470000E0	1.433449E2
2.473333E0	1.441617E2
2.478333E0	1.444582E2
2.481667E0	1.452390E2
2.485000E0	1.451210E2
2.490000E0	1.455474E2
2.493333E0	1.460415E2
2.498333E0	1.456621E2
2.501667E0	1.460743E2
2.506667E0	1.465173E2
2.510000E0	1.472773E2
2.515000E0	1.465870E2
2.518333E0	1.467874E2
2.523333E0	1.469713E2
2.526667E0	1.467582E2
2.531667E0	1.470524E2
2.535000E0	1.473355E2
2.540000E0	1.473256E2
2.543333E0	1.475860E2
2.548333E0	1.477370E2
2.551667E0	1.482089E2
2.556667E0	1.480901E2
2.560000E0	1.483129E2
2.565000E0	1.482473E2
2.568333E0	1.478320E2
2.573333E0	1.482343E2
2.576667E0	1.482656E2
2.581667E0	1.481199E2
2.585000E0	1.481724E2
2.590000E0	1.480499E2
2.593333E0	1.479764E2
2.598333E0	1.471313E2
2.601667E0	1.468069E2
2.606667E0	1.469632E2
2.610000E0	1.463459E2
2.615000E0	1.457599E2
2.618333E0	1.456865E2
2.623333E0	1.449687E2
2.626667E0	1.449042E2
2.631667E0	1.439538E2
2.635000E0	1.440519E2
2.640000E0	1.434658E2
2.643333E0	1.432665E2
2.648333E0	1.431069E2
2.651667E0	1.420885E2
2.656667E0	1.422022E2
2.660000E0	1.414375E2
2.665000E0	1.412779E2
2.668333E0	1.404584E2
2.673333E0	1.402695E2
2.676667E0	1.390526E2
2.681667E0	1.389873E2
2.685000E0	1.377933E2
2.690000E0	1.367380E2
2.693333E0	1.360318E2
2.698333E0	1.356306E2
2.701667E0	1.350547E2
2.706667E0	1.338691E2
2.710000E0	1.331841E2
2.715000E0	1.322204E2
2.718333E0	1.320896E2
2.723333E0	1.307416E2
2.726667E0	1.297301E2
2.731667E0	1.295956E2
2.735000E0	1.274567E2
2.740000E0	1.264523E2
