	mass_B
t	x
1.885000E1	-2.808767E-2
2.066333E1	-3.644692E-2
2.069333E1	-3.610398E-2
2.069833E1	-3.713280E-2
2.070167E1	-3.713280E-2
2.070667E1	-3.713280E-2
2.071000E1	-3.713280E-2
2.072667E1	-3.713280E-2
2.073167E1	-3.713280E-2
2.073500E1	-3.644692E-2
2.074000E1	-3.610398E-2
2.074833E1	-3.610398E-2
2.075167E1	-3.610398E-2
2.075667E1	-3.576104E-2
2.076000E1	-3.507516E-2
2.076500E1	-3.507516E-2
2.076833E1	-3.438928E-2
2.077333E1	-3.404634E-2
2.077667E1	-3.370340E-2
2.078500E1	-3.370340E-2
2.079000E1	-3.301752E-2
2.079333E1	-3.267458E-2
2.079833E1	-3.233164E-2
2.080667E1	-3.164576E-2
2.081000E1	-3.130282E-2
2.081500E1	-3.061694E-2
2.081833E1	-2.958812E-2
2.082333E1	-2.890224E-2
2.082667E1	-2.890224E-2
2.083167E1	-2.821636E-2
2.083500E1	-2.821636E-2
2.084000E1	-2.787342E-2
2.084333E1	-2.684459E-2
2.084833E1	-2.650165E-2
2.085667E1	-2.547283E-2
2.086000E1	-2.512989E-2
2.086500E1	-2.478695E-2
2.086833E1	-2.410107E-2
2.087333E1	-2.375813E-2
2.087667E1	-2.272931E-2
2.088167E1	-2.272931E-2
2.088500E1	-2.204343E-2
2.089000E1	-2.135755E-2
2.089333E1	-2.101461E-2
2.089833E1	-2.032873E-2
2.090167E1	-1.964285E-2
2.091000E1	-1.895697E-2
2.091500E1	-1.792815E-2
2.091833E1	-1.724227E-2
2.092667E1	-1.621345E-2
2.093167E1	-1.552757E-2
2.093500E1	-1.484169E-2
2.094000E1	-1.381287E-2
2.094333E1	-1.278405E-2
2.094833E1	-1.209817E-2
2.095167E1	-1.072641E-2
2.095667E1	-1.038347E-2
2.096000E1	-9.697586E-3
2.096500E1	-9.011706E-3
2.096833E1	-7.982885E-3
2.097667E1	-6.268184E-3
2.098167E1	-5.239364E-3
2.098500E1	-3.867603E-3
2.099333E1	-2.495842E-3
2.099833E1	-1.809962E-3
2.100167E1	-1.124082E-3
2.100667E1	2.476790E-4
2.101000E1	9.335594E-4
2.101500E1	1.962380E-3
2.101833E1	3.677081E-3
2.102333E1	4.705901E-3
2.102667E1	5.734722E-3
2.103167E1	6.077662E-3
2.103500E1	8.135303E-3
2.104333E1	8.821183E-3
2.104833E1	1.087882E-2
2.105167E1	1.190764E-2
2.105667E1	1.225059E-2
2.106000E1	1.362235E-2
2.106500E1	1.499411E-2
2.106833E1	1.636587E-2
2.107333E1	1.739469E-2
2.107667E1	1.842351E-2
2.108167E1	1.945233E-2
2.108500E1	2.048115E-2
2.109000E1	2.116703E-2
2.109333E1	2.356761E-2
2.110167E1	2.665407E-2
2.111000E1	2.768289E-2
2.111500E1	2.939759E-2
2.111833E1	3.076935E-2
2.112333E1	3.179817E-2
2.112667E1	3.214112E-2
2.113167E1	3.316994E-2
2.113500E1	3.454170E-2
2.114000E1	3.557052E-2
2.114333E1	3.762816E-2
2.114833E1	3.865698E-2
2.115167E1	4.037168E-2
2.115667E1	4.174344E-2
2.116000E1	4.551578E-2
2.117333E1	4.723048E-2
2.117667E1	4.825930E-2
2.118167E1	5.031694E-2
2.118500E1	5.203165E-2
2.119000E1	5.408929E-2
2.119333E1	5.477517E-2
2.119833E1	5.546105E-2
2.120167E1	5.614693E-2
2.120667E1	5.751869E-2
2.121000E1	5.957633E-2
2.121500E1	6.060515E-2
2.121833E1	6.266279E-2
