10000
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
875990.691, -4.3088e+01, -5.9197e+01
856919.067, -4.3020e+01, -5.7355e+01
838262.66, -4.2915e+01, -5.9713e+01
820012.43, -4.2496e+01, -5.7352e+01
802159.536, -4.2236e+01, -5.6466e+01
784695.326, -4.2171e+01, -5.5570e+01
767611.337, -4.2181e+01, -5.7368e+01
750899.293, -4.2057e+01, -5.5031e+01
734551.095, -4.1743e+01, -5.5411e+01
718558.821, -4.1628e+01, -5.6138e+01
702914.723, -4.1641e+01, -5.6503e+01
687611.221, -4.1226e+01, -5.5333e+01
672640.898, -4.1455e+01, -5.4905e+01
657996.502, -4.1156e+01, -5.5103e+01
643670.936, -4.0639e+01, -5.4442e+01
629657.259, -4.0458e+01, -5.4445e+01
615948.681, -4.0616e+01, -5.3136e+01
602538.559, -4.0346e+01, -5.3716e+01
589420.395, -4.0147e+01, -5.1978e+01
576587.833, -4.0003e+01, -5.2345e+01
564034.656, -3.9591e+01, -5.0328e+01
551754.78, -3.9514e+01, -5.0314e+01
539742.255, -3.9188e+01, -5.0502e+01
527991.26, -3.8924e+01, -4.8184e+01
516496.102, -3.9596e+01, -4.6286e+01
505251.211, -3.8971e+01, -4.4283e+01
494251.138, -3.9215e+01, -4.2503e+01
483490.554, -3.9282e+01, -4.2854e+01
472964.243, -3.9422e+01, -4.4022e+01
462667.105, -3.9277e+01, -4.3688e+01
452594.152, -3.9071e+01, -4.5299e+01
442740.502, -3.9251e+01, -4.4395e+01
433101.38, -3.8865e+01, -4.3095e+01
423672.117, -3.8589e+01, -4.3740e+01
414448.142, -3.8571e+01, -4.3327e+01
405424.988, -3.8595e+01, -4.2499e+01
396598.281, -3.8396e+01, -4.2205e+01
387963.744, -3.8132e+01, -4.2224e+01
379517.195, -3.8164e+01, -4.1211e+01
371254.539, -3.8008e+01, -4.0760e+01
363171.773, -3.7972e+01, -4.0912e+01
355264.982, -3.7977e+01, -4.1113e+01
347530.333, -3.7936e+01, -4.1597e+01
339964.079, -3.7751e+01, -4.0445e+01
332562.554, -3.7625e+01, -3.9305e+01
325322.171, -3.7502e+01, -3.8355e+01
318239.421, -3.7477e+01, -3.7483e+01
311310.874, -3.7279e+01, -3.5844e+01
304533.172, -3.7312e+01, -3.8016e+01
297903.03, -3.7330e+01, -3.6539e+01
291417.237, -3.6988e+01, -3.4320e+01
285072.649, -3.6964e+01, -3.4455e+01
278866.192, -3.6999e+01, -3.3169e+01
