
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.12868920e+06, -3.9845e+01, -1.4830e+01
2.08601078e+06, -4.0161e+01, -1.3801e+01
2.04418802e+06, -3.9767e+01, -1.4636e+01
2.00320377e+06, -3.9594e+01, -1.3209e+01
1.96304122e+06, -3.9543e+01, -1.3812e+01
1.92368389e+06, -3.9430e+01, -1.4877e+01
1.88511565e+06, -3.9428e+01, -1.4151e+01
1.84732067e+06, -3.9631e+01, -1.4501e+01
1.81028344e+06, -3.9741e+01, -1.5537e+01
1.77398878e+06, -3.9944e+01, -1.4804e+01
1.73842180e+06, -3.9414e+01, -1.4973e+01
1.70356791e+06, -3.9535e+01, -1.4734e+01
1.66941280e+06, -3.9677e+01, -1.6349e+01
1.63594248e+06, -3.9669e+01, -1.6077e+01
1.60314321e+06, -3.9967e+01, -1.7265e+01
1.57100154e+06, -3.9617e+01, -1.6686e+01
1.53950428e+06, -3.9789e+01, -1.7918e+01
1.50863851e+06, -3.9531e+01, -1.7868e+01
1.47839158e+06, -3.9823e+01, -1.8285e+01
1.44875107e+06, -3.9861e+01, -2.0145e+01
1.41970483e+06, -4.0122e+01, -2.0022e+01
1.39124095e+06, -4.0137e+01, -2.3372e+01
1.36334774e+06, -4.0266e+01, -2.4466e+01
1.33601376e+06, -4.0053e+01, -2.7355e+01
1.30922781e+06, -3.9923e+01, -3.0009e+01
1.28297889e+06, -3.9501e+01, -3.3770e+01
1.25725625e+06, -3.9440e+01, -3.6247e+01
1.23204932e+06, -3.8815e+01, -3.9846e+01
1.20734777e+06, -3.8111e+01, -4.1008e+01
1.18314146e+06, -3.7227e+01, -4.0900e+01
1.15942047e+06, -3.6389e+01, -3.9292e+01
1.13617506e+06, -3.5754e+01, -3.6913e+01
1.11339571e+06, -3.5611e+01, -3.4189e+01
1.09107306e+06, -3.5288e+01, -3.0655e+01
1.06919797e+06, -3.5006e+01, -2.8745e+01
1.04776145e+06, -3.5028e+01, -2.6092e+01
1.02675471e+06, -3.4988e+01, -2.4447e+01
1.00616914e+06, -3.5005e+01, -2.2549e+01
9.85996299e+05, -3.5067e+01, -2.0957e+01
9.66227903e+05, -3.5145e+01, -1.9510e+01
9.46855846e+05, -3.5305e+01, -1.8642e+01
9.27872183e+05, -3.5165e+01, -1.7604e+01
9.09269127e+05, -3.5219e+01, -1.7004e+01
8.91039046e+05, -3.5243e+01, -1.6532e+01
8.73174463e+05, -3.5270e+01, -1.5535e+01
8.55668050e+05, -3.5374e+01, -1.5149e+01
8.38512625e+05, -3.5463e+01, -1.4211e+01
8.21701153e+05, -3.5287e+01, -1.3646e+01
8.05226736e+05, -3.5323e+01, -1.3351e+01
7.89082618e+05, -3.5260e+01, -1.3415e+01
7.73262175e+05, -3.5289e+01, -1.2826e+01
7.57758919e+05, -3.5378e+01, -1.2815e+01
7.42566491e+05, -3.5434e+01, -1.3037e+01
7.27678657e+05, -3.5546e+01, -1.2779e+01
7.13089313e+05, -3.5619e+01, -1.2090e+01
6.98792472e+05, -3.5492e+01, -1.3132e+01
6.84782271e+05, -3.5398e+01, -1.2902e+01
6.71052963e+05, -3.5132e+01, -1.2665e+01
6.57598916e+05, -3.5139e+01, -1.1738e+01
6.44414611e+05, -3.5158e+01, -1.1276e+01
6.31494640e+05, -3.5297e+01, -1.0895e+01
6.18833704e+05, -3.5299e+01, -1.0785e+01
6.06426609e+05, -3.5202e+01, -9.9440e+00
5.94268266e+05, -3.5255e+01, -1.0038e+01
5.82353687e+05, -3.5270e+01, -8.9345e+00
5.70677986e+05, -3.5389e+01, -9.4152e+00
5.59236372e+05, -3.5233e+01, -9.6980e+00
5.48024154e+05, -3.5190e+01, -9.5702e+00
5.37036731e+05, -3.5121e+01, -8.8234e+00
5.26269596e+05, -3.5252e+01, -7.6191e+00
5.15718334e+05, -3.4185e+01, -1.7270e+01
5.05378615e+05, -3.5176e+01, -5.3663e+00
4.95246199e+05, -3.5131e+01, -5.1650e+00
4.85316929e+05, -3.5367e+01, -4.1306e+00
4.75586733e+05, -3.5486e+01, -4.6261e+00
4.66051620e+05, -3.5470e+01, -4.1703e+00
4.56707677e+05, -3.5591e+01, -4.7966e+00
4.47551072e+05, -3.5664e+01, -4.1995e+00
4.38578050e+05, -3.5584e+01, -4.4742e+00
4.29784929e+05, -3.5582e+01, -5.1083e+00
4.21168103e+05, -3.5926e+01, -4.7837e+00
4.12724037e+05, -3.5786e+01, -4.8369e+00
4.04449267e+05, -3.5752e+01, -4.5361e+00
3.96340400e+05, -3.5893e+01, -4.8185e+00
3.88394108e+05, -3.5841e+01, -4.6143e+00
3.80607133e+05, -3.5766e+01, -4.1653e+00
3.72976281e+05, -3.6003e+01, -4.5514e+00
3.65498420e+05, -3.6135e+01, -4.7270e+00
3.58170484e+05, -3.6105e+01, -4.8604e+00
3.50989467e+05, -3.5946e+01, -5.5612e+00
3.43952424e+05, -3.5834e+01, -6.3345e+00
3.37056467e+05, -3.5719e+01, -5.7657e+00
3.30298769e+05, -3.5836e+01, -4.5513e+00
3.23676556e+05, -3.5868e+01, -3.9756e+00
3.17187114e+05, -3.5807e+01, -4.3889e+00
3.10827779e+05, -3.5846e+01, -4.1694e+00
3.04595944e+05, -3.5643e+01, -4.1632e+00
2.98489051e+05, -3.5934e+01, -4.0260e+00
2.92504597e+05, -3.5831e+01, -3.6497e+00
2.86640126e+05, -3.5813e+01, -3.4020e+00
2.80893233e+05, -3.5883e+01, -3.3409e+00
2.75261560e+05, -3.6162e+01, -3.8473e+00
2.69742797e+05, -3.6101e+01, -3.3100e+00
2.64334681e+05, -3.5955e+01, -2.5821e+00
2.59034993e+05, -3.5947e+01, -3.5698e+00
2.53841560e+05, -3.6020e+01, -3.0307e+00
2.48752250e+05, -3.6186e+01, -3.2976e+00
2.43764977e+05, -3.6231e+01, -2.6644e+00
2.38877694e+05, -3.6324e+01, -2.9868e+00
2.34088397e+05, -3.6227e+01, -3.3359e+00
2.29395122e+05, -3.6200e+01, -2.5262e+00
2.24795943e+05, -3.6332e+01, -2.2759e+00
2.20288973e+05, -3.6479e+01, -2.2270e+00
2.15872365e+05, -3.6403e+01, -2.7371e+00
2.11544305e+05, -3.6267e+01, -2.1673e+00
2.07303020e+05, -3.6557e+01, -2.2968e+00
2.03146769e+05, -3.6713e+01, -3.0317e+00
1.99073847e+05, -3.6683e+01, -1.7705e+00
1.95082584e+05, -3.6764e+01, -1.2864e+00
1.91171342e+05, -3.7023e+01, -2.5421e+00
1.87338518e+05, -3.7084e+01, -1.8220e+00
1.83582538e+05, -3.6988e+01, -1.4231e+00
1.79901863e+05, -3.6973e+01, -2.2151e+00
1.76294982e+05, -3.7132e+01, -1.7851e+00
1.72760416e+05, -3.7186e+01, -8.9107e-01
1.69296715e+05, -3.7547e+01, 8.9238e-01
1.65902458e+05, -3.7761e+01, -3.6337e-01
1.62576254e+05, -3.7521e+01, -7.2171e-01
1.59316736e+05, -3.7517e+01, -7.7859e-01
1.56122570e+05, -3.7840e+01, -1.3445e+00
1.52992444e+05, -3.8299e+01, 1.6620e-01
1.49925074e+05, -3.8222e+01, -1.1173e+00
1.46919203e+05, -3.8833e+01, 2.9978e-02
1.43973596e+05, -3.9044e+01, -1.5168e+00
1.41087047e+05, -3.8709e+01, 3.5569e-01
1.38258370e+05, -3.8960e+01, -1.0791e+00
1.35486406e+05, -3.9286e+01, -1.1972e-01
1.32770018e+05, -3.9414e+01, -7.7739e-01
1.30108091e+05, -3.9922e+01, -2.3979e+00
1.27499533e+05, -3.9748e+01, -1.7459e+00
1.24943275e+05, -3.9597e+01, -3.4449e+00
1.22438267e+05, -4.0743e+01, -7.0806e-01
1.19983483e+05, -4.0322e+01, -3.1901e+00
1.17577915e+05, -4.0602e+01, -1.7658e+00
1.15220577e+05, -4.0743e+01, -6.7084e+00
1.12910501e+05, -4.1536e+01, -2.1777e+00
1.10646741e+05, -4.1366e+01, -4.1985e+00
1.08428367e+05, -4.1573e+01, -4.7937e+00
1.06254469e+05, -4.2127e+01, -6.6207e+00
1.04124156e+05, -4.2742e+01, -3.9803e+00
1.02036555e+05, -4.3030e+01, -4.1670e+00
9.99908076e+04, -4.3171e+01, -1.4565e+00
9.79860760e+04, -4.3621e+01, -3.7904e+00
