
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.12868920e+06, -4.1546e+01, -3.0434e+01
2.08601078e+06, -4.1280e+01, -3.0902e+01
2.04418802e+06, -4.1249e+01, -3.0052e+01
2.00320377e+06, -4.1370e+01, -2.9050e+01
1.96304122e+06, -4.1076e+01, -3.0168e+01
1.92368389e+06, -4.1024e+01, -2.9603e+01
1.88511565e+06, -4.0918e+01, -3.0351e+01
1.84732067e+06, -4.0895e+01, -3.0352e+01
1.81028344e+06, -4.0747e+01, -2.9839e+01
1.77398878e+06, -4.0757e+01, -3.0108e+01
1.73842180e+06, -4.0739e+01, -3.0444e+01
1.70356791e+06, -4.0655e+01, -3.0381e+01
1.66941280e+06, -4.0494e+01, -3.0202e+01
1.63594248e+06, -4.0551e+01, -3.0013e+01
1.60314321e+06, -4.0621e+01, -3.0826e+01
1.57100154e+06, -4.0473e+01, -3.0300e+01
1.53950428e+06, -4.0683e+01, -3.0073e+01
1.50863851e+06, -4.0548e+01, -3.1485e+01
1.47839158e+06, -4.0605e+01, -3.1328e+01
1.44875107e+06, -4.0664e+01, -3.2340e+01
1.41970483e+06, -4.0731e+01, -3.2684e+01
1.39124095e+06, -4.0782e+01, -3.3450e+01
1.36334774e+06, -4.0704e+01, -3.4514e+01
1.33601376e+06, -4.0872e+01, -3.7254e+01
1.30922781e+06, -4.0667e+01, -3.9714e+01
1.28297889e+06, -4.0479e+01, -4.3216e+01
1.25725625e+06, -4.0141e+01, -4.5704e+01
1.23204932e+06, -3.9702e+01, -4.8912e+01
1.20734777e+06, -3.9028e+01, -4.9766e+01
1.18314146e+06, -3.8553e+01, -4.9437e+01
1.15942047e+06, -3.7835e+01, -4.8597e+01
1.13617506e+06, -3.7395e+01, -4.7767e+01
1.11339571e+06, -3.6896e+01, -4.5658e+01
1.09107306e+06, -3.6534e+01, -4.3937e+01
1.06919797e+06, -3.6466e+01, -4.1224e+01
1.04776145e+06, -3.6210e+01, -3.9847e+01
1.02675471e+06, -3.6077e+01, -3.7748e+01
1.00616914e+06, -3.5974e+01, -3.6642e+01
9.85996299e+05, -3.5935e+01, -3.5215e+01
9.66227903e+05, -3.5967e+01, -3.3386e+01
9.46855846e+05, -3.5913e+01, -3.2496e+01
9.27872183e+05, -3.5962e+01, -3.2136e+01
9.09269127e+05, -3.5718e+01, -3.1328e+01
8.91039046e+05, -3.5708e+01, -3.0135e+01
8.73174463e+05, -3.5667e+01, -2.8916e+01
8.55668050e+05, -3.5728e+01, -2.8084e+01
8.38512625e+05, -3.5550e+01, -2.7620e+01
8.21701153e+05, -3.5666e+01, -2.6934e+01
8.05226736e+05, -3.5664e+01, -2.5826e+01
7.89082618e+05, -3.5719e+01, -2.6237e+01
7.73262175e+05, -3.5721e+01, -2.5227e+01
7.57758919e+05, -3.5596e+01, -2.4975e+01
7.42566491e+05, -3.5548e+01, -2.4962e+01
