4700
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
875990.691,-38.362,-45.249
856919.067,-38.303,-43.7
838262.66,-38.18,-43.683
820012.43,-38.098,-42.381
802159.536,-38.014,-40.895
784695.326,-37.894,-41.999
767611.337,-37.857,-40.473
750899.293,-37.635,-39.623
734551.095,-37.608,-40.329
718558.821,-37.626,-39.476
702914.723,-37.402,-39.739
687611.221,-37.37,-39.353
672640.898,-37.212,-38.584
657996.502,-37.03,-37.938
643670.936,-36.839,-37.47
629657.259,-36.727,-36.561
615948.681,-36.826,-35.829
602538.559,-36.73,-35.699
589420.395,-36.513,-35.101
576587.833,-36.256,-34.246
564034.656,-36.236,-33.753
551754.78,-36.214,-33.046
539742.255,-35.993,-31.751
527991.26,-35.888,-30.525
516496.102,-35.873,-29.701
505251.211,-35.873,-27.219
494251.138,-35.973,-25.907
483490.554,-36.122,-24.929
472964.243,-36.147,-25.804
462667.105,-36.29,-25.967
452594.152,-36.262,-26.715
442740.502,-36.078,-25.598
433101.38,-36.085,-25.389
423672.117,-36.08,-24.843
414448.142,-36.059,-24.574
405424.988,-36.054,-24.401
396598.281,-35.931,-23.539
387963.744,-35.98,-23.361
379517.195,-35.86,-23.888
371254.539,-35.926,-23.065
363171.773,-35.854,-22.222
355264.982,-35.896,-21.874
347530.333,-35.761,-22.465
339964.079,-35.802,-23.118
332562.554,-35.504,-21.325
325322.171,-35.599,-21.016
318239.421,-35.585,-20.472
311310.874,-35.439,-19.27
304533.172,-35.616,-19.394
297903.03,-35.726,-19.37
291417.237,-35.354,-17.58
285072.649,-35.682,-17.354
278866.192,-35.61,-17.522
272794.858,-35.497,-17.005
266855.707,-35.585,-16.22
261045.86,-35.689,-15.976
255362.502,-35.598,-16.148
249802.879,-35.832,-14.882
244364.298,-35.543,-14.87
239044.122,-35.713,-14.734
233839.775,-35.718,-14.328
228748.734,-35.748,-14.423
223768.533,-35.691,-13.683
218896.758,-35.787,-12.817
214131.049,-35.881,-12.701
209469.096,-35.856,-11.542
204908.641,-35.992,-12.314
200447.475,-35.913,-11.754
196083.434,-36.0,-11.287
191814.405,-36.044,-10.929
187638.319,-36.083,-10.744
183553.153,-36.085,-9.4307
179556.927,-36.189,-10.035
175647.704,-36.164,-8.6692
171823.592,-36.289,-8.2546
168082.736,-36.369,-8.7849
164423.324,-36.386,-8.3322
160843.583,-36.988,-8.4975
157341.778,-36.783,-7.8488
153916.212,-36.862,-7.1448
150565.227,-36.913,-7.2571
147287.197,-37.298,-6.5477
144080.535,-37.191,-5.8621
140943.687,-37.669,-5.8613
137875.132,-37.812,-6.7213
134873.385,-37.974,-5.4027
131936.99,-38.551,-7.0774
129064.525,-38.334,-5.141
126254.597,-38.75,-8.2527
123505.846,-38.896,-9.2158
120816.94,-38.91,-8.7913
118186.575,-39.461,-8.7599
115613.477,-39.389,-4.7979
113096.399,-39.672,-6.8874
110634.121,-40.164,-8.4858
108225.451,-40.169,-8.1263
105869.222,-40.843,-6.7239
103564.291,-41.081,-7.1257
101309.542,-41.806,-5.3339
99103.8817,-41.775,-5.5212
96946.2423,-42.01,-7.82
94835.578,-43.001,-6.7965
92770.8659,-43.741,-8.2618
90751.1057,-44.913,-12.674
88775.3187,-45.521,-7.6295
86842.5475,-46.537,-8.2246
84951.8556,-47.934,-8.6322
83102.3269,-50.09,-14.982
81293.0653,-51.7,-11.13
79523.1939,-56.306,-17.337
77791.8553,-58.326,-42.365
76098.2105,-66.097,-123.66
74441.4389,-63.113,-153.52
72820.7377,-55.04,-170.3
71235.3215,-51.263,-167.88
69684.4223,-48.614,-173.17
68167.2884,-46.254,-164.98
66683.1848,-44.577,-167.88
65231.3923,-42.454,-171.62
63811.2076,-41.326,-175.74
62421.9423,-40.488,-173.24
61062.9235,-39.211,-173.59
59733.4925,-37.972,-174.74
58433.0052,-37.306,-173.26
57160.8315,-36.51,-174.92
55916.3549,-35.658,-173.92
54698.9724,-34.742,-171.45
53508.0941,-33.968,-174.07
52343.1431,-33.298,-173.33
51203.5547,-32.62,-172.85
50088.7769,-31.94,-173.25
48998.2695,-31.216,-172.89
47931.504,-30.617,-172.58
46887.9637,-29.637,-172.19
45867.1427,-29.315,-172.07
44868.5466,-28.549,-172.04
43891.6913,-28.176,-171.17
42936.1037,-27.542,-171.16
42001.3207,-26.825,-171.79
41086.8892,-26.442,-169.96
40192.3663,-25.812,-169.71
39317.3185,-25.236,-169.0
38461.3218,-24.633,-170.04
37623.9614,-24.203,-169.04
36804.8317,-23.761,-168.81
36003.5355,-23.235,-168.64
35219.6848,-22.611,-168.23
34452.8997,-22.237,-167.76
33702.8087,-21.745,-167.42
32969.0482,-21.29,-167.06
32251.2629,-20.809,-166.36
31549.1047,-20.294,-165.93
30862.2336,-19.867,-165.38
30190.3168,-19.4,-164.96
29533.0285,-18.832,-164.94
28890.0504,-18.379,-164.43
28261.0709,-17.949,-163.85
27645.7852,-17.47,-163.24
27043.8952,-17.05,-162.32
26455.1092,-16.527,-162.06
25879.142,-16.036,-161.42
25315.7145,-15.603,-160.73
24764.5536,-15.096,-160.24
24225.3923,-14.633,-159.62
23697.9693,-14.159,-159.11
23182.0292,-13.637,-158.34
22677.3218,-13.177,-157.51
22183.6027,-12.706,-156.9
21700.6325,-12.268,-156.13
21228.1774,-11.773,-155.28
20766.0083,-11.316,-154.53
20313.9013,-10.847,-153.53
19871.6373,-10.364,-152.69
19439.0021,-9.8831,-151.73
19015.786,-9.435,-150.65
18601.784,-8.9749,-149.59
18196.7954,-8.498,-148.44
17800.624,-8.0178,-147.23
17413.0779,-7.5242,-146.18
17033.9692,-7.0118,-144.9
16663.1142,-6.5339,-143.53
16300.3334,-6.0694,-142.17
15945.4508,-5.5967,-140.62
15598.2945,-5.1316,-138.99
15258.6964,-4.6566,-137.41
14926.4918,-4.1692,-135.56
14601.5198,-3.6798,-133.78
14283.6229,-3.2155,-131.88
13972.6471,-2.7591,-129.79
13668.4417,-2.2797,-127.63
13370.8594,-1.8136,-125.33
13079.7558,-1.3387,-122.94
12794.99,-0.87768,-120.4
12516.424,-0.45695,-117.8
12243.9227,-0.06238,-115.01
11977.3543,0.32222,-112.16
11716.5894,0.69394,-109.2
11461.5017,1.0361,-106.07
11211.9677,1.3558,-102.92
10967.8665,1.6565,-99.731
10729.0797,1.9207,-96.382
10495.4916,2.1484,-93.078
10266.9891,2.3623,-89.72
10043.4614,2.5237,-86.398
9824.80024,2.6837,-83.054
9610.89968,2.806,-79.815
9401.65605,2.8927,-76.612
9196.96797,2.9521,-73.434
8996.73625,3.0002,-70.381
8800.86387,3.032,-67.468
8609.25593,3.0398,-64.652
8421.81958,3.0138,-61.89
8238.464,2.9964,-59.337
8059.10034,2.9411,-56.841
7883.6417,2.9075,-54.491
7712.00306,2.8461,-52.242
7544.10124,2.7743,-50.122
7379.8549,2.7096,-48.16
7219.18444,2.6379,-46.261
7062.01202,2.5643,-44.469
6908.26148,2.4891,-42.771
6757.85832,2.4123,-41.089
6610.72966,2.3353,-39.617
6466.80421,2.243,-38.115
6326.01223,2.1604,-36.748
6188.2855,2.0882,-35.45
6053.55729,2.0197,-34.251
5921.76231,1.9329,-33.02
5792.83671,1.8658,-31.916
5666.71801,1.8049,-30.818
5543.3451,1.7174,-29.845
5422.6582,1.6486,-28.913
5304.59884,1.5772,-28.017
5189.10981,1.5228,-27.118
5076.13514,1.4709,-26.271
4965.62011,1.4177,-25.429
4857.51114,1.3438,-24.662
4751.75588,1.2977,-23.985
4648.30306,1.2512,-23.285
4547.10257,1.1922,-22.545
4448.10536,1.1382,-21.921
4351.26346,1.0754,-21.289
4256.52996,1.0376,-20.639
4163.85895,1.012,-20.123
4073.20553,0.97342,-19.536
3984.52577,0.92288,-18.987
3897.77669,0.89935,-18.456
3812.91628,0.8408,-17.936
3729.9034,0.80141,-17.579
3648.69784,0.77094,-17.059
3569.26024,0.75632,-16.602
3491.55212,0.70078,-16.149
3415.53582,0.67062,-15.79
3341.1745,0.67225,-15.358
3268.43215,0.64142,-14.981
3197.2735,0.57502,-14.59
3127.66409,0.59387,-14.234
3059.57017,0.54764,-13.909
2992.95876,0.54223,-13.563
2927.79758,0.48984,-13.222
2864.05506,0.49623,-12.842
2801.70031,0.47843,-12.567
2740.70311,0.45221,-12.242
2681.03391,0.41461,-11.85
2622.6638,0.39796,-11.618
2565.5645,0.40116,-11.451
2509.70833,0.40026,-11.128
2455.06824,0.4022,-10.908
2401.61774,0.37005,-10.723
2349.33093,0.32145,-10.319
2298.18249,0.33175,-10.091
2248.14763,0.3035,-9.8885
2199.2021,0.31495,-9.7841
2151.32219,0.27696,-9.2699
2104.48469,0.23454,-9.1759
2058.66692,0.2541,-9.0137
2013.84667,0.27367,-8.8363
1970.00222,0.27319,-8.5415
1927.11233,0.23162,-8.3729
1885.15622,0.19576,-8.1967
1844.11356,0.2291,-7.9786
1803.96445,0.21673,-7.8755
1764.68946,0.16502,-7.5213
1726.26953,0.19446,-7.3
1688.68607,0.20523,-7.3572
1651.92085,0.15867,-7.1167
1615.95607,0.14272,-6.9094
1580.77429,0.16102,-6.838
1546.35848,0.19921,-6.7454
1512.69195,0.087832,-6.4276
1479.75839,0.1154,-6.1743
1447.54184,0.078192,-6.1073
1416.02669,0.093419,-5.8481
1385.19768,0.097196,-5.7402
1355.03986,0.11076,-5.7802
1325.53862,0.14857,-5.8325
1296.67966,0.096778,-5.4808
1268.44901,0.10397,-5.4229
1240.83298,0.10082,-5.266
1213.8182,0.10974,-5.152
1187.39156,0.12197,-5.0904
1161.54028,0.079285,-4.881
1136.25181,0.077455,-4.7313
1111.51391,0.11062,-4.7244
1087.3146,0.065184,-4.5693
1063.64214,0.066925,-4.3408
1040.48506,0.10252,-4.2344
1017.83215,0.02973,-4.2413
995.672421,0.056622,-4.0425
973.995147,0.017946,-3.96
952.789819,0.039948,-4.1468
932.046162,0.067669,-3.9177
911.754126,0.031218,-3.9861
891.903878,0.025764,-3.7918
872.4858,0.10009,-3.7278
853.490482,0.072676,-3.6613
834.90872,0.043728,-3.7008
816.731511,0.079736,-3.4996
798.950047,0.064441,-3.2147
781.555712,0.049028,-3.3892
764.540078,0.077858,-3.2429
747.8949,0.062081,-3.1229
731.612111,0.11504,-3.0874
715.683824,-0.082477,-2.7287
700.102319,0.14266,-2.9549
684.860047,0.097423,-2.9901
669.949621,0.10294,-2.9701
655.363818,0.073963,-2.7306
641.09557,0.0021025,-2.8015
627.137962,0.069981,-2.7242
613.484233,-0.063424,-2.2572
600.127766,-0.046244,-2.4485
587.062089,0.068565,-2.4813
574.280871,0.036094,-2.4561
561.777919,0.067303,-2.4685
549.547175,-0.0042313,-2.2938
537.582713,-0.045949,-2.344
525.878735,-0.003501,-2.0932
514.42957,0.0043879,-2.0054
503.229671,0.02995,-2.2026
492.27361,0.081809,-2.6421
481.556079,0.081115,-2.0194
471.071884,-0.030961,-1.4824
460.815946,0.18229,-2.4909
450.783295,0.048849,-1.8706
440.96907,0.0097408,-1.5253
431.368515,0.10026,-2.3774
421.976979,-0.080409,-1.6578
412.78991,-0.086425,-1.466
403.802858,-0.059801,-1.3583
395.011467,0.17031,-2.1558
386.411478,0.070141,-1.4209
377.998723,-0.012564,-1.5675
369.769127,0.11218,-1.969
361.718701,0.067368,-1.8841
353.843545,-0.037179,-1.3858
346.139843,0.081478,-1.7213
338.603862,-0.02081,-1.3662
331.231951,-0.055561,-0.91056
324.020537,0.11374,-1.8777
316.966126,-0.061117,-0.87104
310.065301,0.018336,-1.4424
303.314716,-0.088775,-0.84347
296.711102,0.042033,-1.1848
