
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.00000000e+07, -2.9141e+01, -6.5199e+01
1.94034664e+07, -2.9395e+01, -7.1799e+01
1.88247253e+07, -2.9334e+01, -7.7785e+01
1.82632462e+07, -2.9329e+01, -8.4016e+01
1.77185142e+07, -2.9269e+01, -9.0045e+01
1.71900297e+07, -2.9192e+01, -9.5833e+01
1.66773082e+07, -2.9014e+01, -1.0158e+02
1.61798794e+07, -2.8864e+01, -1.0695e+02
1.56972873e+07, -2.8711e+01, -1.1198e+02
1.52290893e+07, -2.8457e+01, -1.1688e+02
1.47748561e+07, -2.8276e+01, -1.2152e+02
1.43341711e+07, -2.8005e+01, -1.2590e+02
1.39066304e+07, -2.7693e+01, -1.2985e+02
1.34918417e+07, -2.7421e+01, -1.3341e+02
1.30894249e+07, -2.7140e+01, -1.3717e+02
1.26990107e+07, -2.6856e+01, -1.4053e+02
1.23202414e+07, -2.6499e+01, -1.4341e+02
1.19527695e+07, -2.6217e+01, -1.4650e+02
1.15962580e+07, -2.5874e+01, -1.4895e+02
1.12503801e+07, -2.5575e+01, -1.5142e+02
1.09148186e+07, -2.5235e+01, -1.5335e+02
1.05892658e+07, -2.4822e+01, -1.5549e+02
1.02734231e+07, -2.4465e+01, -1.5734e+02
9.96700099e+06, -2.4045e+01, -1.5866e+02
9.66971842e+06, -2.3616e+01, -1.6000e+02
9.38130280e+06, -2.3235e+01, -1.6107e+02
9.10148966e+06, -2.2806e+01, -1.6194e+02
8.83002243e+06, -2.2346e+01, -1.6289e+02
8.56665215e+06, -2.1932e+01, -1.6355e+02
8.31113734e+06, -2.1423e+01, -1.6389e+02
8.06324369e+06, -2.0967e+01, -1.6426e+02
7.82274389e+06, -2.0519e+01, -1.6457e+02
7.58941739e+06, -2.0055e+01, -1.6444e+02
7.36305025e+06, -1.9564e+01, -1.6432e+02
7.14343489e+06, -1.9095e+01, -1.6427e+02
6.93036993e+06, -1.8619e+01, -1.6386e+02
6.72365999e+06, -1.8129e+01, -1.6334e+02
6.52311552e+06, -1.7633e+01, -1.6287e+02
6.32855263e+06, -1.7152e+01, -1.6226e+02
6.13979290e+06, -1.6678e+01, -1.6151e+02
5.95666325e+06, -1.6185e+01, -1.6058e+02
5.77899575e+06, -1.5689e+01, -1.5968e+02
5.60662748e+06, -1.5202e+01, -1.5880e+02
5.43940039e+06, -1.4727e+01, -1.5783e+02
5.27716112e+06, -1.4250e+01, -1.5674e+02
5.11976091e+06, -1.3768e+01, -1.5554e+02
4.96705543e+06, -1.3274e+01, -1.5433e+02
4.81890465e+06, -1.2791e+01, -1.5318e+02
4.67517271e+06, -1.2336e+01, -1.5192e+02
4.53572782e+06, -1.1886e+01, -1.5066e+02
4.40044211e+06, -1.1431e+01, -1.4931e+02
4.26919152e+06, -1.0980e+01, -1.4790e+02
4.14185571e+06, -1.0531e+01, -1.4656e+02
4.01831789e+06, -1.0097e+01, -1.4526e+02
3.89846480e+06, -9.6865e+00, -1.4395e+02
3.78218653e+06, -9.2763e+00, -1.4257e+02
3.66937646e+06, -8.8735e+00, -1.4118e+02
3.55993113e+06, -8.4752e+00, -1.3978e+02
3.45375020e+06, -8.0810e+00, -1.3840e+02
3.35073629e+06, -7.6990e+00, -1.3704e+02
3.25079494e+06, -7.3164e+00, -1.3573e+02
3.15383452e+06, -6.9414e+00, -1.3445e+02
3.05976610e+06, -6.5816e+00, -1.3315e+02
2.96850343e+06, -6.2166e+00, -1.3187e+02
2.87996282e+06, -5.8627e+00, -1.3057e+02
2.79406308e+06, -5.5122e+00, -1.2933e+02
2.71072545e+06, -5.1555e+00, -1.2805e+02
2.62987350e+06, -4.7984e+00, -1.2681e+02
2.55143310e+06, -4.4502e+00, -1.2565e+02
2.47533232e+06, -4.1075e+00, -1.2448e+02
2.40150137e+06, -3.7771e+00, -1.2335e+02
2.32987255e+06, -3.4525e+00, -1.2223e+02
2.26038018e+06, -3.1281e+00, -1.2112e+02
2.19296054e+06, -2.8146e+00, -1.2005e+02
2.12755181e+06, -2.4960e+00, -1.1897e+02
2.06409399e+06, -2.1819e+00, -1.1784e+02
2.00252892e+06, -1.8997e+00, -1.1661e+02
1.94280013e+06, -1.6311e+00, -1.1595e+02
1.88485284e+06, -1.3152e+00, -1.1505e+02
1.82863394e+06, -1.0096e+00, -1.1416e+02
1.77409185e+06, -7.0555e-01, -1.1327e+02
1.72117658e+06, -4.0227e-01, -1.1243e+02
1.66983959e+06, -9.4042e-02, -1.1160e+02
1.62003382e+06, 2.3247e-01, -1.1084e+02
1.57171359e+06, 5.6649e-01, -1.1003e+02
1.52483458e+06, 9.3406e-01, -1.0916e+02
1.47935383e+06, 1.3180e+00, -1.0799e+02
1.43522961e+06, 1.6512e+00, -1.0638e+02
1.39242147e+06, 1.8984e+00, -1.0476e+02
1.35089016e+06, 2.1089e+00, -1.0351e+02
1.31059759e+06, 2.3170e+00, -1.0266e+02
1.27150681e+06, 2.5508e+00, -1.0185e+02
1.23358198e+06, 2.7963e+00, -1.0113e+02
1.19678833e+06, 3.0507e+00, -1.0039e+02
1.16109210e+06, 3.3059e+00, -9.9673e+01
1.12646058e+06, 3.5667e+00, -9.8949e+01
1.09286199e+06, 3.8327e+00, -9.8240e+01
1.06026555e+06, 4.0934e+00, -9.7537e+01
1.02864134e+06, 4.3548e+00, -9.6794e+01
9.97960386e+05, 4.6141e+00, -9.6136e+01
9.68194539e+05, 4.8760e+00, -9.5430e+01
9.39316508e+05, 5.1372e+00, -9.4829e+01
9.11299813e+05, 5.4195e+00, -9.4108e+01
8.84118763e+05, 5.6831e+00, -9.3332e+01
8.57748434e+05, 5.9365e+00, -9.2582e+01
8.32164644e+05, 6.1939e+00, -9.1879e+01
8.07343934e+05, 6.4513e+00, -9.1193e+01
7.83263543e+05, 6.7140e+00, -9.0490e+01
7.59901390e+05, 6.9813e+00, -8.9830e+01
7.37236053e+05, 7.2277e+00, -8.9074e+01
7.15246748e+05, 7.4783e+00, -8.8383e+01
6.93913311e+05, 7.7274e+00, -8.7666e+01
