
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
6.23670403e+06, -1.7299e+01, -1.6428e+02
6.06430649e+06, -1.6826e+01, -1.6372e+02
5.89667442e+06, -1.6326e+01, -1.6310e+02
5.73367611e+06, -1.5834e+01, -1.6250e+02
5.57518347e+06, -1.5353e+01, -1.6182e+02
5.42107194e+06, -1.4871e+01, -1.6109e+02
5.27122043e+06, -1.4398e+01, -1.6028e+02
5.12551118e+06, -1.3924e+01, -1.5947e+02
4.98382968e+06, -1.3463e+01, -1.5867e+02
4.84606461e+06, -1.2993e+01, -1.5778e+02
4.71210769e+06, -1.2531e+01, -1.5690e+02
4.58185366e+06, -1.2073e+01, -1.5606e+02
4.45520017e+06, -1.1614e+01, -1.5507e+02
4.33204768e+06, -1.1151e+01, -1.5416e+02
4.21229943e+06, -1.0679e+01, -1.5316e+02
4.09586131e+06, -1.0214e+01, -1.5220e+02
3.98264182e+06, -9.7308e+00, -1.5122e+02
3.87255199e+06, -9.2542e+00, -1.5026e+02
3.76550531e+06, -8.7798e+00, -1.4927e+02
3.66141766e+06, -8.3174e+00, -1.4829e+02
3.56020724e+06, -7.8687e+00, -1.4727e+02
3.46179452e+06, -7.4233e+00, -1.4627e+02
3.36610216e+06, -6.9673e+00, -1.4526e+02
3.27305498e+06, -6.5128e+00, -1.4428e+02
3.18257984e+06, -6.0630e+00, -1.4324e+02
3.09460565e+06, -5.6158e+00, -1.4224e+02
3.00906329e+06, -5.1623e+00, -1.4122e+02
2.92588552e+06, -4.7133e+00, -1.4016e+02
2.84500698e+06, -4.2720e+00, -1.3910e+02
2.76636412e+06, -3.8246e+00, -1.3801e+02
2.68989514e+06, -3.3612e+00, -1.3692e+02
2.61553995e+06, -2.8983e+00, -1.3580e+02
2.54324011e+06, -2.4343e+00, -1.3467e+02
2.47293882e+06, -1.9701e+00, -1.3348e+02
2.40458082e+06, -1.5086e+00, -1.3225e+02
2.33811241e+06, -1.0369e+00, -1.3099e+02
2.27348134e+06, -5.5331e-01, -1.2969e+02
2.21063683e+06, -6.7357e-02, -1.2830e+02
2.14952949e+06, 4.2304e-01, -1.2686e+02
2.09011131e+06, 9.1618e-01, -1.2530e+02
2.03233559e+06, 1.4134e+00, -1.2354e+02
1.97615693e+06, 1.8616e+00, -1.2183e+02
1.92153118e+06, 2.3788e+00, -1.2034e+02
1.86841543e+06, 2.9044e+00, -1.1844e+02
1.81676791e+06, 3.4190e+00, -1.1644e+02
1.76654807e+06, 3.9335e+00, -1.1428e+02
1.71771641e+06, 4.4406e+00, -1.1200e+02
1.67023459e+06, 4.9559e+00, -1.0955e+02
1.62406527e+06, 5.4743e+00, -1.0691e+02
1.57917219e+06, 6.0079e+00, -1.0405e+02
1.53552006e+06, 6.5517e+00, -1.0086e+02
1.49307458e+06, 7.0761e+00, -9.7136e+01
1.45180240e+06, 7.5465e+00, -9.2718e+01
1.41167107e+06, 7.8665e+00, -8.8005e+01
1.37264908e+06, 8.0889e+00, -8.3577e+01
1.33470575e+06, 8.2668e+00, -7.9617e+01
1.29781126e+06, 8.4405e+00, -7.5768e+01
1.26193662e+06, 8.5970e+00, -7.1938e+01
