Different Corner Frequency No Op-Amp
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
1.84390120e+06, -7.0608e+01, 5.8641e+01
1.80235522e+06, -7.9799e+01, 7.7759e+01
1.76174532e+06, -7.1081e+01, 5.4908e+01
1.72205043e+06, -7.4318e+01, 2.7149e+01
1.68324993e+06, -7.2291e+01, 5.1577e+01
1.64532367e+06, -7.2983e+01, 7.5077e+01
1.60825195e+06, -7.6765e+01, 1.9802e+01
1.57201550e+06, -8.0478e+01, 1.2587e+02
1.53659553e+06, -8.0629e+01, 1.3716e+01
1.50197362e+06, -7.2677e+01, 7.0680e+01
1.46813179e+06, -7.6620e+01, 7.9550e+01
1.43505248e+06, -6.9855e+01, 5.0954e+01
1.40271849e+06, -7.8157e+01, 1.0533e+02
1.37111304e+06, -7.7235e+01, 3.9643e+01
1.34021972e+06, -8.5453e+01, 5.2478e+01
1.31002246e+06, -7.3050e+01, 6.8020e+01
1.28050560e+06, -7.0568e+01, 6.3413e+01
1.25165380e+06, -7.6983e+01, 5.9564e+01
1.22345207e+06, -7.6695e+01, 1.0023e+02
1.19588578e+06, -8.4639e+01, 9.3076e+01
1.16894059e+06, -7.4456e+01, 3.5574e+01
1.14260253e+06, -7.3306e+01, -6.4434e-01
1.11685790e+06, -7.4039e+01, 1.7212e+01
1.09169333e+06, -7.6658e+01, 2.8494e+01
1.06709577e+06, -7.3598e+01, 8.0154e+01
1.04305243e+06, -7.2762e+01, 5.2486e+01
1.01955082e+06, -7.9408e+01, 1.1707e+01
9.96578738e+05, -7.5147e+01, 4.7990e+01
9.74124254e+05, -8.2701e+01, -3.8250e+01
9.52175706e+05, -7.4774e+01, 7.7015e+01
9.30721692e+05, -7.4475e+01, -1.2239e+02
9.09751071e+05, -7.4820e+01, -3.0258e+01
8.89252951e+05, -7.3523e+01, -3.9337e+01
8.69216686e+05, -7.5357e+01, -5.1163e+01
8.49631870e+05, -7.3263e+01, 3.5819e+01
8.30488330e+05, -7.4102e+01, -1.0613e+01
8.11776124e+05, -7.3851e+01, -3.7474e+01
7.93485533e+05, -7.7225e+01, -6.3537e+01
7.75607059e+05, -7.0273e+01, -1.9872e+01
7.58131414e+05, -7.7319e+01, -1.5601e+02
7.41049523e+05, -6.9622e+01, -4.4174e+01
7.24352514e+05, -7.3466e+01, -3.3199e+01
7.08031714e+05, -7.1996e+01, -4.8929e+01
6.92078648e+05, -7.0310e+01, -2.9799e+01
6.76485030e+05, -7.7758e+01, -6.2447e+01
6.61242760e+05, -7.3318e+01, -6.6931e+01
6.46343923e+05, -7.7328e+01, -3.8699e+01
6.31780779e+05, -7.9689e+01, -6.9438e+01
6.17545767e+05, -6.6052e+01, -4.4749e+01
6.03631491e+05, -7.0293e+01, -4.1557e+01
5.90030726e+05, -7.0617e+01, -2.6887e+01
5.76736407e+05, -6.7599e+01, -3.8931e+01
5.63741631e+05, -6.6349e+01, -4.4740e+01
5.51039647e+05, -6.3344e+01, -2.8975e+01
5.38623858e+05, -6.0782e+01, -2.1270e+01
5.26487817e+05, -6.0989e+01, -1.7499e+01
5.14625220e+05, -6.8952e+01, 1.3512e+02
5.03029906e+05, -6.0401e+01, 4.0967e+01
4.91695852e+05, -5.8405e+01, 4.3964e+01
4.80617173e+05, -5.9420e+01, 6.5682e+01
4.69788113e+05, -5.9404e+01, 6.6778e+01
4.59203050e+05, -6.1729e+01, 8.4375e+01
4.48856484e+05, -6.2137e+01, 8.4760e+01
4.38743043e+05, -6.1486e+01, 8.1485e+01
4.28857473e+05, -6.6353e+01, 7.5330e+01
4.19194641e+05, -7.0788e+01, 9.3679e+01
4.09749528e+05, -6.5715e+01, 8.4623e+01
4.00517228e+05, -6.2754e+01, 9.0505e+01
3.91492946e+05, -6.3486e+01, 6.7429e+01
3.82671995e+05, -6.6285e+01, 9.3375e+01
3.74049794e+05, -6.7729e+01, 7.9983e+01
3.65621865e+05, -6.5810e+01, 6.6240e+01
3.57383830e+05, -6.6470e+01, 1.0625e+02
3.49331412e+05, -6.8592e+01, 7.1076e+01
3.41460427e+05, -6.7299e+01, 8.6293e+01
3.33766787e+05, -7.4704e+01, 1.0760e+02
3.26246497e+05, -7.3456e+01, 6.5598e+01
3.18895652e+05, -6.5437e+01, 7.6324e+01
3.11710432e+05, -6.9785e+01, 9.4201e+01
3.04687107e+05, -6.8583e+01, 5.6444e+01
2.97822028e+05, -6.6986e+01, 7.4350e+01
2.91111630e+05, -6.6021e+01, 9.8881e+01
2.84552428e+05, -6.4368e+01, 7.8917e+01
2.78141015e+05, -6.7279e+01, 8.7090e+01
2.71874061e+05, -6.6683e+01, 1.0808e+02
2.65748312e+05, -6.7475e+01, 1.4004e+02
2.59760585e+05, -7.0480e+01, 1.1721e+02
2.53907771e+05, -6.7671e+01, 1.1576e+02
2.48186831e+05, -6.7111e+01, 8.3355e+01
2.42594792e+05, -6.7155e+01, 1.3259e+02
2.37128750e+05, -7.0021e+01, 8.8580e+01
2.31785867e+05, -6.9632e+01, 1.0198e+02
2.26563368e+05, -6.6303e+01, 1.0909e+02
2.21458539e+05, -6.8702e+01, 7.5102e+01
2.16468731e+05, -6.8788e+01, 9.7610e+01
