Different Corner Frequency No Op-Amp
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
1.45335222e+07, -6.1134e+01, -3.0385e+01
1.41212704e+07, -6.1812e+01, -3.7786e+01
1.37207123e+07, -6.2361e+01, -3.8949e+01
1.33315164e+07, -6.3762e+01, -4.4920e+01
1.29533602e+07, -6.2503e+01, -5.0198e+01
1.25859306e+07, -6.5884e+01, -5.1734e+01
1.22289233e+07, -6.6306e+01, -4.4057e+01
1.18820428e+07, -6.6315e+01, -4.4205e+01
1.15450018e+07, -6.7779e+01, -6.4566e+01
1.12175211e+07, -6.8914e+01, -7.4281e+01
1.08993296e+07, -7.0144e+01, -3.8535e+01
1.05901637e+07, -7.1872e+01, -5.8751e+01
1.02897676e+07, -6.9578e+01, -6.0889e+01
9.99789235e+06, -7.6595e+01, -1.0472e+02
9.71429633e+06, -7.5152e+01, -3.8717e+01
9.43874466e+06, -7.1956e+01, -1.8513e+01
9.17100918e+06, -7.2051e+01, -2.4371e+01
8.91086818e+06, -7.2654e+01, -3.1915e+01
8.65810622e+06, -6.6431e+01, -1.3378e+01
8.41251401e+06, -7.0874e+01, -3.7692e+01
8.17388816e+06, -6.8744e+01, -1.7564e+01
7.94203107e+06, -6.8870e+01, -5.0598e+00
7.71675074e+06, -6.8924e+01, -6.8001e+00
7.49786062e+06, -6.6786e+01, -2.3362e+01
7.28517944e+06, -6.4736e+01, -1.3783e+01
7.07853109e+06, -6.3613e+01, -3.2725e+00
6.87774444e+06, -6.4226e+01, -1.4721e+00
6.68265323e+06, -6.3029e+01, -1.5317e+01
6.49309588e+06, -6.2091e+01, -1.7285e+01
6.30891544e+06, -6.2175e+01, -1.6891e+01
6.12995939e+06, -6.1380e+01, -1.5269e+01
5.95607953e+06, -5.9492e+01, -2.3768e+01
5.78713187e+06, -5.9883e+01, -2.3982e+01
5.62297651e+06, -6.0027e+01, -2.6133e+01
5.46347751e+06, -5.9303e+01, -2.0313e+01
5.30850280e+06, -5.7927e+01, -2.0992e+01
5.15792403e+06, -5.7947e+01, -2.6096e+01
5.01161652e+06, -5.7557e+01, -2.9618e+01
4.86945910e+06, -5.7695e+01, -3.1859e+01
4.73133406e+06, -5.7032e+01, -3.2508e+01
4.59712702e+06, -5.7750e+01, -3.3793e+01
4.46672684e+06, -5.5521e+01, -3.3390e+01
4.34002554e+06, -5.5795e+01, -4.2678e+01
