Different Corner Frequency With Op-Amp
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
1.45335222e+07, -6.1985e+01, -1.4440e+02
1.41212704e+07, -6.0865e+01, -1.4125e+02
1.37207123e+07, -6.1996e+01, -1.6531e+02
1.33315164e+07, -6.1705e+01, -1.6890e+02
1.29533602e+07, -6.3187e+01, 1.7496e+02
1.25859306e+07, -6.1419e+01, 1.7161e+02
1.22289233e+07, -6.1471e+01, 1.7832e+02
1.18820428e+07, -6.1283e+01, 1.5888e+02
1.15450018e+07, -6.1900e+01, 1.5096e+02
1.12175211e+07, -6.0688e+01, 1.5678e+02
1.08993296e+07, -6.1564e+01, 1.4941e+02
1.05901637e+07, -6.1375e+01, 1.5359e+02
1.02897676e+07, -6.0776e+01, 1.3960e+02
9.99789235e+06, -5.9909e+01, 1.4554e+02
9.71429633e+06, -6.0313e+01, 1.3938e+02
9.43874466e+06, -5.9708e+01, 1.3362e+02
9.17100918e+06, -5.9752e+01, 1.3431e+02
8.91086818e+06, -5.9957e+01, 1.2154e+02
8.65810622e+06, -5.8989e+01, 1.1414e+02
8.41251401e+06, -5.8841e+01, 1.1957e+02
8.17388816e+06, -5.8976e+01, 1.0589e+02
7.94203107e+06, -5.8152e+01, 1.0974e+02
7.71675074e+06, -5.8220e+01, 1.0608e+02
7.49786062e+06, -5.8619e+01, 1.0988e+02
7.28517944e+06, -5.7800e+01, 1.0552e+02
7.07853109e+06, -5.8243e+01, 1.0037e+02
6.87774444e+06, -5.7019e+01, 9.9821e+01
6.68265323e+06, -5.6312e+01, 9.7946e+01
6.49309588e+06, -5.6287e+01, 9.3038e+01
6.30891544e+06, -5.5824e+01, 9.7835e+01
6.12995939e+06, -5.5481e+01, 9.3137e+01
5.95607953e+06, -5.5064e+01, 9.6089e+01
5.78713187e+06, -5.5351e+01, 9.2701e+01
5.62297651e+06, -5.5801e+01, 8.9742e+01
5.46347751e+06, -5.5159e+01, 9.4567e+01
5.30850280e+06, -5.4350e+01, 9.2219e+01
5.15792403e+06, -5.3700e+01, 8.9325e+01
5.01161652e+06, -5.3030e+01, 9.3791e+01
4.86945910e+06, -5.2770e+01, 9.5477e+01
4.73133406e+06, -5.2819e+01, 9.3494e+01
4.59712702e+06, -5.2539e+01, 9.7967e+01
4.46672684e+06, -5.1277e+01, 1.0129e+02
4.34002554e+06, -5.1632e+01, 9.9355e+01
4.21691819e+06, -5.0820e+01, 1.0349e+02
4.09730286e+06, -5.0528e+01, 1.0394e+02
3.98108048e+06, -4.9830e+01, 1.1093e+02
3.86815482e+06, -4.9621e+01, 1.1539e+02
3.75843236e+06, -4.9343e+01, 1.1637e+02
3.65182224e+06, -4.8625e+01, 1.2404e+02
3.54823618e+06, -4.7959e+01, 1.2741e+02
