Gain = 1.06 dB
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
20000000.0, -2.9524e+01, -8.7598e+00
19251533.3, -2.9684e+01, -1.9183e+01
18531076.6, -2.9846e+01, -2.9660e+01
17837581.9, -2.9843e+01, -3.9665e+01
17170040.1, -2.9837e+01, -4.9584e+01
16527479.9, -2.9735e+01, -5.9249e+01
15908966.4, -2.9709e+01, -6.7987e+01
15313599.8, -2.9494e+01, -7.6846e+01
14740513.8, -2.9294e+01, -8.5078e+01
14188874.6, -2.9102e+01, -9.2584e+01
13657879.6, -2.8841e+01, -9.9407e+01
13146756.2, -2.8540e+01, -1.0625e+02
12654760.7, -2.8213e+01, -1.1243e+02
12181177.3, -2.7820e+01, -1.1802e+02
11725317.0, -2.7389e+01, -1.2337e+02
11286516.5, -2.6986e+01, -1.2808e+02
10864137.4, -2.6515e+01, -1.3233e+02
10457565.1, -2.5969e+01, -1.3627e+02
10066208.1, -2.5456e+01, -1.3982e+02
9689497.04, -2.4909e+01, -1.4296e+02
9326883.73, -2.4338e+01, -1.4571e+02
8977840.62, -2.3733e+01, -1.4818e+02
8641859.86, -2.3058e+01, -1.5026e+02
8318452.63, -2.2397e+01, -1.5212e+02
8007148.38, -2.1694e+01, -1.5375e+02
7707494.16, -2.0987e+01, -1.5501e+02
7419054.01, -2.0211e+01, -1.5609e+02
7141408.26, -1.9458e+01, -1.5706e+02
6874152.93, -1.8678e+01, -1.5767e+02
6616899.19, -1.7897e+01, -1.5818e+02
6369272.74, -1.7083e+01, -1.5849e+02
6130913.3, -1.6273e+01, -1.5869e+02
5901474.07, -1.5451e+01, -1.5866e+02
5680621.22, -1.4629e+01, -1.5847e+02
5468033.41, -1.3785e+01, -1.5818e+02
5263401.36, -1.2913e+01, -1.5766e+02
5066427.32, -1.2015e+01, -1.5705e+02
4876824.7, -1.1094e+01, -1.5627e+02
4694317.65, -1.0152e+01, -1.5532e+02
4518640.62, -9.2088e+00, -1.5422e+02
4349538.01, -8.2889e+00, -1.5290e+02
4186763.78, -7.3692e+00, -1.5142e+02
4030081.11, -6.4164e+00, -1.4968e+02
3879262.02, -5.4165e+00, -1.4769e+02
3734087.1, -4.4114e+00, -1.4540e+02
3594345.1, -3.4112e+00, -1.4279e+02
3459832.71, -2.3598e+00, -1.3979e+02
3330354.22, -1.3317e+00, -1.3637e+02
3205721.26, -2.9925e-01, -1.3244e+02
3085752.47, 6.8756e-01, -1.2799e+02
2970273.31, 1.6426e+00, -1.2291e+02
2859115.78, 2.5436e+00, -1.1717e+02
2752118.12, 3.3669e+00, -1.1078e+02
2649124.68, 4.0877e+00, -1.0382e+02
2549985.59, 4.6783e+00, -9.6400e+01
2454556.62, 5.1165e+00, -8.8753e+01
2362698.92, 5.4007e+00, -8.1101e+01
2274278.85, 5.5401e+00, -7.3710e+01
2189167.74, 5.5507e+00, -6.6788e+01
2107241.78, 5.4642e+00, -6.0403e+01
2028381.76, 5.3050e+00, -5.4534e+01
1952472.95, 5.0391e+00, -4.9581e+01
1879404.9, 4.8301e+00, -4.5269e+01
1809071.29, 4.5919e+00, -4.1317e+01
1741369.81, 4.3541e+00, -3.7853e+01
1676201.94, 4.1228e+00, -3.4773e+01
1613472.87, 3.9054e+00, -3.1975e+01
1553091.33, 3.7050e+00, -2.9398e+01
1494969.47, 3.5084e+00, -2.6838e+01
1439022.72, 3.2764e+00, -2.4390e+01
1385169.69, 3.0139e+00, -2.2481e+01
1333332.02, 2.7854e+00, -2.1044e+01
1283434.29, 2.5967e+00, -1.9772e+01
1235403.89, 2.4290e+00, -1.8594e+01
1189170.96, 2.2804e+00, -1.7476e+01
1144668.21, 2.1412e+00, -1.6431e+01
1101830.91, 2.0162e+00, -1.5453e+01
1060596.72, 1.8969e+00, -1.4538e+01
1020905.65, 1.7864e+00, -1.3689e+01
982699.954, 1.6828e+00, -1.2914e+01
945924.043, 1.5843e+00, -1.2255e+01
910524.409, 1.5202e+00, -1.1590e+01
876449.547, 1.4371e+00, -1.0866e+01
843649.88, 1.3598e+00, -1.0248e+01
812077.687, 1.2837e+00, -9.6775e+00
781687.03, 1.2149e+00, -9.1539e+00
752433.693, 1.1526e+00, -8.6542e+00
724275.113, 1.0911e+00, -8.1641e+00
697170.322, 1.0316e+00, -7.7196e+00
671079.882, 9.7819e-01, -7.3143e+00
645965.833, 9.2489e-01, -6.9341e+00
621791.636, 8.7765e-01, -6.5639e+00
598522.119, 8.3375e-01, -6.2183e+00
576123.424, 7.8855e-01, -5.9021e+00
554562.963, 7.5093e-01, -5.6305e+00
533809.366, 7.1550e-01, -5.3575e+00
513832.438, 6.7997e-01, -5.1256e+00
494603.114, 6.6408e-01, -4.8096e+00
476093.415, 6.3176e-01, -4.5407e+00
458276.411, 5.9919e-01, -4.3015e+00
441126.178, 5.7063e-01, -4.0927e+00
424617.765, 5.4310e-01, -3.8881e+00
408727.151, 5.1820e-01, -3.6929e+00
393431.217, 4.9758e-01, -3.5260e+00
378707.708, 4.7497e-01, -3.3287e+00
364535.202, 4.5706e-01, -3.2025e+00
350893.078, 4.3978e-01, -3.0383e+00
337761.488, 4.2201e-01, -2.8829e+00
325121.327, 4.0625e-01, -2.7322e+00
312954.202, 3.8970e-01, -2.6168e+00
301242.411, 3.7603e-01, -2.4933e+00
289968.915, 3.6398e-01, -2.3733e+00
279117.31, 3.5273e-01, -2.2714e+00
268671.809, 3.4194e-01, -2.1465e+00
258617.214, 3.2815e-01, -2.0564e+00
248938.895, 3.1872e-01, -1.9606e+00
239622.77, 3.1132e-01, -1.8785e+00
230655.287, 3.0230e-01, -1.7554e+00
222023.396, 2.8989e-01, -1.7004e+00
213714.54, 2.8629e-01, -1.6099e+00
205716.629, 2.7508e-01, -1.5371e+00
198018.026, 2.6947e-01, -1.4591e+00
190607.531, 2.6664e-01, -1.3818e+00
183474.361, 2.5981e-01, -1.3322e+00
176608.138, 2.5305e-01, -1.2557e+00
169998.872, 2.5160e-01, -1.1750e+00
163636.947, 2.4179e-01, -1.1006e+00
157513.107, 2.3365e-01, -1.0637e+00
151618.441, 2.3079e-01, -1.0093e+00
145944.373, 2.2761e-01, -9.9273e-01
140482.647, 2.1424e-01, -9.4043e-01
135225.318, 2.1784e-01, -8.7732e-01
130164.735, 2.1181e-01, -8.5112e-01
125293.536, 2.1071e-01, -8.0976e-01
120604.634, 2.0283e-01, -7.6218e-01
116091.206, 2.0864e-01, -7.4239e-01
111746.686, 2.0588e-01, -6.8227e-01
107564.752, 2.0229e-01, -6.4576e-01
103539.32, 1.9528e-01, -6.0808e-01
99664.5333, 2.0110e-01, -5.9965e-01
95934.7539, 1.9723e-01, -5.4311e-01
92344.5553, 1.9372e-01, -5.2109e-01
88888.7139, 1.9030e-01, -4.8353e-01
85562.2016, 1.8609e-01, -4.6705e-01
82360.1785, 1.8774e-01, -4.1192e-01
79277.9858, 1.8334e-01, -4.0124e-01
76311.139, 1.8440e-01, -3.7961e-01
73455.3215, 1.8668e-01, -3.6415e-01
70706.3783, 1.7690e-01, -2.9363e-01
68060.3097, 1.7965e-01, -2.7322e-01
65513.2658, 1.7994e-01, -2.5535e-01
63061.5408, 1.7708e-01, -2.2984e-01
60701.5675, 1.7883e-01, -1.7644e-01
58429.9123, 1.7005e-01, -1.7598e-01
56243.27, 1.7199e-01, -1.6529e-01
54138.4591, 1.6741e-01, -1.2239e-01
52112.4174, 1.6455e-01, -1.1713e-01
50162.1968, 1.5903e-01, -9.7320e-02
48284.96, 1.6384e-01, -8.1860e-02
46477.9757, 1.6391e-01, -8.0642e-02
44738.6147, 1.5857e-01, -3.3408e-02
43064.3465, 1.5952e-01, -4.9373e-02
41452.7349, 1.5663e-01, -1.0253e-02
39901.4353, 1.5067e-01, 2.7356e-02
