
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.00000000e+07, -2.9901e+01, -6.5487e+01
1.93511888e+07, -2.9633e+01, -7.2304e+01
1.87234255e+07, -2.9617e+01, -7.9105e+01
1.81160271e+07, -2.9621e+01, -8.6055e+01
1.75283331e+07, -2.9493e+01, -9.2548e+01
1.69597042e+07, -2.9372e+01, -9.8900e+01
1.64095219e+07, -2.9186e+01, -1.0455e+02
1.58771878e+07, -2.8951e+01, -1.1024e+02
1.53621230e+07, -2.8721e+01, -1.1570e+02
1.48637672e+07, -2.8436e+01, -1.2075e+02
1.43815783e+07, -2.8227e+01, -1.2539e+02
1.39150318e+07, -2.7927e+01, -1.3005e+02
1.34636204e+07, -2.7666e+01, -1.3410e+02
1.30268531e+07, -2.7308e+01, -1.3798e+02
1.26042547e+07, -2.7000e+01, -1.4127e+02
1.21953656e+07, -2.6634e+01, -1.4478e+02
1.17997412e+07, -2.6264e+01, -1.4771e+02
1.14169510e+07, -2.5856e+01, -1.5035e+02
1.10465787e+07, -2.5461e+01, -1.5273e+02
1.06882215e+07, -2.5043e+01, -1.5495e+02
1.03414897e+07, -2.4666e+01, -1.5702e+02
1.00060060e+07, -2.4218e+01, -1.5849e+02
9.68140556e+06, -2.3785e+01, -1.6004e+02
9.36733536e+06, -2.3325e+01, -1.6131e+02
9.06345377e+06, -2.2825e+01, -1.6234e+02
8.76943028e+06, -2.2337e+01, -1.6313e+02
8.48494506e+06, -2.1850e+01, -1.6371e+02
8.20968871e+06, -2.1345e+01, -1.6408e+02
7.94336183e+06, -2.0828e+01, -1.6444e+02
7.68567474e+06, -2.0296e+01, -1.6457e+02
7.43634716e+06, -1.9758e+01, -1.6440e+02
7.19510791e+06, -1.9197e+01, -1.6435e+02
6.96169459e+06, -1.8652e+01, -1.6402e+02
6.73585333e+06, -1.8103e+01, -1.6347e+02
6.51733849e+06, -1.7543e+01, -1.6285e+02
6.30591239e+06, -1.6994e+01, -1.6227e+02
6.10134508e+06, -1.6470e+01, -1.6146e+02
5.90341404e+06, -1.5926e+01, -1.6043e+02
5.71190399e+06, -1.5382e+01, -1.5949e+02
5.52660664e+06, -1.4858e+01, -1.5850e+02
5.34732044e+06, -1.4346e+01, -1.5737e+02
5.17385038e+06, -1.3838e+01, -1.5608e+02
5.00600778e+06, -1.3320e+01, -1.5480e+02
4.84361010e+06, -1.2804e+01, -1.5354e+02
4.68648068e+06, -1.2314e+01, -1.5220e+02
4.53444863e+06, -1.1822e+01, -1.5084e+02
4.38734859e+06, -1.1332e+01, -1.4939e+02
4.24502055e+06, -1.0837e+01, -1.4791e+02
4.10730972e+06, -1.0351e+01, -1.4647e+02
3.97406630e+06, -9.8848e+00, -1.4503e+02
3.84514537e+06, -9.4229e+00, -1.4356e+02
3.72040671e+06, -8.9743e+00, -1.4208e+02
3.59971464e+06, -8.5343e+00, -1.4058e+02
3.48293789e+06, -8.1013e+00, -1.3910e+02
3.36994944e+06, -7.6759e+00, -1.3764e+02
3.26062640e+06, -7.2519e+00, -1.3618e+02
3.15484986e+06, -6.8423e+00, -1.3480e+02
3.05250477e+06, -6.4348e+00, -1.3338e+02
2.95347981e+06, -6.0359e+00, -1.3200e+02
2.85766727e+06, -5.6443e+00, -1.3059e+02
2.76496295e+06, -5.2529e+00, -1.2922e+02
2.67526601e+06, -4.8646e+00, -1.2790e+02
2.58847889e+06, -4.4936e+00, -1.2657e+02
2.50450719e+06, -4.1194e+00, -1.2531e+02
2.42325958e+06, -3.7480e+00, -1.2404e+02
2.34464769e+06, -3.3749e+00, -1.2282e+02
2.26858601e+06, -3.0124e+00, -1.2162e+02
2.19499181e+06, -2.6558e+00, -1.2042e+02
2.12378505e+06, -2.2987e+00, -1.1923e+02
2.05488828e+06, -1.9442e+00, -1.1798e+02
1.98822656e+06, -1.6423e+00, -1.1671e+02
1.92372738e+06, -1.3038e+00, -1.1597e+02
1.86132059e+06, -9.4590e-01, -1.1494e+02
1.80093831e+06, -5.9296e-01, -1.1395e+02
1.74251487e+06, -2.4364e-01, -1.1297e+02
1.68598671e+06, 1.1019e-01, -1.1204e+02
1.63129236e+06, 4.7241e-01, -1.1113e+02
1.57837233e+06, 8.5276e-01, -1.1026e+02
1.52716905e+06, 1.2564e+00, -1.0925e+02
1.47762683e+06, 1.6752e+00, -1.0790e+02
1.42969179e+06, 2.0509e+00, -1.0608e+02
1.38331179e+06, 2.3197e+00, -1.0424e+02
1.33843639e+06, 2.5527e+00, -1.0293e+02
1.29501676e+06, 2.8036e+00, -1.0195e+02
1.25300570e+06, 3.0751e+00, -1.0104e+02
1.21235749e+06, 3.3615e+00, -1.0014e+02
1.17302794e+06, 3.6564e+00, -9.9282e+01
1.13497426e+06, 3.9530e+00, -9.8380e+01
1.09815506e+06, 4.2517e+00, -9.7470e+01
1.06253030e+06, 4.5511e+00, -9.6551e+01
1.02806122e+06, 4.8499e+00, -9.5645e+01
9.94710340e+05, 5.1463e+00, -9.4707e+01
9.62441382e+05, 5.4425e+00, -9.3807e+01
9.31219246e+05, 5.7487e+00, -9.2996e+01
9.01009974e+05, 6.0578e+00, -9.1949e+01
8.71780708e+05, 6.3528e+00, -9.0923e+01
8.43499655e+05, 6.6384e+00, -8.9948e+01
8.16136056e+05, 6.9313e+00, -8.8954e+01
7.89660147e+05, 7.2205e+00, -8.7956e+01
7.64043131e+05, 7.5104e+00, -8.6980e+01
7.39257145e+05, 7.7925e+00, -8.5945e+01
7.15275231e+05, 8.0697e+00, -8.4924e+01
6.92071303e+05, 8.3502e+00, -8.3895e+01
6.69620124e+05, 8.6236e+00, -8.2873e+01
6.47897273e+05, 8.8971e+00, -8.1823e+01
6.26879124e+05, 9.1610e+00, -8.0755e+01
6.06542816e+05, 9.4262e+00, -7.9702e+01
5.86866228e+05, 9.6859e+00, -7.8647e+01
5.67827960e+05, 9.9383e+00, -7.7548e+01
5.49407304e+05, 1.0190e+01, -7.6470e+01
5.31584225e+05, 1.0439e+01, -7.5397e+01
5.14339336e+05, 1.0692e+01, -7.4346e+01
4.97653881e+05, 1.0937e+01, -7.3199e+01
4.81509711e+05, 1.1176e+01, -7.2044e+01
