
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.00000000e+07, -2.9307e+01, -6.5869e+01
1.94034664e+07, -2.9434e+01, -7.2466e+01
1.88247253e+07, -2.9419e+01, -7.8740e+01
1.82632462e+07, -2.9429e+01, -8.4911e+01
1.77185142e+07, -2.9377e+01, -9.1173e+01
1.71900297e+07, -2.9284e+01, -9.7133e+01
1.66773082e+07, -2.9212e+01, -1.0247e+02
1.61798794e+07, -2.9058e+01, -1.0804e+02
1.56972873e+07, -2.8875e+01, -1.1340e+02
1.52290893e+07, -2.8698e+01, -1.1813e+02
1.47748561e+07, -2.8507e+01, -1.2276e+02
1.43341711e+07, -2.8238e+01, -1.2710e+02
1.39066304e+07, -2.7998e+01, -1.3117e+02
1.34918417e+07, -2.7746e+01, -1.3495e+02
1.30894249e+07, -2.7508e+01, -1.3879e+02
1.26990107e+07, -2.7182e+01, -1.4198e+02
1.23202414e+07, -2.6915e+01, -1.4517e+02
1.19527695e+07, -2.6589e+01, -1.4791e+02
1.15962580e+07, -2.6256e+01, -1.5063e+02
1.12503801e+07, -2.5945e+01, -1.5289e+02
1.09148186e+07, -2.5577e+01, -1.5528e+02
1.05892658e+07, -2.5210e+01, -1.5719e+02
1.02734231e+07, -2.4856e+01, -1.5901e+02
9.96700099e+06, -2.4435e+01, -1.6070e+02
9.66971842e+06, -2.4044e+01, -1.6218e+02
9.38130280e+06, -2.3645e+01, -1.6333e+02
9.10148966e+06, -2.3212e+01, -1.6433e+02
8.83002243e+06, -2.2798e+01, -1.6527e+02
8.56665215e+06, -2.2356e+01, -1.6609e+02
8.31113734e+06, -2.1905e+01, -1.6671e+02
8.06324369e+06, -2.1436e+01, -1.6721e+02
7.82274389e+06, -2.0963e+01, -1.6762e+02
7.58941739e+06, -2.0497e+01, -1.6786e+02
7.36305025e+06, -2.0013e+01, -1.6796e+02
7.14343489e+06, -1.9535e+01, -1.6799e+02
6.93036993e+06, -1.9040e+01, -1.6789e+02
6.72365999e+06, -1.8555e+01, -1.6781e+02
6.52311552e+06, -1.8085e+01, -1.6761e+02
6.32855263e+06, -1.7591e+01, -1.6729e+02
6.13979290e+06, -1.7092e+01, -1.6692e+02
5.95666325e+06, -1.6593e+01, -1.6650e+02
5.77899575e+06, -1.6081e+01, -1.6597e+02
5.60662748e+06, -1.5552e+01, -1.6549e+02
5.43940039e+06, -1.5020e+01, -1.6488e+02
5.27716112e+06, -1.4491e+01, -1.6423e+02
5.11976091e+06, -1.3945e+01, -1.6361e+02
4.96705543e+06, -1.3389e+01, -1.6293e+02
4.81890465e+06, -1.2839e+01, -1.6218e+02
4.67517271e+06, -1.2279e+01, -1.6146e+02
4.53572782e+06, -1.1714e+01, -1.6069e+02
4.40044211e+06, -1.1148e+01, -1.5989e+02
4.26919152e+06, -1.0565e+01, -1.5905e+02
4.14185571e+06, -9.9916e+00, -1.5820e+02
4.01831789e+06, -9.4086e+00, -1.5731e+02
3.89846480e+06, -8.8347e+00, -1.5643e+02
3.78218653e+06, -8.2606e+00, -1.5548e+02
3.66937646e+06, -7.6826e+00, -1.5452e+02
3.55993113e+06, -7.0913e+00, -1.5351e+02
3.45375020e+06, -6.4754e+00, -1.5246e+02
3.35073629e+06, -5.8487e+00, -1.5140e+02
3.25079494e+06, -5.2302e+00, -1.5026e+02
3.15383452e+06, -4.6091e+00, -1.4907e+02
3.05976610e+06, -3.9804e+00, -1.4780e+02
2.96850343e+06, -3.3585e+00, -1.4648e+02
2.87996282e+06, -2.7224e+00, -1.4507e+02
