Gain = 1.031 dB
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
20000000.0, -2.9471e+01, -1.0600e+01
19251533.3, -2.9749e+01, -2.2020e+01
18531076.6, -2.9844e+01, -3.2787e+01
17837581.9, -2.9905e+01, -4.3828e+01
17170040.1, -2.9936e+01, -5.4298e+01
16527479.9, -2.9824e+01, -6.4417e+01
15908966.4, -2.9704e+01, -7.4085e+01
15313599.8, -2.9485e+01, -8.3144e+01
14740513.8, -2.9227e+01, -9.1499e+01
14188874.6, -2.8971e+01, -9.9605e+01
13657879.6, -2.8688e+01, -1.0698e+02
13146756.2, -2.8302e+01, -1.1355e+02
12654760.7, -2.7894e+01, -1.1995e+02
12181177.3, -2.7474e+01, -1.2566e+02
11725317.0, -2.6999e+01, -1.3075e+02
11286516.5, -2.6535e+01, -1.3545e+02
10864137.4, -2.6017e+01, -1.3969e+02
10457565.1, -2.5467e+01, -1.4347e+02
10066208.1, -2.4903e+01, -1.4689e+02
9689497.04, -2.4285e+01, -1.4984e+02
9326883.73, -2.3687e+01, -1.5241e+02
8977840.62, -2.3062e+01, -1.5454e+02
8641859.86, -2.2398e+01, -1.5638e+02
8318452.63, -2.1707e+01, -1.5779e+02
8007148.38, -2.0991e+01, -1.5899e+02
7707494.16, -2.0245e+01, -1.5999e+02
7419054.01, -1.9483e+01, -1.6068e+02
7141408.26, -1.8702e+01, -1.6123e+02
6874152.93, -1.7936e+01, -1.6149e+02
6616899.19, -1.7124e+01, -1.6163e+02
6369272.74, -1.6295e+01, -1.6146e+02
6130913.3, -1.5467e+01, -1.6119e+02
5901474.07, -1.4635e+01, -1.6078e+02
5680621.22, -1.3781e+01, -1.6015e+02
5468033.41, -1.2904e+01, -1.5937e+02
5263401.36, -1.1990e+01, -1.5840e+02
5066427.32, -1.1058e+01, -1.5725e+02
4876824.7, -1.0105e+01, -1.5596e+02
4694317.65, -9.1501e+00, -1.5443e+02
4518640.62, -8.2260e+00, -1.5273e+02
4349538.01, -7.2970e+00, -1.5080e+02
4186763.78, -6.3327e+00, -1.4858e+02
4030081.11, -5.3371e+00, -1.4607e+02
3879262.02, -4.3399e+00, -1.4324e+02
3734087.1, -3.3599e+00, -1.4005e+02
3594345.1, -2.3407e+00, -1.3645e+02
3459832.71, -1.3586e+00, -1.3238e+02
3330354.22, -3.9797e-01, -1.2785e+02
3205721.26, 5.0064e-01, -1.2277e+02
3085752.47, 1.3396e+00, -1.1717e+02
2970273.31, 2.0892e+00, -1.1106e+02
2859115.78, 2.7563e+00, -1.0452e+02
2752118.12, 3.2979e+00, -9.7664e+01
2649124.68, 3.7182e+00, -9.0687e+01
2549985.59, 4.0076e+00, -8.3735e+01
2454556.62, 4.1797e+00, -7.7016e+01
2362698.92, 4.2470e+00, -7.0670e+01
2274278.85, 4.2274e+00, -6.4797e+01
2189167.74, 4.1464e+00, -5.9423e+01
2107241.78, 4.0209e+00, -5.4542e+01
2028381.76, 3.8644e+00, -5.0045e+01
1952472.95, 3.6320e+00, -4.6275e+01
1879404.9, 3.4705e+00, -4.2973e+01
1809071.29, 3.2972e+00, -3.9897e+01
1741369.81, 3.1274e+00, -3.7105e+01
1676201.94, 2.9661e+00, -3.4597e+01
1613472.87, 2.8168e+00, -3.2306e+01
1553091.33, 2.6860e+00, -3.0120e+01
1494969.47, 2.5607e+00, -2.7922e+01
1439022.72, 2.3875e+00, -2.5733e+01
1385169.69, 2.1847e+00, -2.3984e+01
1333332.02, 2.0097e+00, -2.2645e+01
1283434.29, 1.8679e+00, -2.1453e+01
1235403.89, 1.7473e+00, -2.0367e+01
1189170.96, 1.6417e+00, -1.9330e+01
1144668.21, 1.5447e+00, -1.8329e+01
1101830.91, 1.4563e+00, -1.7413e+01
1060596.72, 1.3705e+00, -1.6556e+01
1020905.65, 1.2902e+00, -1.5729e+01
982699.954, 1.2152e+00, -1.4956e+01
945924.043, 1.1411e+00, -1.4315e+01
910524.409, 1.1017e+00, -1.3644e+01
876449.547, 1.0434e+00, -1.2914e+01
843649.88, 9.8504e-01, -1.2280e+01
812077.687, 9.3055e-01, -1.1707e+01
781687.03, 8.8014e-01, -1.1158e+01
752433.693, 8.3758e-01, -1.0626e+01
724275.113, 7.9428e-01, -1.0127e+01
697170.322, 7.5340e-01, -9.6629e+00
671079.882, 7.1617e-01, -9.2332e+00
645965.833, 6.7931e-01, -8.8128e+00
621791.636, 6.4864e-01, -8.4057e+00
598522.119, 6.1533e-01, -8.0439e+00
576123.424, 5.8535e-01, -7.6908e+00
554562.963, 5.5896e-01, -7.3623e+00
533809.366, 5.3528e-01, -7.0716e+00
513832.438, 5.1593e-01, -6.7406e+00
494603.114, 5.0398e-01, -6.4402e+00
476093.415, 4.8169e-01, -6.1193e+00
458276.411, 4.6014e-01, -5.8512e+00
441126.178, 4.4054e-01, -5.5928e+00
424617.765, 4.2249e-01, -5.3634e+00
408727.151, 4.0668e-01, -5.1300e+00
393431.217, 3.8943e-01, -4.9112e+00
378707.708, 3.7581e-01, -4.7163e+00
364535.202, 3.6173e-01, -4.4899e+00
350893.078, 3.5199e-01, -4.3097e+00
337761.488, 3.4107e-01, -4.1228e+00
325121.327, 3.2811e-01, -3.9512e+00
312954.202, 3.1918e-01, -3.7729e+00
301242.411, 3.0864e-01, -3.6130e+00
289968.915, 2.9971e-01, -3.4689e+00
279117.31, 2.9223e-01, -3.3276e+00
268671.809, 2.8398e-01, -3.1814e+00
258617.214, 2.7787e-01, -3.0569e+00
248938.895, 2.7070e-01, -2.9137e+00
239622.77, 2.6609e-01, -2.7953e+00
230655.287, 2.5922e-01, -2.6915e+00
222023.396, 2.5313e-01, -2.5719e+00
213714.54, 2.4669e-01, -2.4453e+00
205716.629, 2.4300e-01, -2.3357e+00
198018.026, 2.3661e-01, -2.2375e+00
190607.531, 2.3705e-01, -2.1513e+00
183474.361, 2.3228e-01, -2.0522e+00
176608.138, 2.2427e-01, -1.9654e+00
169998.872, 2.2040e-01, -1.8803e+00
163636.947, 2.1869e-01, -1.7902e+00
157513.107, 2.1319e-01, -1.7031e+00
151618.441, 2.1199e-01, -1.6398e+00
145944.373, 2.0881e-01, -1.5550e+00
140482.647, 2.0652e-01, -1.5058e+00
135225.318, 2.0345e-01, -1.4191e+00
130164.735, 1.9299e-01, -1.3907e+00
125293.536, 1.9495e-01, -1.3464e+00
120604.634, 1.9081e-01, -1.2842e+00
116091.206, 1.8965e-01, -1.1750e+00
111746.686, 1.9235e-01, -1.1659e+00
107564.752, 1.8707e-01, -1.0974e+00
103539.32, 1.9414e-01, -1.0395e+00
99664.5333, 1.8763e-01, -9.8028e-01
95934.7539, 1.8463e-01, -9.3371e-01
92344.5553, 1.8244e-01, -8.8945e-01
88888.7139, 1.8647e-01, -8.2861e-01
85562.2016, 1.8555e-01, -7.8648e-01
82360.1785, 1.7622e-01, -7.8222e-01
79277.9858, 1.7628e-01, -7.0674e-01
76311.139, 1.7739e-01, -6.7669e-01
73455.3215, 1.7617e-01, -6.2662e-01
70706.3783, 1.7189e-01, -5.9669e-01
68060.3097, 1.7474e-01, -5.5095e-01
65513.2658, 1.7396e-01, -4.9864e-01
63061.5408, 1.7148e-01, -4.8171e-01
60701.5675, 1.6878e-01, -4.5272e-01
58429.9123, 1.6772e-01, -4.3355e-01
56243.27, 1.6578e-01, -3.8245e-01
54138.4591, 1.6487e-01, -3.8047e-01
52112.4174, 1.5987e-01, -3.5942e-01
50162.1968, 1.6239e-01, -2.8902e-01
48284.96, 1.6095e-01, -2.8221e-01
46477.9757, 1.5879e-01, -2.7400e-01
44738.6147, 1.6284e-01, -2.3347e-01
43064.3465, 1.5639e-01, -1.6831e-01
41452.7349, 1.5263e-01, -1.5268e-01
39901.4353, 1.5537e-01, -1.3121e-01
38408.1904, 1.5149e-01, -1.2297e-01
36970.8278, 1.5018e-01, -1.3104e-01
35587.256, 1.4741e-01, -8.6655e-02
34255.4622, 1.4680e-01, -4.3600e-02
32973.5085, 1.4467e-01, -4.8555e-02
31739.5297, 1.4535e-01, -4.6882e-02
30551.7306, 1.4050e-01, 2.2762e-02
29408.3829, 1.4012e-01, -1.3502e-03
28307.8231, 1.3719e-01, 3.4575e-02
27248.4499, 1.3170e-01, 2.7590e-02
26228.722, 1.3165e-01, 3.1044e-02
25247.1557, 1.3923e-01, 1.0016e-01
24302.3229, 1.3016e-01, 5.1412e-02
23392.8489, 1.2913e-01, 1.4868e-01
22517.4104, 1.2392e-01, 1.5526e-01
21674.7338, 1.2470e-01, 1.4061e-01
20863.5929, 1.1864e-01, 1.6523e-01
20082.8076, 1.1451e-01, 1.3709e-01
19331.242, 1.1408e-01, 1.2445e-01
18607.8024, 1.1814e-01, 1.5341e-01
17911.4363, 1.1921e-01, 1.8056e-01
17241.1306, 1.0668e-01, 1.6950e-01
16595.91, 1.0655e-01, 1.6696e-01
15974.8356, 1.0066e-01, 2.0891e-01
15377.004, 1.0453e-01, 2.4966e-01
14801.5452, 1.1028e-01, 1.7711e-01
14247.622, 1.0027e-01, 2.2647e-01
13714.4284, 9.8019e-02, 2.4683e-01
13201.1887, 1.0033e-01, 2.1147e-01
12707.1562, 9.7407e-02, 1.8227e-01
12231.612, 9.4947e-02, 2.1125e-01
11773.8643, 8.9569e-02, 1.8916e-01
11333.247, 8.8370e-02, 1.9809e-01
10909.1191, 8.4741e-02, 2.6155e-01
10500.8634, 8.3132e-02, 2.4573e-01
10107.8861, 8.2113e-02, 2.3952e-01
9729.61526, 8.1496e-02, 1.6090e-01
9365.50059, 8.0647e-02, 1.7085e-01
9015.0123, 8.2388e-02, 2.1564e-01
8677.64046, 7.9330e-02, 2.2887e-01
8352.8942, 7.8556e-02, 1.6078e-01
8040.30103, 7.3270e-02, 1.6320e-01
7739.40613, 6.8754e-02, 2.1007e-01
7449.77173, 6.8194e-02, 1.3722e-01
7170.97641, 7.8566e-02, 1.9062e-01
6902.61455, 6.3808e-02, 1.4873e-01
6644.29568, 6.9745e-02, 1.7115e-01
6395.64396, 6.3544e-02, 1.3088e-01
6156.29762, 7.4642e-02, 1.4022e-01
5925.90842, 7.2599e-02, 1.7667e-01
5704.14115, 6.7466e-02, 1.8332e-01
5490.67316, 6.4893e-02, 1.2078e-01
5285.19385, 5.7612e-02, 1.0147e-01
5087.40426, 6.6920e-02, 1.0687e-01
4897.01661, 6.5123e-02, 7.6864e-02
4713.75391, 6.7389e-02, 5.0233e-02
4537.34951, 6.9774e-02, 9.1424e-02
4367.54675, 6.2278e-02, 1.1148e-01
4204.09858, 6.4932e-02, 8.3666e-02
4046.76718, 6.4945e-02, 1.0552e-01
3895.32365, 7.3915e-02, 9.7622e-02
3749.54764, 6.8733e-02, 1.5222e-01
3609.22706, 6.4403e-02, 5.3467e-02
3474.15774, 6.3409e-02, 6.4424e-02
3344.14316, 6.1389e-02, 7.3568e-02
3218.99416, 6.4328e-02, 5.7289e-02
3098.52866, 6.5074e-02, 8.4544e-02
2982.57138, 6.4854e-02, 2.4667e-02
2870.95361, 6.8284e-02, 5.4883e-02
2763.51294, 6.3986e-02, 5.8908e-02
2660.09307, 5.6196e-02, 8.3117e-02
2560.54351, 6.6685e-02, 9.4493e-02
2464.71943, 6.0412e-02, 4.7360e-02
2372.4814, 7.3592e-02, 4.3559e-02
2283.69523, 5.7005e-02, 8.9769e-02
2198.23173, 5.4704e-02, 2.0670e-02
2115.96657, 4.5459e-02, 7.3337e-02
2036.78004, 6.1715e-02, 1.6640e-02
1960.55693, 6.1265e-02, 5.4824e-02
1887.18635, 7.1810e-02, 5.9936e-02
1816.56154, 6.0591e-02, 8.6483e-02
1748.57974, 5.5757e-02, -4.1630e-02
1683.14206, 6.8132e-02, 5.0078e-02
1620.15326, 6.0952e-02, -1.1372e-02
1559.52172, 6.3847e-02, 2.8512e-02
1501.15921, 5.8809e-02, -4.7931e-03
1444.98083, 6.1010e-02, 2.3578e-02
1390.90482, 5.1479e-02, 5.9988e-02
1338.85252, 6.2369e-02, 5.0117e-02
1288.74819, 5.3598e-02, 2.0639e-02
1240.51894, 4.9909e-02, 2.1153e-02
1194.09458, 5.4609e-02, 3.4273e-02
1149.40758, 5.6084e-02, 2.2485e-02
1106.39291, 4.6231e-02, 2.6918e-02
1064.98799, 5.4059e-02, -1.3022e-02
1025.13259, 5.4698e-02, 7.3254e-02
986.768707, 5.3815e-02, 2.8497e-02
949.840529, 5.5105e-02, 9.4897e-02
914.294327, 6.2876e-02, 1.8772e-01
880.078383, 6.0290e-02, 1.1611e-01
847.142913, 6.5752e-02, -4.5404e-04
815.439998, 4.7530e-02, -1.8659e-02
784.923512, 7.6823e-02, 2.2194e-02
755.549055, 7.6393e-02, 2.0815e-02
727.273889, 6.8106e-02, 1.4042e-02
700.056873, 6.8023e-02, -3.6531e-02
673.858409, 6.8783e-02, 3.4456e-03
648.640378, 4.3615e-02, 6.9659e-03
624.366091, 4.5186e-02, 3.3353e-02
601.000228, 6.9083e-02, 1.1497e-01
578.508794, 7.1887e-02, -1.2856e-02
556.859065, 5.6809e-02, 6.3823e-03
536.019541, 6.0942e-02, 2.6892e-02
515.959901, 5.5442e-02, -8.4671e-02
496.65096, 5.9647e-02, -2.6481e-03
478.064623, 3.3415e-02, -8.4953e-02
460.17385, 5.8043e-02, -3.4358e-02
442.952609, 6.8567e-02, -1.1475e-01
426.375844, 5.3108e-02, -9.7646e-02
410.419437, 7.1631e-02, -3.5100e-02
395.060173, 7.6662e-02, 9.3078e-02
380.275703, 6.3840e-02, -7.4830e-02
366.044517, 5.9730e-02, 8.4711e-02
352.34591, 5.3315e-02, 1.2488e-01
339.15995, 5.3137e-02, -3.5343e-03
326.467453, 5.5338e-02, 2.5599e-03
314.249951, 8.0561e-02, -1.1964e-01
302.48967, 7.1397e-02, 8.3988e-02
291.169497, 6.1253e-02, 8.9415e-02
280.272963, 5.6085e-02, 5.2118e-02
269.784213, 7.8917e-02, -3.0058e-02
259.687988, 6.0384e-02, 5.3399e-02
249.969597, 7.5675e-02, 1.0495e-01
240.6149, 6.0774e-02, -9.1462e-02
231.610288, 6.8901e-02, -4.0267e-02
222.942658, 4.6097e-02, -5.2634e-02
214.5994, 7.8496e-02, -9.4700e-02
206.568374, 6.2762e-02, 3.4120e-03
198.837896, 7.4466e-02, -1.3652e-02
191.396719, 8.1776e-02, 1.3165e-02
184.234015, 4.0148e-02, 8.3533e-02
177.339363, 7.0574e-02, -6.6723e-02
170.702732, 7.6577e-02, -1.5312e-01
164.314467, 5.0110e-02, 8.5437e-02
158.165271, 7.1815e-02, 3.8687e-02
152.246199, 5.3819e-02, 9.8461e-02
146.548638, 7.6153e-02, -2.1167e-02
141.064299, 6.0270e-02, 7.4654e-02
135.785202, 3.5100e-02, -2.1932e-02
130.703667, 8.3424e-02, -4.4856e-02
125.812299, 6.2347e-02, -6.7642e-02
121.103983, 5.4725e-02, -6.1927e-03
116.571868, 5.2161e-02, 2.8210e-02
112.20936, 7.6380e-02, 9.6331e-02
108.010111, 7.5015e-02, -1.5339e-02
103.968012, 6.2609e-02, 3.6091e-02
100.077182, 5.4822e-02, -6.5060e-02
96.3319603, 8.3170e-02, 4.3906e-03
92.7268969, 6.2609e-02, 1.7949e-02
89.256747, 5.0391e-02, -3.8652e-02
85.9164617, 5.7413e-02, 2.7161e-03
82.701181, 6.4475e-02, -6.7015e-02
79.6062269, 8.1513e-02, -3.5289e-03
76.6270962, 5.2717e-02, 7.7323e-03
73.7594546, 5.1759e-02, 2.4853e-02
70.9991297, 7.2228e-02, 1.0789e-01
68.3421053, 5.2848e-02, -1.2437e-02
65.7845157, 6.6225e-02, -2.6531e-02
