,peaktopeak,phase,frequency
0,0.2675,1.2362167091875835,400
1,0.4702,1.0037388528219389,800
2,0.6033,0.8049458510197848,1200
3,0.6864,0.6635741816082441,1600
4,0.7389,0.5600761569649803,2000
5,0.7719,0.4799655442984406,2400
6,0.7951,0.420449816805434,2800
7,0.8109,0.37437312455278365,3200
8,0.8219,0.3354522822333102,3600
9,0.8305,0.3036872898470133,4000
10,0.8433999999999999,0.24678955623199822,5000
11,0.8519,0.2075196480621258,6000
12,0.8606,0.15603243512829304,8000
13,0.8651,0.12479104151759457,10000
14,0.8682000000000001,0.10524335389525806,12000
15,0.8712000000000001,0.08325220532012953,15000
16,0.8735,0.06300638599699529,20000
17,0.8741,0.05026548245743671,25000
18,0.8741,0.04293509959906051,30000
