% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 100 mVpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 100 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 20.00000 MHz to 3.440054 Hz with 256 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2023-10-24 T 16:25:22 +0100
% Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.00000000e+07, -1.3178e+01, 6.2060e+01
1.88149333e+07, -1.3015e+01, 5.4725e+01
1.77000857e+07, -1.2779e+01, 4.7781e+01
1.66512966e+07, -1.2503e+01, 4.1251e+01
1.56646517e+07, -1.2184e+01, 3.5145e+01
1.47364689e+07, -1.1836e+01, 2.9544e+01
1.38632839e+07, -1.1478e+01, 2.4366e+01
1.30418381e+07, -1.1101e+01, 1.9546e+01
1.22690657e+07, -1.0727e+01, 1.5133e+01
1.15420826e+07, -1.0335e+01, 1.1019e+01
1.08581757e+07, -9.9394e+00, 7.2426e+00
1.02147926e+07, -9.5446e+00, 3.8121e+00
9.60953204e+06, -9.1538e+00, 7.2320e-01
9.04013521e+06, -8.7584e+00, -2.0906e+00
8.50447704e+06, -8.3707e+00, -4.6350e+00
8.00055841e+06, -7.9757e+00, -6.8551e+00
7.52649863e+06, -7.5866e+00, -8.8426e+00
7.08052848e+06, -7.2039e+00, -1.0561e+01
6.66098355e+06, -6.8302e+00, -1.2062e+01
6.26629805e+06, -6.4695e+00, -1.3333e+01
5.89499899e+06, -6.1194e+00, -1.4384e+01
5.54570063e+06, -5.7697e+00, -1.5261e+01
5.21709937e+06, -5.4380e+00, -1.5956e+01
4.90796883e+06, -5.1150e+00, -1.6471e+01
4.61715530e+06, -4.8063e+00, -1.6837e+01
4.34357345e+06, -4.4999e+00, -1.7048e+01
4.08620223e+06, -4.2105e+00, -1.7142e+01
3.84408112e+06, -3.9396e+00, -1.7133e+01
3.61630649e+06, -3.6938e+00, -1.7011e+01
3.40202827e+06, -3.4639e+00, -1.6817e+01
3.20044674e+06, -3.2538e+00, -1.6530e+01
3.01080960e+06, -3.0615e+00, -1.6178e+01
2.83240908e+06, -2.8764e+00, -1.5769e+01
2.66457940e+06, -2.7089e+00, -1.5338e+01
2.50669418e+06, -2.5524e+00, -1.4838e+01
2.35816419e+06, -2.4095e+00, -1.4328e+01
2.21843509e+06, -2.2752e+00, -1.3762e+01
2.08698541e+06, -2.1436e+00, -1.3125e+01
1.96332456e+06, -2.1010e+00, -1.2534e+01
1.84699103e+06, -1.9674e+00, -1.2175e+01
