% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Output 1), DC coupling, 1 x probe attenuation
% Time span 1.000 ms, time offset -5.278 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Sine, 10.000 000 000 kHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (on) - Sine, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-10-24 T 12:18:35 +0100
% Time (s), Channel A (Input 1) (V), Channel B (Output 1) (V)
4.777784000000e-03, -4.775281e-01, -4.892068e-01
4.778840000000e-03, -4.702003e-01, -4.814210e-01
4.779896000000e-03, -4.628725e-01, -4.714216e-01
4.780952000000e-03, -4.518808e-01, -4.594376e-01
4.782008000000e-03, -4.396678e-01, -4.453927e-01
4.783064000000e-03, -4.262335e-01, -4.294394e-01
4.784120000000e-03, -4.103566e-01, -4.115016e-01
4.785176000000e-03, -3.920371e-01, -3.917318e-01
4.786232000000e-03, -3.749390e-01, -3.703591e-01
4.787288000000e-03, -3.517343e-01, -3.472307e-01
4.788344000000e-03, -3.297509e-01, -3.227284e-01
4.789400000000e-03, -3.041036e-01, -2.966231e-01
4.790456000000e-03, -2.784563e-01, -2.692965e-01
4.791512000000e-03, -2.503664e-01, -2.408250e-01
4.792568000000e-03, -2.222765e-01, -2.112848e-01
4.793624000000e-03, -1.929653e-01, -1.807523e-01
4.794680000000e-03, -1.612115e-01, -1.494565e-01
4.795736000000e-03, -1.294577e-01, -1.175501e-01
4.796792000000e-03, -9.770396e-02, -8.503298e-02
4.797848000000e-03, -6.595017e-02, -5.221055e-02
4.798904000000e-03, -3.175379e-02, -1.915914e-02
4.799960000000e-03, 2.442599e-03, 1.396861e-02
4.801016000000e-03, 3.297509e-02, 4.702003e-02
4.802072000000e-03, 6.717147e-02, 7.991879e-02
4.803128000000e-03, 9.892526e-02, 1.125122e-01
4.804184000000e-03, 1.331216e-01, 1.444950e-01
