Same Corner Frequency With Op-Amp
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.00000000e+07, -5.6212e+01, -7.8320e+01
1.94400180e+07, -5.6360e+01, -8.1614e+01
1.88957149e+07, -5.7469e+01, -9.4456e+01
1.83666519e+07, -5.6652e+01, -9.6469e+01
1.78524021e+07, -5.7447e+01, -1.0661e+02
1.73525509e+07, -5.6007e+01, -1.1466e+02
1.68666950e+07, -5.6450e+01, -1.2594e+02
1.63944427e+07, -5.6523e+01, -1.3739e+02
1.59354130e+07, -5.6719e+01, -1.3851e+02
1.54892358e+07, -5.7737e+01, -1.4724e+02
1.50555511e+07, -5.7462e+01, -1.5619e+02
1.46340092e+07, -5.6912e+01, -1.5619e+02
1.42242700e+07, -5.5938e+01, -1.6941e+02
1.38260033e+07, -5.7144e+01, -1.7343e+02
1.34388876e+07, -5.6795e+01, -1.7380e+02
1.30626108e+07, -5.6515e+01, 1.7355e+02
1.26968694e+07, -5.5528e+01, 1.6977e+02
1.23413685e+07, -5.5408e+01, 1.6374e+02
1.19958212e+07, -5.5125e+01, 1.5887e+02
1.16599490e+07, -5.5361e+01, 1.5203e+02
1.13334809e+07, -5.5078e+01, 1.4940e+02
1.10161536e+07, -5.4915e+01, 1.3838e+02
1.07077112e+07, -5.5050e+01, 1.4006e+02
1.04079049e+07, -5.4350e+01, 1.3267e+02
1.01164929e+07, -5.4737e+01, 1.3077e+02
9.83324020e+06, -5.3791e+01, 1.2832e+02
9.55791831e+06, -5.3469e+01, 1.2659e+02
9.29030517e+06, -5.2945e+01, 1.2078e+02
9.03018497e+06, -5.2994e+01, 1.1553e+02
8.77734790e+06, -5.3145e+01, 1.1245e+02
8.53159004e+06, -5.2956e+01, 1.1065e+02
8.29271318e+06, -5.2506e+01, 1.0789e+02
8.06052466e+06, -5.2567e+01, 1.0847e+02
7.83483720e+06, -5.2467e+01, 1.0402e+02
7.61546879e+06, -5.2590e+01, 1.0403e+02
7.40224251e+06, -5.1943e+01, 9.9249e+01
7.19498636e+06, -5.1467e+01, 9.8475e+01
6.99353320e+06, -5.1381e+01, 9.4071e+01
6.79772055e+06, -5.0751e+01, 9.5886e+01
6.60739048e+06, -5.1099e+01, 9.6100e+01
6.42238948e+06, -5.0459e+01, 9.2582e+01
6.24256834e+06, -5.0443e+01, 8.8134e+01
6.06778203e+06, -4.9912e+01, 8.8328e+01
5.89788958e+06, -5.0264e+01, 9.0156e+01
5.73275397e+06, -4.9536e+01, 8.9134e+01
5.57224201e+06, -4.9441e+01, 8.8805e+01
5.41622423e+06, -4.9348e+01, 8.4773e+01
5.26457482e+06, -4.8995e+01, 8.7606e+01
5.11717145e+06, -4.8652e+01, 8.7808e+01
4.97389524e+06, -4.8377e+01, 8.8850e+01
4.83463064e+06, -4.8016e+01, 9.1180e+01
4.69926533e+06, -4.8055e+01, 9.0923e+01
4.56769012e+06, -4.7329e+01, 9.0179e+01
4.43979889e+06, -4.7015e+01, 9.2983e+01
4.31548851e+06, -4.7055e+01, 9.3276e+01
4.19465871e+06, -4.6709e+01, 9.8350e+01
4.07721203e+06, -4.6216e+01, 9.9314e+01
3.96305375e+06, -4.5606e+01, 1.0143e+02
3.85209181e+06, -4.5511e+01, 1.0563e+02
3.74423670e+06, -4.5003e+01, 1.1124e+02
3.63940143e+06, -4.5037e+01, 1.1279e+02
3.53750146e+06, -4.4596e+01, 1.1634e+02
3.43845459e+06, -4.4654e+01, 1.2148e+02
3.34218095e+06, -4.4327e+01, 1.2517e+02
3.24860289e+06, -4.3775e+01, 1.3220e+02
3.15764492e+06, -4.3702e+01, 1.3478e+02
3.06923370e+06, -4.3744e+01, 1.4073e+02
2.98329791e+06, -4.3787e+01, 1.4564e+02
2.89976825e+06, -4.3692e+01, 1.5186e+02
2.81857734e+06, -4.3719e+01, 1.6021e+02
2.73965971e+06, -4.3423e+01, 1.6507e+02
2.66295169e+06, -4.3881e+01, 1.6975e+02
2.58839144e+06, -4.3497e+01, 1.7353e+02
2.51591880e+06, -4.3458e+01, 1.7864e+02
2.44547533e+06, -4.3888e+01, -1.7695e+02
2.37700422e+06, -4.3814e+01, -1.7063e+02
2.31045024e+06, -4.3908e+01, -1.6632e+02
2.24575970e+06, -4.3671e+01, -1.6248e+02
2.18288045e+06, -4.3652e+01, -1.5998e+02
2.12176176e+06, -4.3462e+01, -1.5517e+02
2.06235433e+06, -4.3505e+01, -1.5163e+02
2.00461026e+06, -4.3585e+01, -1.4860e+02
1.94848298e+06, -4.3745e+01, -1.4575e+02
1.89392720e+06, -4.3707e+01, -1.4353e+02
1.84089894e+06, -4.3930e+01, -1.3971e+02
1.78935542e+06, -4.3559e+01, -1.3835e+02
1.73925508e+06, -4.3471e+01, -1.3472e+02
1.69055750e+06, -4.3177e+01, -1.3367e+02
1.64322340e+06, -4.3230e+01, -1.2970e+02
1.59721462e+06, -4.2615e+01, -1.2559e+02
1.55249405e+06, -4.2958e+01, -1.2615e+02
1.50902561e+06, -4.2087e+01, -1.2366e+02
1.46677425e+06, -4.2212e+01, -1.2380e+02
1.42570589e+06, -4.2061e+01, -1.1981e+02
1.38578740e+06, -4.2106e+01, -1.1716e+02
1.34698660e+06, -4.2042e+01, -1.1816e+02
1.30927218e+06, -4.1564e+01, -1.1441e+02
1.27261374e+06, -4.1460e+01, -1.1451e+02
1.23698170e+06, -4.1101e+01, -1.1293e+02
1.20234732e+06, -4.1252e+01, -1.1385e+02
1.16868267e+06, -4.1314e+01, -1.1063e+02
1.13596061e+06, -4.0926e+01, -1.0997e+02
1.10415473e+06, -4.0739e+01, -1.1149e+02
1.07323939e+06, -4.0546e+01, -1.0995e+02
1.04318965e+06, -4.0159e+01, -1.0840e+02
1.01398128e+06, -4.0126e+01, -1.0874e+02
9.85590711e+05, -3.9961e+01, -1.0741e+02
9.57995056e+05, -3.9707e+01, -1.0620e+02
9.31172055e+05, -3.9471e+01, -1.0584e+02
9.05100073e+05, -3.9247e+01, -1.0594e+02
8.79758084e+05, -3.8815e+01, -1.0417e+02
8.55125647e+05, -3.8725e+01, -1.0393e+02
8.31182897e+05, -3.8583e+01, -1.0299e+02
8.07910522e+05, -3.8314e+01, -1.0195e+02
7.85289753e+05, -3.7959e+01, -1.0111e+02
7.63302345e+05, -3.8053e+01, -1.0095e+02
7.41930565e+05, -3.7656e+01, -1.0146e+02
7.21157175e+05, -3.7241e+01, -1.0107e+02
7.00965422e+05, -3.7153e+01, -9.9662e+01
6.81339019e+05, -3.6960e+01, -9.9782e+01
6.62262138e+05, -3.6665e+01, -9.8891e+01
6.43719393e+05, -3.6251e+01, -9.7691e+01
6.25695828e+05, -3.6039e+01, -9.8217e+01
6.08176907e+05, -3.5891e+01, -9.7207e+01
5.91148499e+05, -3.5633e+01, -9.6896e+01
5.74596872e+05, -3.5388e+01, -9.6591e+01
