
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
1.45335222e+07, -6.0679e+01, -3.1610e+01
1.41212704e+07, -6.1647e+01, -2.8888e+01
1.37207123e+07, -6.2122e+01, -4.7541e+01
1.33315164e+07, -6.3770e+01, -4.2371e+01
1.29533602e+07, -6.3450e+01, -4.8763e+01
1.25859306e+07, -6.4238e+01, -5.2677e+01
1.22289233e+07, -6.6918e+01, -6.2111e+01
1.18820428e+07, -6.8119e+01, -4.5991e+01
1.15450018e+07, -6.8845e+01, -5.4961e+01
1.12175211e+07, -6.8152e+01, -4.1682e+01
1.08993296e+07, -6.8850e+01, -4.1326e+01
1.05901637e+07, -7.1960e+01, -6.8569e+01
1.02897676e+07, -7.2694e+01, -5.4330e+01
9.99789235e+06, -7.1675e+01, -5.8816e+01
9.71429633e+06, -7.3642e+01, -3.8832e+01
9.43874466e+06, -7.2347e+01, -1.4163e+01
9.17100918e+06, -6.8593e+01, -7.3787e+00
8.91086818e+06, -7.0713e+01, 8.7437e+00
8.65810622e+06, -7.0269e+01, -1.1074e+01
8.41251401e+06, -7.0617e+01, -1.1582e+01
8.17388816e+06, -6.8029e+01, -3.4556e+00
7.94203107e+06, -6.7717e+01, 4.4267e+00
7.71675074e+06, -6.8237e+01, 3.9742e+00
7.49786062e+06, -6.6284e+01, -5.4311e+00
7.28517944e+06, -6.8445e+01, -3.3471e+01
7.07853109e+06, -6.3793e+01, -6.8779e+00
6.87774444e+06, -6.6113e+01, -7.8970e+00
6.68265323e+06, -6.2658e+01, -2.2611e+00
6.49309588e+06, -6.1876e+01, -8.6035e+00
6.30891544e+06, -6.1864e+01, -7.7540e+00
6.12995939e+06, -6.1062e+01, -5.9938e+00
5.95607953e+06, -6.1611e+01, -1.6639e+01
5.78713187e+06, -6.1292e+01, -1.2360e+01
5.62297651e+06, -5.9157e+01, -1.7568e+01
5.46347751e+06, -6.0021e+01, -2.1809e+01
5.30850280e+06, -5.9275e+01, -2.5132e+01
5.15792403e+06, -5.9591e+01, -2.9262e+01
5.01161652e+06, -5.7955e+01, -2.2860e+01
4.86945910e+06, -5.7759e+01, -2.8358e+01
4.73133406e+06, -5.7787e+01, -2.9242e+01
4.59712702e+06, -5.7514e+01, -3.3759e+01
4.46672684e+06, -5.6488e+01, -3.0251e+01
4.34002554e+06, -5.6875e+01, -3.1074e+01
4.21691819e+06, -5.6866e+01, -3.7599e+01
4.09730286e+06, -5.5711e+01, -3.4563e+01
3.98108048e+06, -5.4857e+01, -4.1208e+01
3.86815482e+06, -5.5114e+01, -4.1145e+01
3.75843236e+06, -5.4121e+01, -4.6159e+01
3.65182224e+06, -5.3743e+01, -4.0515e+01
3.54823618e+06, -5.3533e+01, -4.4564e+01
3.44758840e+06, -5.3824e+01, -4.3985e+01
3.34979555e+06, -5.3524e+01, -4.5823e+01
3.25477665e+06, -5.2436e+01, -4.6735e+01
3.16245302e+06, -5.2641e+01, -4.6173e+01
3.07274820e+06, -5.2824e+01, -4.9244e+01
2.98558791e+06, -5.2103e+01, -5.4740e+01
2.90089997e+06, -5.1735e+01, -5.3988e+01
2.81861426e+06, -5.1202e+01, -5.6315e+01
2.73866263e+06, -5.1529e+01, -5.7424e+01
