Same Corner Frequency With Op-Amp
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.00000000e+07, -5.3233e+01, 4.0650e+01
1.95580498e+07, -5.4500e+01, 3.6711e+01
1.91258655e+07, -5.4515e+01, 3.4498e+01
1.87032315e+07, -5.4658e+01, 2.3106e+01
1.82899366e+07, -5.5711e+01, 1.5869e+01
1.78857745e+07, -5.6069e+01, 1.3929e+01
1.74905434e+07, -5.6863e+01, 6.7879e+00
1.71040459e+07, -5.7401e+01, 1.6930e+00
1.67260890e+07, -5.7764e+01, -2.8454e+00
1.63564841e+07, -5.8351e+01, -1.1590e+01
1.59950465e+07, -5.8779e+01, -2.1492e+01
1.56415957e+07, -5.9377e+01, -2.0774e+01
1.52959554e+07, -5.9980e+01, -2.9569e+01
1.49579528e+07, -5.9216e+01, -3.6174e+01
1.46274193e+07, -5.8975e+01, -4.2578e+01
1.43041897e+07, -6.0237e+01, -5.1205e+01
1.39881027e+07, -6.1331e+01, -5.6469e+01
1.36790004e+07, -6.1647e+01, -6.1492e+01
1.33767285e+07, -6.1523e+01, -6.1731e+01
1.30811361e+07, -6.1546e+01, -6.2244e+01
1.27920756e+07, -6.3400e+01, -6.2119e+01
1.25094025e+07, -6.2649e+01, -7.8139e+01
1.22329758e+07, -6.3613e+01, -8.1528e+01
1.19626575e+07, -6.2765e+01, -9.2024e+01
1.16983125e+07, -6.2548e+01, -8.1887e+01
1.14398089e+07, -6.2891e+01, -8.2785e+01
1.11870176e+07, -6.3227e+01, -8.5516e+01
1.09398124e+07, -6.4406e+01, -9.0510e+01
1.06980697e+07, -6.3069e+01, -1.0952e+02
1.04616690e+07, -6.3034e+01, -1.1321e+02
1.02304921e+07, -6.4514e+01, -1.1026e+02
1.00044237e+07, -6.5372e+01, -1.1023e+02
9.78335084e+06, -6.4785e+01, -1.2308e+02
9.56716312e+06, -6.6502e+01, -1.2819e+02
9.35575262e+06, -6.6729e+01, -1.5113e+02
9.14901376e+06, -6.8877e+01, -1.3837e+02
8.94684332e+06, -6.6871e+01, -1.2116e+02
8.74914034e+06, -6.5169e+01, -1.4421e+02
8.55580610e+06, -6.8408e+01, -1.3890e+02
8.36674408e+06, -6.6385e+01, -1.3797e+02
8.18185985e+06, -6.8051e+01, -1.5422e+02
8.00106110e+06, -6.8532e+01, -1.4969e+02
7.82425755e+06, -6.9609e+01, -1.4916e+02
7.65136093e+06, -6.8773e+01, -1.6832e+02
7.48228489e+06, -6.5536e+01, -1.6896e+02
7.31694501e+06, -6.8320e+01, -1.6728e+02
7.15525872e+06, -7.0594e+01, 1.7213e+02
6.99714531e+06, -6.8192e+01, -1.7298e+02
6.84252580e+06, -6.7566e+01, -1.6655e+02
6.69132301e+06, -6.9270e+01, -1.7200e+02
6.54346142e+06, -6.9199e+01, -1.6616e+02
6.39886720e+06, -6.8498e+01, 1.7608e+02
6.25746815e+06, -6.9346e+01, 1.6226e+02
6.11919367e+06, -7.2097e+01, 1.7625e+02
5.98397472e+06, -6.8659e+01, 1.6151e+02
5.85174376e+06, -6.6666e+01, 1.5213e+02
5.72243478e+06, -7.0716e+01, 1.5042e+02
5.59598321e+06, -6.7641e+01, 1.5152e+02
5.47232591e+06, -6.9233e+01, 1.5181e+02
5.35140112e+06, -6.9998e+01, 1.6385e+02
