% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 100 mVpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 100 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 15.08001 MHz to 165.7404 Hz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2023-10-26 T 12:13:14 +0100
% Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
1.50800084e+07, -5.7369e+01, -3.1980e+01
1.47467778e+07, -5.8224e+01, -3.9785e+01
1.44209107e+07, -5.9638e+01, -4.0815e+01
1.41022444e+07, -5.9473e+01, -4.5093e+01
1.37906199e+07, -5.9937e+01, -4.8077e+01
1.34858815e+07, -6.0651e+01, -5.4695e+01
1.31878771e+07, -5.9940e+01, -6.1429e+01
1.28964578e+07, -6.0384e+01, -5.7019e+01
1.26114782e+07, -6.1029e+01, -7.1072e+01
1.23327959e+07, -6.1869e+01, -8.1769e+01
1.20602718e+07, -6.1032e+01, -7.8172e+01
1.17937698e+07, -6.1411e+01, -7.5238e+01
1.15331568e+07, -6.3319e+01, -8.3704e+01
1.12783027e+07, -6.1911e+01, -9.2738e+01
1.10290803e+07, -6.3037e+01, -9.3514e+01
1.07853651e+07, -6.2288e+01, -1.0101e+02
1.05470353e+07, -6.3414e+01, -1.0939e+02
1.03139721e+07, -6.3597e+01, -1.0888e+02
1.00860590e+07, -6.5115e+01, -8.6260e+01
9.86318215e+06, -6.2839e+01, -1.1819e+02
9.64523036e+06, -6.3677e+01, -1.2903e+02
9.43209477e+06, -6.5278e+01, -1.3128e+02
9.22366894e+06, -6.5085e+01, -1.0727e+02
9.01984880e+06, -6.6081e+01, -1.3046e+02
8.82053258e+06, -6.5575e+01, -1.2871e+02
8.62562076e+06, -6.7464e+01, -1.3275e+02
8.43501600e+06, -6.7712e+01, -1.2811e+02
8.24862313e+06, -6.6601e+01, -1.4379e+02
8.06634908e+06, -6.6821e+01, -1.5255e+02
7.88810283e+06, -6.6793e+01, -1.4110e+02
7.71379538e+06, -6.9524e+01, -1.4720e+02
7.54333970e+06, -6.8010e+01, -1.5470e+02
7.37665066e+06, -6.8434e+01, -1.4398e+02
7.21364503e+06, -6.6962e+01, -1.7011e+02
7.05424142e+06, -6.9319e+01, -1.5987e+02
6.89836024e+06, -7.0702e+01, -1.6672e+02
6.74592364e+06, -6.8521e+01, -1.5745e+02
6.59685551e+06, -7.1383e+01, -1.6550e+02
6.45108141e+06, -6.9611e+01, -1.7004e+02
6.30852856e+06, -6.7437e+01, -1.6920e+02
6.16912578e+06, -7.2316e+01, 1.6127e+02
6.03280344e+06, -6.9443e+01, 1.5871e+02
5.89949350e+06, -7.3977e+01, 1.7037e+02
5.76912937e+06, -7.4549e+01, -1.5745e+02
5.64164596e+06, -7.4704e+01, 1.6864e+02
5.51697962e+06, -7.0282e+01, 1.5005e+02
5.39506810e+06, -6.9457e+01, 1.6290e+02
5.27585051e+06, -7.3794e+01, 1.3850e+02
5.15926734e+06, -7.4261e+01, 1.2468e+02
5.04526037e+06, -7.4593e+01, 1.6549e+02
4.93377267e+06, -7.3267e+01, 1.4501e+02
4.82474857e+06, -7.2118e+01, 1.5198e+02
4.71813363e+06, -6.9837e+01, 1.3063e+02
4.61387461e+06, -7.5076e+01, 1.5615e+02
4.51191946e+06, -7.2223e+01, 1.1726e+02
4.41221727e+06, -7.5128e+01, 1.0917e+02
4.31471824e+06, -7.2049e+01, 1.4245e+02
4.21937370e+06, -7.2433e+01, 1.4046e+02
4.12613604e+06, -7.3785e+01, 1.0698e+02
4.03495870e+06, -6.8873e+01, 1.4513e+02
3.94579615e+06, -7.1149e+01, 1.2100e+02
3.85860387e+06, -7.2508e+01, 1.1721e+02
3.77333833e+06, -7.1230e+01, 1.1877e+02
3.68995694e+06, -7.5660e+01, 1.1446e+02
3.60841807e+06, -7.5657e+01, 1.1737e+02
3.52868101e+06, -7.1532e+01, 1.2148e+02
3.45070593e+06, -7.4916e+01, 5.8333e+01
3.37445392e+06, -7.0594e+01, 1.2036e+02
3.29988688e+06, -7.3977e+01, 8.1752e+01
3.22696759e+06, -7.3161e+01, 1.1282e+02
3.15565964e+06, -7.5304e+01, 1.1151e+02
3.08592741e+06, -8.5235e+01, 1.0224e+02
3.01773609e+06, -8.2460e+01, 8.8429e+01
2.95105163e+06, -7.7117e+01, 1.1435e+02
2.88584073e+06, -7.4872e+01, 1.1480e+02
2.82207083e+06, -6.8943e+01, 5.1155e+01
2.75971009e+06, -6.9968e+01, 8.4091e+01
2.69872736e+06, -7.6927e+01, 8.2429e+01
2.63909220e+06, -8.2198e+01, 7.0253e+01
2.58077483e+06, -7.4544e+01, 6.4590e+01
2.52374612e+06, -7.7158e+01, 4.3839e+01
2.46797761e+06, -7.7998e+01, -1.7837e+02
2.41344145e+06, -7.7328e+01, 1.0317e+02
2.36011040e+06, -7.7816e+01, 1.6934e+02
2.30795783e+06, -7.6520e+01, 9.2046e+01
2.25695770e+06, -7.2712e+01, 7.5705e+01
2.20708455e+06, -7.2818e+01, 6.6470e+01
2.15831347e+06, -7.1917e+01, 8.3554e+01
2.11062012e+06, -7.2612e+01, 1.3264e+02
2.06398066e+06, -7.0741e+01, 8.4727e+01
2.01837182e+06, -7.6492e+01, 3.6338e+01
1.97377083e+06, -7.1754e+01, 9.5632e+01
1.93015540e+06, -8.6060e+01, -4.9877e+01
1.88750377e+06, -7.7380e+01, 6.4592e+01
1.84579463e+06, -7.6058e+01, 6.8293e+01
1.80500716e+06, -7.4934e+01, 8.3532e+01
1.76512100e+06, -8.0368e+01, 5.3380e+01
1.72611621e+06, -7.2930e+01, 5.7350e+01
1.68797334e+06, -7.6030e+01, 8.5941e+01
1.65067333e+06, -7.7294e+01, 3.2774e+01
1.61419755e+06, -7.9797e+01, 1.1471e+02
1.57852780e+06, -7.1263e+01, 1.1756e+02
1.54364627e+06, -7.0961e+01, 1.0691e+02
1.50953552e+06, -7.5592e+01, 1.3298e+02
1.47617855e+06, -8.2198e+01, 1.1670e+02
1.44355867e+06, -7.7254e+01, 6.1563e+01
1.41165962e+06, -7.5209e+01, 5.6659e+01
1.38046545e+06, -8.5681e+01, 4.1212e+01
1.34996060e+06, -8.0215e+01, 3.9021e+01
1.32012983e+06, -7.5192e+01, 6.2163e+01
1.29095824e+06, -8.3767e+01, 4.8899e+01
1.26243128e+06, -7.5244e+01, 1.0285e+02
1.23453469e+06, -8.9128e+01, -7.1485e+01
1.20725454e+06, -7.2504e+01, 6.7617e+01
1.18057722e+06, -9.2018e+01, -8.2406e+00
1.15448940e+06, -8.5649e+01, 5.9885e+01
1.12897806e+06, -7.9257e+01, 3.7994e+01
1.10403045e+06, -7.4648e+01, 9.2231e+00
1.07963412e+06, -8.4206e+01, -1.0358e+02
1.05577690e+06, -7.8849e+01, 1.4527e+02
1.03244685e+06, -7.9755e+01, 8.5079e+01
1.00963235e+06, -7.5129e+01, 1.1815e+02
9.87321984e+05, -7.4998e+01, 3.5949e+01
9.65504624e+05, -8.0002e+01, 7.8453e+01
9.44169374e+05, -7.7580e+01, 1.4964e+02
9.23305580e+05, -7.2446e+01, -9.6732e+01
9.02902823e+05, -7.2380e+01, -9.7858e+01
8.82950917e+05, -7.2290e+01, -4.4173e+01
8.63439899e+05, -8.1831e+01, -4.9534e+01
8.44360025e+05, -8.1239e+01, -9.7463e+01
8.25701769e+05, -7.8583e+01, -7.0523e+01
8.07455814e+05, -7.5909e+01, -9.2132e+01
7.89613050e+05, -7.5382e+01, -9.0195e+01
7.72164566e+05, -7.3651e+01, -1.0673e+02
7.55101650e+05, -7.7309e+01, -1.1634e+02
7.38415782e+05, -7.1236e+01, -1.3001e+02
7.22098630e+05, -9.1014e+01, -9.1986e+01
7.06142047e+05, -9.4979e+01, 4.4217e+01
6.90538065e+05, -8.1435e+01, 1.7159e+02
6.75278891e+05, -8.6508e+01, -1.6515e+02
6.60356908e+05, -7.7837e+01, -1.5990e+02
6.45764663e+05, -6.9841e+01, -1.0770e+02
6.31494870e+05, -6.9288e+01, -1.5125e+02
6.17540405e+05, -6.9540e+01, -9.1882e+01
6.03894298e+05, -7.5399e+01, -9.9094e+01
5.90549737e+05, -6.9674e+01, -1.0531e+02
5.77500057e+05, -7.0392e+01, -7.9437e+01
5.64738742e+05, -6.7168e+01, -8.1737e+01
5.52259421e+05, -6.8677e+01, -5.3761e+01
5.40055862e+05, -6.3086e+01, -5.6539e+01
5.28121971e+05, -6.1455e+01, -3.2278e+01
5.16451789e+05, -4.7110e+01, -1.4998e+02
5.05039489e+05, -6.1735e+01, 2.6612e+01
4.93879373e+05, -6.1125e+01, 5.6704e+01
4.82965868e+05, -6.0743e+01, 7.4653e+01
4.72293524e+05, -6.4036e+01, 9.0865e+01
4.61857012e+05, -6.5375e+01, 9.6226e+01
4.51651121e+05, -6.3599e+01, 1.1697e+02
4.41670755e+05, -6.3138e+01, 1.5189e+02
4.31910930e+05, -6.3266e+01, 1.2872e+02
4.22366773e+05, -6.3351e+01, 1.4590e+02
4.13033518e+05, -6.2391e+01, 1.5366e+02
4.03906505e+05, -6.6574e+01, 1.4991e+02
3.94981176e+05, -6.9889e+01, 1.5418e+02
3.86253074e+05, -6.2273e+01, 1.6073e+02
3.77717842e+05, -6.5242e+01, 1.6485e+02
3.69371218e+05, -6.5243e+01, 1.4747e+02
3.61209033e+05, -6.3044e+01, 1.6285e+02
3.53227212e+05, -6.0184e+01, 1.7151e+02
3.45421769e+05, -6.4124e+01, 1.6903e+02
3.37788808e+05, -6.4122e+01, -1.7836e+02
3.30324515e+05, -6.2134e+01, 1.6995e+02
3.23025165e+05, -6.3149e+01, 1.7467e+02
3.15887113e+05, -6.0089e+01, 1.7476e+02
3.08906793e+05, -6.1266e+01, 1.6523e+02
3.02080722e+05, -6.0334e+01, 1.6590e+02
2.95405489e+05, -5.9825e+01, 1.6997e+02
2.88877763e+05, -5.8853e+01, 1.6999e+02
2.82494283e+05, -5.9030e+01, -1.7528e+02
2.76251862e+05, -5.7702e+01, 1.7225e+02
2.70147383e+05, -5.8361e+01, -1.7277e+02
2.64177798e+05, -5.6737e+01, 1.7885e+02
2.58340126e+05, -5.6427e+01, 1.7676e+02
2.52631452e+05, -6.1029e+01, -1.5640e+02
2.47048926e+05, -5.6475e+01, -1.7735e+02
2.41589759e+05, -5.5240e+01, 1.7744e+02
2.36251226e+05, -5.5396e+01, -1.7947e+02
2.31030662e+05, -5.5844e+01, 1.7786e+02
2.25925459e+05, -5.3908e+01, 1.7572e+02
2.20933068e+05, -5.3569e+01, 1.7576e+02
2.16050997e+05, -5.3956e+01, -1.7644e+02
2.11276808e+05, -5.3522e+01, -1.7773e+02
2.06608116e+05, -5.2068e+01, -1.7724e+02
2.02042591e+05, -5.3265e+01, -1.7592e+02
1.97577952e+05, -5.2168e+01, -1.7550e+02
1.93211971e+05, -5.2301e+01, -1.7755e+02
1.88942467e+05, -5.1660e+01, -1.7495e+02
1.84767308e+05, -5.1285e+01, -1.7116e+02
1.80684411e+05, -4.9913e+01, -1.7571e+02
1.76691735e+05, -5.0176e+01, -1.7690e+02
1.72787287e+05, -4.9217e+01, 1.7893e+02
1.68969118e+05, -5.0731e+01, 1.7848e+02
1.65235321e+05, -4.8752e+01, -1.7767e+02
1.61584031e+05, -4.7962e+01, -1.7533e+02
1.58013426e+05, -4.7318e+01, -1.6739e+02
1.54521722e+05, -4.6608e+01, -1.7338e+02
1.51107177e+05, -4.6434e+01, -1.7007e+02
1.47768084e+05, -4.5943e+01, -1.7435e+02
1.44502777e+05, -4.5615e+01, -1.7561e+02
1.41309625e+05, -4.5379e+01, -1.7481e+02
1.38187034e+05, -4.4464e+01, -1.7405e+02
1.35133444e+05, -4.4080e+01, -1.7116e+02
1.32147331e+05, -4.4382e+01, -1.7030e+02
1.29227204e+05, -4.2662e+01, -1.6986e+02
1.26371604e+05, -4.4025e+01, -1.6517e+02
1.23579106e+05, -4.2253e+01, -1.6478e+02
1.20848316e+05, -4.2648e+01, -1.6610e+02
1.18177868e+05, -4.2473e+01, -1.6403e+02
1.15566432e+05, -4.1677e+01, -1.6193e+02
1.13012701e+05, -4.1611e+01, -1.6146e+02
1.10515401e+05, -4.1682e+01, -1.6264e+02
1.08073286e+05, -4.0589e+01, -1.6266e+02
1.05685135e+05, -4.0362e+01, -1.5912e+02
1.03349757e+05, -4.0417e+01, -1.6087e+02
1.01065984e+05, -3.9970e+01, -1.5904e+02
9.88326774e+04, -3.9365e+01, -1.5958e+02
9.66487211e+04, -3.9320e+01, -1.6174e+02
9.45130248e+04, -3.9154e+01, -1.5988e+02
9.24245221e+04, -3.8379e+01, -1.5673e+02
9.03821701e+04, -3.8276e+01, -1.5854e+02
8.83849490e+04, -3.7650e+01, -1.5738e+02
8.64318615e+04, -3.7573e+01, -1.5687e+02
8.45219324e+04, -3.7176e+01, -1.5593e+02
8.26542080e+04, -3.6921e+01, -1.5774e+02
8.08277556e+04, -3.6442e+01, -1.5839e+02
7.90416633e+04, -3.6292e+01, -1.5583e+02
7.72950392e+04, -3.5740e+01, -1.5587e+02
7.55870111e+04, -3.5530e+01, -1.5573e+02
7.39167262e+04, -3.5150e+01, -1.5610e+02
7.22833505e+04, -3.4913e+01, -1.5475e+02
7.06860682e+04, -3.4540e+01, -1.5475e+02
6.91240820e+04, -3.4208e+01, -1.5348e+02
6.75966118e+04, -3.3933e+01, -1.5490e+02
6.61028948e+04, -3.3414e+01, -1.5347e+02
6.46421853e+04, -3.3141e+01, -1.5275e+02
6.32137538e+04, -3.2811e+01, -1.5190e+02
6.18168871e+04, -3.2587e+01, -1.5171e+02
6.04508877e+04, -3.2357e+01, -1.5034e+02
5.91150735e+04, -3.1873e+01, -1.5090e+02
