% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 100 mVpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 100 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 1.843901 MHz to 16.15242 Hz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2023-10-26 T 11:51:47 +0100
% Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
1.84390120e+06, -7.2942e+01, 7.8991e+01
1.80235522e+06, -7.4399e+01, 5.9628e+01
1.76174532e+06, -7.2963e+01, 5.3486e+01
1.72205043e+06, -8.1260e+01, 4.9758e+01
1.68324993e+06, -8.2052e+01, -1.3215e+01
1.64532367e+06, -7.8759e+01, 1.1128e+02
1.60825195e+06, -7.7856e+01, 8.3797e+01
1.57201550e+06, -7.4319e+01, 1.7946e+01
1.53659553e+06, -8.0941e+01, 1.6179e+02
1.50197362e+06, -7.6738e+01, 8.3385e+01
1.46813179e+06, -7.5430e+01, 5.6665e+01
1.43505248e+06, -7.1046e+01, 3.1294e+01
1.40271849e+06, -9.0161e+01, -1.5845e+02
1.37111304e+06, -7.5031e+01, 8.2300e+01
1.34021972e+06, -7.0275e+01, 6.9943e+01
1.31002246e+06, -6.9995e+01, 3.9628e+01
1.28050560e+06, -6.7881e+01, 4.0547e+01
1.25165380e+06, -7.3666e+01, 4.4416e+01
1.22345207e+06, -7.8729e+01, 9.4871e+01
1.19588578e+06, -7.3352e+01, 7.5499e+01
1.16894059e+06, -7.2694e+01, 3.3514e+01
1.14260253e+06, -7.5007e+01, 7.0150e+01
1.11685790e+06, -7.8564e+01, 3.9944e+01
1.09169333e+06, -7.6250e+01, 7.7753e+01
1.06709577e+06, -7.3680e+01, 4.6542e+00
1.04305243e+06, -7.3525e+01, -2.9053e+01
1.01955082e+06, -7.8283e+01, 7.4930e+01
9.96578738e+05, -8.3700e+01, 1.4198e+02
9.74124254e+05, -7.7543e+01, 4.7511e+01
9.52175706e+05, -8.6663e+01, 1.2841e+02
9.30721692e+05, -7.9757e+01, -7.6430e+01
9.09751071e+05, -7.4751e+01, -7.1842e+01
8.89252951e+05, -7.2510e+01, -2.5401e+01
8.69216686e+05, -7.3699e+01, -6.6857e+01
8.49631870e+05, -7.8616e+01, -8.7490e+01
8.30488330e+05, -7.4521e+01, -6.8683e+01
8.11776124e+05, -7.1552e+01, -5.6329e+01
7.93485533e+05, -7.8770e+01, -1.1379e+02
7.75607059e+05, -8.7819e+01, 4.0494e+01
7.58131414e+05, -8.0943e+01, -3.7144e+01
7.41049523e+05, -7.0021e+01, 2.2046e+01
7.24352514e+05, -7.8902e+01, -3.0894e+01
7.08031714e+05, -7.3634e+01, -3.9942e+01
6.92078648e+05, -7.8642e+01, -7.3478e+01
6.76485030e+05, -8.9756e+01, -5.4133e+01
6.61242760e+05, -6.7939e+01, -5.6342e+01
6.46343923e+05, -7.7368e+01, -4.4139e+01
6.31780779e+05, -7.5164e+01, 7.4559e-01
6.17545767e+05, -7.1887e+01, -6.6255e+01
6.03631491e+05, -7.1051e+01, -6.8945e+01
5.90030726e+05, -6.8321e+01, -2.9246e+01
5.76736407e+05, -6.7179e+01, -4.2299e+01
5.63741631e+05, -6.4662e+01, -4.3974e+01
5.51039647e+05, -6.3642e+01, -3.3788e+01
5.38623858e+05, -6.0886e+01, -2.9999e+01
5.26487817e+05, -5.8843e+01, -1.8887e+01
5.14625220e+05, -4.7461e+01, 1.7211e+02
5.03029906e+05, -5.8472e+01, 2.8799e+01
4.91695852e+05, -5.7049e+01, 4.9392e+01
4.80617173e+05, -5.9176e+01, 6.1420e+01
4.69788113e+05, -5.9044e+01, 6.8851e+01
4.59203050e+05, -6.2192e+01, 8.1245e+01
4.48856484e+05, -6.6167e+01, 8.3723e+01
4.38743043e+05, -6.5149e+01, 8.2120e+01
4.28857473e+05, -6.6723e+01, 1.1830e+02
4.19194641e+05, -6.3762e+01, 9.5676e+01
4.09749528e+05, -6.7136e+01, 6.7591e+01
4.00517228e+05, -6.8666e+01, 9.5040e+01
