% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Output 1), DC coupling, 1 x probe attenuation
% Time span 850.0 us, time offset -5.260 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Sine, 11.000 000 000 kHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (on) - Sine, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-10-24 T 12:46:45 +0100
% Time (s), Channel A (Input 1) (V), Channel B (Output 1) (V)
4.834656000000e-03, 4.408891e-01, 4.592086e-01
4.835520000000e-03, 4.531021e-01, 4.701240e-01
4.836384000000e-03, 4.689790e-01, 4.794364e-01
4.837248000000e-03, 4.811920e-01, 4.869932e-01
4.838112000000e-03, 4.921837e-01, 4.927944e-01
4.838976000000e-03, 5.007328e-01, 4.969926e-01
4.839840000000e-03, 5.092819e-01, 4.992062e-01
4.840704000000e-03, 5.129458e-01, 4.998168e-01
4.841568000000e-03, 5.166097e-01, 4.985192e-01
4.842432000000e-03, 5.178310e-01, 4.954659e-01
4.843296000000e-03, 5.190523e-01, 4.906571e-01
4.844160000000e-03, 5.166097e-01, 4.841689e-01
4.845024000000e-03, 5.141671e-01, 4.759252e-01
4.845888000000e-03, 5.092819e-01, 4.658494e-01
4.846752000000e-03, 5.019541e-01, 4.542471e-01
4.847616000000e-03, 4.934050e-01, 4.410418e-01
4.848480000000e-03, 4.836346e-01, 4.262335e-01
4.849344000000e-03, 4.726429e-01, 4.098223e-01
4.850208000000e-03, 4.579873e-01, 3.921135e-01
4.851072000000e-03, 4.445530e-01, 3.728780e-01
4.851936000000e-03, 4.262335e-01, 3.522686e-01
4.852800000000e-03, 4.091353e-01, 3.305142e-01
4.853664000000e-03, 3.895945e-01, 3.075385e-01
4.854528000000e-03, 3.688325e-01, 2.834942e-01
4.855392000000e-03, 3.480704e-01, 2.584575e-01
4.856256000000e-03, 3.236444e-01, 2.324286e-01
4.857120000000e-03, 2.992184e-01, 2.056363e-01
4.857984000000e-03, 2.723498e-01, 1.780807e-01
4.858848000000e-03, 2.467025e-01, 1.498382e-01
4.859712000000e-03, 2.234978e-01, 1.212140e-01
4.860576000000e-03, 1.929653e-01, 9.205545e-02
4.861440000000e-03, 1.648754e-01, 6.259160e-02
4.862304000000e-03, 1.355642e-01, 3.282242e-02
4.863168000000e-03, 1.074744e-01, 2.976918e-03
4.864032000000e-03, 7.694187e-02, -2.679226e-02
4.864896000000e-03, 4.518808e-02, -5.656143e-02
4.865760000000e-03, 1.587689e-02, -8.610162e-02
4.866624000000e-03, -1.343429e-02, -1.153365e-01
4.867488000000e-03, -4.274548e-02, -1.441133e-01
4.868352000000e-03, -7.205667e-02, -1.725086e-01
4.869216000000e-03, -1.001466e-01, -2.001405e-01
4.870080000000e-03, -1.306790e-01, -2.271617e-01
4.870944000000e-03, -1.575476e-01, -2.532670e-01
4.871808000000e-03, -1.856375e-01, -2.785326e-01
4.872672000000e-03, -2.112848e-01, -3.028059e-01
4.873536000000e-03, -2.369321e-01, -3.260106e-01
4.874400000000e-03, -2.625794e-01, -3.479940e-01
4.875264000000e-03, -2.870054e-01, -3.687561e-01
4.876128000000e-03, -3.089888e-01, -3.882969e-01
4.876992000000e-03, -3.297509e-01, -4.063874e-01
4.877856000000e-03, -3.517343e-01, -4.230276e-01
4.878720000000e-03, -3.700538e-01, -4.381412e-01
4.879584000000e-03, -3.871519e-01, -4.517282e-01
4.880448000000e-03, -4.030288e-01, -4.637122e-01
4.881312000000e-03, -4.176844e-01, -4.739405e-01
4.882176000000e-03, -4.335613e-01, -4.826423e-01
4.883040000000e-03, -4.457743e-01, -4.895121e-01
4.883904000000e-03, -4.531021e-01, -4.946263e-01
4.884768000000e-03, -4.628725e-01, -4.980612e-01
4.885632000000e-03, -4.689790e-01, -4.996642e-01
4.886496000000e-03, -4.738642e-01, -4.995115e-01
4.887360000000e-03, -4.763068e-01, -4.976032e-01
4.888224000000e-03, -4.787494e-01, -4.938630e-01
4.889088000000e-03, -4.775281e-01, -4.883671e-01
4.889952000000e-03, -4.750855e-01, -4.811157e-01
4.890816000000e-03, -4.714216e-01, -4.721849e-01
4.891680000000e-03, -4.640938e-01, -4.615749e-01
4.892544000000e-03, -4.579873e-01, -4.492856e-01
4.893408000000e-03, -4.482169e-01, -4.353933e-01
4.894272000000e-03, -4.372252e-01, -4.200507e-01
4.895136000000e-03, -4.237909e-01, -4.030288e-01
4.896000000000e-03, -4.103566e-01, -3.847093e-01
4.896864000000e-03, -3.944797e-01, -3.650159e-01
4.897728000000e-03, -3.773816e-01, -3.439485e-01
4.898592000000e-03, -3.578408e-01, -3.217361e-01
4.899456000000e-03, -3.370787e-01, -2.983024e-01
4.900320000000e-03, -3.175379e-01, -2.738764e-01
4.901184000000e-03, -2.943332e-01, -2.483818e-01
4.902048000000e-03, -2.723498e-01, -2.220475e-01
4.902912000000e-03, -2.454812e-01, -1.950263e-01
4.903776000000e-03, -2.198339e-01, -1.670890e-01
4.904640000000e-03, -1.941866e-01, -1.387702e-01
4.905504000000e-03, -1.685393e-01, -1.098406e-01
4.906368000000e-03, -1.404494e-01, -8.052944e-02
4.907232000000e-03, -1.111383e-01, -5.098925e-02
4.908096000000e-03, -8.304837e-02, -2.114375e-02
4.908960000000e-03, -5.251588e-02, 8.625428e-03
4.909824000000e-03, -2.564729e-02, 3.847093e-02
4.910688000000e-03, 4.885198e-03, 6.816378e-02
4.911552000000e-03, 3.541769e-02, 9.755130e-02
4.912416000000e-03, 6.472887e-02, 1.266335e-01
4.913280000000e-03, 9.404006e-02, 1.552577e-01
4.914144000000e-03, 1.233513e-01, 1.833476e-01
4.915008000000e-03, 1.538837e-01, 2.107505e-01
4.915872000000e-03, 1.807523e-01, 2.373901e-01
4.916736000000e-03, 2.088422e-01, 2.632664e-01
4.917600000000e-03, 2.369321e-01, 2.881504e-01
4.918464000000e-03, 2.625794e-01, 3.120420e-01
4.919328000000e-03, 2.882267e-01, 3.347124e-01
4.920192000000e-03, 3.114314e-01, 3.563141e-01
4.921056000000e-03, 3.346361e-01, 3.766182e-01
4.921920000000e-03, 3.602834e-01, 3.955484e-01
4.922784000000e-03, 3.810455e-01, 4.130282e-01
4.923648000000e-03, 3.993649e-01, 4.291341e-01
4.924512000000e-03, 4.189057e-01, 4.436371e-01
4.925376000000e-03, 4.372252e-01, 4.565370e-01
4.926240000000e-03, 4.506595e-01, 4.679104e-01
4.927104000000e-03, 4.665364e-01, 4.776044e-01
4.927968000000e-03, 4.775281e-01, 4.855429e-01
4.928832000000e-03, 4.909624e-01, 4.917257e-01
4.929696000000e-03, 5.007328e-01, 4.961529e-01
4.930560000000e-03, 5.068393e-01, 4.988245e-01
4.931424000000e-03, 5.117245e-01, 4.998932e-01
4.932288000000e-03, 5.153884e-01, 4.989772e-01
4.933152000000e-03, 5.178310e-01, 4.963056e-01
4.934016000000e-03, 5.190523e-01, 4.918784e-01
4.934880000000e-03, 5.190523e-01, 4.857719e-01
4.935744000000e-03, 5.153884e-01, 4.778334e-01
4.936608000000e-03, 5.105032e-01, 4.682157e-01
