% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Output 1), DC coupling, 1 x probe attenuation
% Time span 850.0 us, time offset -5.260 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Sine, 9.000 000 000 kHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (on) - Sine, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2023-10-24 T 12:54:44 +0100
% Time (s), Channel A (Input 1) (V), Channel B (Output 1) (V)
4.834656000000e-03, 2.467025e-01, -4.808867e-02
4.835520000000e-03, 2.296043e-01, -7.243833e-02
4.836384000000e-03, 2.125061e-01, -9.648266e-02
4.837248000000e-03, 1.954079e-01, -1.202980e-01
4.838112000000e-03, 1.795310e-01, -1.438080e-01
4.838976000000e-03, 1.624328e-01, -1.670127e-01
4.839840000000e-03, 1.441133e-01, -1.898357e-01
4.840704000000e-03, 1.270152e-01, -2.122008e-01
4.841568000000e-03, 1.062531e-01, -2.340315e-01
4.842432000000e-03, 9.037616e-02, -2.554043e-01
4.843296000000e-03, 6.961407e-02, -2.760137e-01
4.844160000000e-03, 5.251588e-02, -2.960125e-01
4.845024000000e-03, 3.419639e-02, -3.154006e-01
4.845888000000e-03, 1.343429e-02, -3.339491e-01
4.846752000000e-03, -6.106498e-03, -3.517343e-01
4.847616000000e-03, -2.564729e-02, -3.686035e-01
4.848480000000e-03, -4.396678e-02, -3.847093e-01
4.849344000000e-03, -6.228628e-02, -3.998229e-01
4.850208000000e-03, -7.938447e-02, -4.140205e-01
4.851072000000e-03, -9.648266e-02, -4.271495e-01
4.851936000000e-03, -1.160235e-01, -4.393625e-01
4.852800000000e-03, -1.343429e-01, -4.504305e-01
4.853664000000e-03, -1.502198e-01, -4.605063e-01
4.854528000000e-03, -1.685393e-01, -4.694370e-01
4.855392000000e-03, -1.856375e-01, -4.772991e-01
4.856256000000e-03, -2.002931e-01, -4.839399e-01
4.857120000000e-03, -2.149487e-01, -4.894358e-01
4.857984000000e-03, -2.296043e-01, -4.938630e-01
4.858848000000e-03, -2.442599e-01, -4.970689e-01
