
Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.00000000e+07, -1.2372e+01, 6.0433e+01
1.88149333e+07, -1.2186e+01, 5.3254e+01
1.77000857e+07, -1.1975e+01, 4.6382e+01
1.66512966e+07, -1.1722e+01, 3.9866e+01
1.56646517e+07, -1.1426e+01, 3.3776e+01
1.47364689e+07, -1.1086e+01, 2.8187e+01
1.38632839e+07, -1.0749e+01, 2.2940e+01
1.30418381e+07, -1.0384e+01, 1.8143e+01
1.22690657e+07, -1.0006e+01, 1.3677e+01
1.15420826e+07, -9.6300e+00, 9.5610e+00
1.08581757e+07, -9.2377e+00, 5.7785e+00
1.02147926e+07, -8.8465e+00, 2.3194e+00
9.60953204e+06, -8.4414e+00, -8.3713e-01
9.04013521e+06, -8.0345e+00, -3.6849e+00
8.50447704e+06, -7.6266e+00, -6.2384e+00
8.00055841e+06, -7.2246e+00, -8.5267e+00
7.52649863e+06, -6.8256e+00, -1.0547e+01
7.08052848e+06, -6.4363e+00, -1.2293e+01
6.66098355e+06, -6.0475e+00, -1.3840e+01
6.26629805e+06, -5.6677e+00, -1.5162e+01
5.89499899e+06, -5.2906e+00, -1.6244e+01
5.54570063e+06, -4.9101e+00, -1.7154e+01
5.21709937e+06, -4.5517e+00, -1.7890e+01
4.90796883e+06, -4.2122e+00, -1.8422e+01
4.61715530e+06, -3.8833e+00, -1.8806e+01
4.34357345e+06, -3.5731e+00, -1.9036e+01
4.08620223e+06, -3.2729e+00, -1.9135e+01
3.84408112e+06, -2.9870e+00, -1.9109e+01
3.61630649e+06, -2.7215e+00, -1.8987e+01
3.40202827e+06, -2.4710e+00, -1.8766e+01
3.20044674e+06, -2.2376e+00, -1.8449e+01
3.01080960e+06, -2.0176e+00, -1.8079e+01
2.83240908e+06, -1.8124e+00, -1.7645e+01
2.66457940e+06, -1.6259e+00, -1.7159e+01
2.50669418e+06, -1.4525e+00, -1.6621e+01
2.35816419e+06, -1.2923e+00, -1.6073e+01
2.21843509e+06, -1.1423e+00, -1.5451e+01
2.08698541e+06, -9.9642e-01, -1.4762e+01
1.96332456e+06, -9.3887e-01, -1.4114e+01
1.84699103e+06, -7.9480e-01, -1.3712e+01
1.73755065e+06, -6.8789e-01, -1.3098e+01
1.63459498e+06, -5.9289e-01, -1.2496e+01
1.53773978e+06, -5.0976e-01, -1.1901e+01
1.44662356e+06, -4.3424e-01, -1.1320e+01
1.36090629e+06, -3.6363e-01, -1.0755e+01
1.28026805e+06, -3.0342e-01, -1.0206e+01
1.20440790e+06, -2.4942e-01, -9.6774e+00
1.13304272e+06, -2.0046e-01, -9.1578e+00
1.06590616e+06, -1.5878e-01, -8.6805e+00
1.00274766e+06, -1.2518e-01, -8.2164e+00
9.43331516e+05, -9.6096e-02, -7.8672e+00
8.87435977e+05, -3.7966e-02, -7.3743e+00
8.34852434e+05, -1.5411e-02, -6.9408e+00
7.85384643e+05, 8.3375e-03, -6.5502e+00
7.38847983e+05, 3.0880e-02, -6.1543e+00
6.95068775e+05, 4.8321e-02, -5.7926e+00
6.53883631e+05, 6.2584e-02, -5.4561e+00
6.15138845e+05, 7.5799e-02, -5.1434e+00
5.78689816e+05, 9.0171e-02, -4.8459e+00
5.44400514e+05, 1.0149e-01, -4.5943e+00
5.12142968e+05, 1.2310e-01, -4.3358e+00
4.81796788e+05, 1.3600e-01, -4.0184e+00
4.53248721e+05, 1.3882e-01, -3.7631e+00
4.26392223e+05, 1.4446e-01, -3.5374e+00
4.01127061e+05, 1.4874e-01, -3.3164e+00
3.77358945e+05, 1.5250e-01, -3.1321e+00
3.54999168e+05, 1.6013e-01, -2.9338e+00
3.33964283e+05, 1.6430e-01, -2.7396e+00
3.14175785e+05, 1.6642e-01, -2.5710e+00
2.95559822e+05, 1.7106e-01, -2.4030e+00
2.78046917e+05, 1.7276e-01, -2.2584e+00
2.61571709e+05, 1.7531e-01, -2.1011e+00
2.46072713e+05, 1.7633e-01, -1.9664e+00
2.31492084e+05, 1.7768e-01, -1.8303e+00
2.17775406e+05, 1.8029e-01, -1.7221e+00
2.04871486e+05, 1.7954e-01, -1.5872e+00
1.92732167e+05, 1.8059e-01, -1.4887e+00
1.81312143e+05, 1.8314e-01, -1.3940e+00
1.70568794e+05, 1.8076e-01, -1.2713e+00
1.60462024e+05, 1.7994e-01, -1.1861e+00
1.50954114e+05, 1.8154e-01, -1.0771e+00
1.42009579e+05, 1.7442e-01, -9.9094e-01
1.33595038e+05, 1.7414e-01, -9.2448e-01
1.25679086e+05, 1.6820e-01, -8.8196e-01
1.18232181e+05, 1.7685e-01, -8.1380e-01
1.11226530e+05, 1.7870e-01, -7.7618e-01
1.04635987e+05, 1.7707e-01, -6.9968e-01
9.84359556e+04, 1.8244e-01, -6.4392e-01
