varying the angle of hall probe with constant mag field voltage 30V
output(mV)   angle(degrees)
5.71    0
5.68    10
5.55    20
5.26    30
4.81    40
4.26    50
3.38    60
2.47    70
1.40    80
0.32    90
-0.56    100
-1.86    110
-3.05    120
-3.96    130
-4.72    140
-5.12    150
-5.52    160
-5.73    170
-5.79    180
-5.62    200
-5.30    210
-4.79    220
-4.13    230
-3.45    240
-2.46    250
-1.59    260
-0.58    270
0.44    280
1.55    290
2.59    300
3.44    310
4.27    320
4.86    330
5.28    340
5.53    350
5.67    360
