mass_A
t	x
0.000	4.073E-2
0.017	4.073E-2
0.033	4.162E-2
0.050	4.252E-2
0.067	4.385E-2
0.083	4.474E-2
0.100	4.652E-2
0.117	4.831E-2
0.133	5.053E-2
0.150	5.276E-2
0.167	5.543E-2
0.183	5.722E-2
0.200	6.034E-2
0.217	6.436E-2
0.233	6.882E-2
0.250	7.328E-2
0.267	7.730E-2
0.283	8.131E-2
0.300	8.577E-2
0.317	8.979E-2
0.333	9.425E-2
0.350	0.100
0.367	0.105
0.383	0.111
0.400	0.117
0.417	0.122
0.433	0.127
0.450	0.133
0.467	0.138
0.483	0.144
0.500	0.150
0.517	0.155
0.533	0.163
0.550	0.168
0.567	0.175
0.583	0.181
0.600	0.187
0.617	0.194
0.633	0.199
0.650	0.205
0.667	0.212
0.683	0.219
0.700	0.225
0.717	0.230
0.733	0.235
0.750	0.240
0.767	0.247
0.783	0.252
0.800	0.258
0.817	0.262
0.833	0.267
0.850	0.271
0.867	0.276
0.883	0.282
0.900	0.285
0.917	0.288
0.933	0.292
0.950	0.297
0.967	0.301
0.983	0.304
1.000	0.306
1.017	0.308
1.033	0.312
1.050	0.313
1.067	0.315
1.083	0.317
1.100	0.319
1.117	0.320
1.133	0.322
1.150	0.322
1.167	0.324
1.183	0.325
1.200	0.319
1.217	0.319
1.233	0.318
1.250	0.317
1.267	0.316
1.283	0.314
1.300	0.313
1.317	0.311
1.333	0.309
1.350	0.306
1.367	0.302
1.383	0.301
1.400	0.297
1.417	0.294
1.433	0.291
1.450	0.287
1.467	0.281
1.483	0.279
1.500	0.274
1.517	0.270
1.533	0.266
1.550	0.261
1.567	0.256
1.583	0.250
1.600	0.246
1.617	0.241
1.633	0.235
1.650	0.231
1.667	0.224
1.683	0.219
1.700	0.213
1.717	0.208
1.733	0.201
1.750	0.197
1.767	0.191
1.783	0.184
1.800	0.177
1.817	0.170
1.833	0.164
1.850	0.159
1.867	0.154
1.883	0.148
1.900	0.143
1.917	0.135
1.933	0.130
1.950	0.125
1.967	0.119
1.983	0.115
2.000	0.109
2.017	0.103
2.033	9.828E-2
2.050	9.426E-2
2.067	8.891E-2
2.083	8.310E-2
2.100	7.998E-2
2.117	7.374E-2
2.133	7.106E-2
2.150	6.749E-2
2.167	6.259E-2
2.183	5.857E-2
2.200	5.768E-2
2.217	5.367E-2
2.233	4.966E-2
2.250	4.698E-2
2.267	4.341E-2
2.283	3.984E-2
2.300	3.939E-2
2.317	3.805E-2
2.333	3.493E-2
2.350	3.359E-2
2.367	3.625E-2
2.383	3.581E-2
2.400	3.402E-2
2.417	3.402E-2
2.433	3.491E-2
2.450	3.580E-2
2.467	3.714E-2
2.483	3.758E-2
2.500	3.981E-2
2.517	4.114E-2
2.533	4.204E-2
2.550	4.338E-2
2.567	4.560E-2
2.583	4.828E-2
2.600	5.273E-2
2.617	5.631E-2
2.633	5.809E-2
2.650	6.345E-2
2.667	6.702E-2
2.683	7.059E-2
2.700	7.371E-2
2.717	7.862E-2
2.733	8.398E-2
2.750	8.844E-2
2.767	9.424E-2
2.783	9.870E-2
2.800	0.104
2.817	0.109
2.833	0.115
2.850	0.122
2.867	0.128
2.883	0.135
2.900	0.140
2.917	0.145
2.933	0.150
2.950	0.158
2.967	0.164
2.983	0.169
3.000	0.176
3.017	0.181
3.033	0.186
3.050	0.192
3.067	0.199
3.083	0.205
3.100	0.211
3.117	0.218
3.133	0.224
3.150	0.230
3.167	0.235
3.183	0.242
3.200	0.246
3.217	0.250
3.233	0.254
3.250	0.262
3.267	0.266
3.283	0.269
3.300	0.274
3.317	0.278
3.333	0.284
3.350	0.288
3.367	0.292
3.383	0.293
3.400	0.297
3.417	0.300
3.433	0.304
3.450	0.308
3.467	0.308
3.483	0.309
3.500	0.313
3.517	0.313
3.533	0.315
3.550	0.316
3.567	0.317
3.583	0.318
3.600	0.319
3.617	0.318
3.633	0.314
3.650	0.313
3.667	0.312
3.683	0.311
3.700	0.312
3.717	0.309
3.733	0.305
3.750	0.307
