	mass_A
t	x
2.074000E1	-2.815707E-1
2.075167E1	-2.815594E-1
2.075667E1	-2.816169E-1
2.076000E1	-2.811175E-1
2.076500E1	-2.812542E-1
2.076833E1	-2.812873E-1
2.077333E1	-2.810984E-1
2.077667E1	-2.804910E-1
2.078500E1	-2.804875E-1
2.079000E1	-2.802111E-1
2.079333E1	-2.797492E-1
2.079833E1	-2.787322E-1
2.080667E1	-2.788080E-1
2.081000E1	-2.785036E-1
2.081500E1	-2.783562E-1
2.081833E1	-2.780411E-1
2.082333E1	-2.775039E-1
2.082667E1	-2.769133E-1
2.083167E1	-2.763554E-1
2.083500E1	-2.758261E-1
2.084000E1	-2.751279E-1
2.084333E1	-2.745812E-1
2.084833E1	-2.738132E-1
2.085667E1	-2.732231E-1
2.086000E1	-2.724898E-1
2.086500E1	-2.721760E-1
2.086833E1	-2.718469E-1
2.087333E1	-2.712850E-1
2.087667E1	-2.707514E-1
2.088167E1	-2.703810E-1
2.088500E1	-2.700483E-1
2.089000E1	-2.694867E-1
2.089333E1	-2.687953E-1
2.089833E1	-2.683448E-1
2.090167E1	-2.670031E-1
2.091000E1	-2.662603E-1
2.091500E1	-2.653106E-1
2.091833E1	-2.639986E-1
2.092667E1	-2.632591E-1
2.093167E1	-2.626546E-1
2.093500E1	-2.617224E-1
2.094000E1	-2.609637E-1
2.094333E1	-2.599545E-1
2.094833E1	-2.591647E-1
2.095167E1	-2.583269E-1
2.095667E1	-2.575660E-1
2.096000E1	-2.568211E-1
2.096500E1	-2.560059E-1
2.096833E1	-2.541521E-1
2.097667E1	-2.533526E-1
2.098167E1	-2.525119E-1
2.098500E1	-2.505850E-1
2.099333E1	-2.495705E-1
2.099833E1	-2.487481E-1
2.100167E1	-2.479819E-1
2.100667E1	-2.471098E-1
2.101000E1	-2.460403E-1
2.101500E1	-2.450873E-1
2.101833E1	-2.441773E-1
2.102333E1	-2.430774E-1
2.102667E1	-2.419326E-1
2.103167E1	-2.411389E-1
2.103500E1	-2.389725E-1
2.104333E1	-2.380214E-1
2.104833E1	-2.370329E-1
2.105167E1	-2.359747E-1
2.105667E1	-2.347512E-1
2.106000E1	-2.334901E-1
2.106500E1	-2.326075E-1
2.106833E1	-2.312416E-1
2.107333E1	-2.302523E-1
2.107667E1	-2.288413E-1
2.108167E1	-2.276355E-1
2.108500E1	-2.264805E-1
2.109000E1	-2.255623E-1
2.109333E1	-2.228147E-1
2.110167E1	-2.204599E-1
2.111000E1	-2.193100E-1
2.111500E1	-2.180043E-1
2.111833E1	-2.168957E-1
2.112333E1	-2.157329E-1
2.112667E1	-2.144746E-1
2.113167E1	-2.131613E-1
2.113500E1	-2.117145E-1
2.114000E1	-2.102787E-1
2.114333E1	-2.088514E-1
2.114833E1	-2.075106E-1
2.115167E1	-2.061732E-1
2.115667E1	-2.049800E-1
2.116000E1	-2.008151E-1
2.117333E1	-1.996423E-1
2.117667E1	-1.982397E-1
