mass_A
t	x
0.000	181.0
0.033	180.9
0.067	180.9
0.100	180.9
0.133	180.9
0.167	180.9
0.200	180.8
0.233	181.1
0.267	181.1
0.300	181.5
0.333	181.0
0.367	181.0
0.400	181.0
0.433	181.1
0.467	181.0
0.500	181.1
0.533	181.0
0.567	181.0
0.600	181.0
0.633	180.8
0.667	180.9
0.700	181.2
0.733	181.1
0.767	180.7
0.800	180.8
0.833	180.9
0.867	180.9
0.900	181.0
0.933	181.0
0.967	181.0
1.000	181.0
1.033	181.0
1.067	181.0
1.100	180.9
1.133	181.0
1.167	181.0
1.200	181.0
1.233	181.0
1.267	181.0
1.300	181.0
1.333	181.0
1.367	181.0
1.400	181.0
1.433	181.0
1.467	181.0
1.500	181.0
1.533	181.0
1.567	181.0
1.600	181.0
1.633	181.0
1.667	181.0
1.700	181.0
1.733	181.0
1.767	181.0
1.800	181.0
1.833	181.0
1.867	181.0
1.900	181.0
1.933	181.0
1.967	181.1
2.000	182.3
2.033	185.0
2.100	186.1
2.133	184.8
2.167	181.0
2.200	177.1
2.233	172.0
2.267	161.5
2.300	152.5
2.333	140.5
2.367	128.0
2.400	116.0
2.433	103.5
2.467	88.00
2.500	74.12
2.533	58.32
2.567	42.81
2.600	26.85
2.633	11.17
2.667	-4.372
2.700	-19.49
2.733	-34.07
2.767	-47.95
2.800	-61.03
2.833	-73.83
2.867	-85.05
2.900	-95.37
2.933	-104.0
2.967	-111.7
3.000	-117.9
3.033	-123.0
3.067	-126.2
3.100	-128.1
3.133	-128.6
3.167	-127.5
3.200	-124.9
3.233	-120.9
3.267	-115.3
3.300	-108.3
3.333	-99.90
3.367	-90.70
3.400	-80.15
3.433	-68.49
3.467	-55.59
3.500	-42.13
3.533	-28.04
3.567	-13.31
3.600	1.884
3.633	17.34
3.667	32.73
3.700	48.39
3.733	63.84
3.767	78.62
3.800	93.07
3.833	107.1
3.867	120.2
3.900	132.2
3.933	143.2
3.967	154.3
4.000	162.8
4.033	170.1
4.067	175.9
4.100	179.7
4.133	182.2
4.167	182.9
4.200	182.0
4.233	179.6
4.267	175.1
4.300	169.4
4.333	162.0
4.367	153.3
4.400	143.2
4.433	131.7
4.467	119.6
4.500	106.4
4.533	92.72
4.567	78.19
4.600	63.21
4.633	47.81
4.667	32.47
4.700	17.00
4.733	1.885
4.767	-13.00
4.800	-27.56
4.833	-41.69
4.867	-54.92
4.900	-67.35
4.933	-78.91
4.967	-89.22
5.000	-98.14
5.033	-106.1
5.067	-112.9
5.100	-118.3
5.133	-121.9
5.167	-124.4
5.200	-125.1
5.233	-124.4
5.267	-122.2
5.300	-118.9
5.333	-114.0
5.367	-107.9
5.400	-100.1
5.433	-91.27
5.467	-81.25
5.500	-70.16
5.533	-58.41
5.567	-45.38
5.600	-31.64
5.633	-17.47
5.667	-2.829
5.700	12.01
5.733	27.06
5.767	42.06
5.800	57.13
5.833	72.06
5.867	86.69
5.900	100.2
5.933	113.2
5.967	125.5
6.000	136.6
6.033	146.9
6.067	155.7
6.100	163.7
6.133	169.8
6.167	174.3
6.200	177.1
6.233	178.7
6.267	178.7
6.300	177.0
6.333	173.9
6.367	168.8
6.400	162.6
6.433	154.8
6.467	145.6
6.500	135.3
6.533	123.9
6.567	111.6
6.600	98.35
6.633	84.63
6.667	68.38
6.700	53.29
6.733	38.29
6.767	23.01
6.800	8.153
6.833	-6.859
6.867	-20.97
6.900	-34.95
6.933	-47.97
6.967	-60.49
7.000	-72.08
7.033	-82.59
7.067	-92.10
7.100	-100.3
7.133	-107.1
7.167	-113.0
7.200	-117.1
7.233	-120.1
7.267	-121.3
7.300	-121.2
7.333	-120.0
7.367	-117.0
7.400	-112.6
7.433	-107.2
7.467	-100.2
7.500	-91.99
7.533	-82.48
7.567	-72.11
7.600	-60.78
7.633	-48.44
7.667	-35.33
7.700	-21.66
7.733	-7.550
7.767	6.847
7.800	21.71
7.833	36.49
7.867	51.10
7.900	65.72
7.933	79.91
7.967	93.91
8.000	106.7
8.033	119.0
8.067	130.5
8.100	141.0
8.133	150.1
8.167	157.9
8.200	164.2
8.233	169.2
8.267	173.0
8.300	174.9
8.333	175.3
8.367	174.2
8.400	171.7
8.433	167.4
8.467	161.7
8.500	154.7
8.533	146.2
8.567	136.3
8.600	125.7
8.633	114.0
8.667	101.3
8.700	88.03
8.733	73.99
8.767	59.65
8.800	45.09
8.833	30.59
8.867	15.77
8.900	1.170
8.933	-13.01
8.967	-26.80
9.000	-40.10
9.033	-52.51
9.067	-64.09
9.100	-74.95
9.133	-84.97
