	mass_A
t	x
2.069833E1	7.635944E-4
2.070167E1	1.627718E-3
2.070667E1	1.195656E-3
2.071000E1	1.195656E-3
2.072667E1	5.475635E-4
2.073167E1	8.436059E-4
2.073500E1	1.013170E-3
2.074000E1	1.248286E-3
2.074833E1	9.090056E-4
2.075167E1	9.124068E-4
2.075667E1	1.381653E-3
2.076000E1	1.811699E-3
2.076500E1	2.084091E-3
2.076833E1	1.934367E-3
2.077333E1	2.269311E-3
2.077667E1	2.683817E-3
2.078500E1	3.025728E-3
2.079000E1	3.167313E-3
2.079333E1	3.361965E-3
2.079833E1	4.218660E-3
2.080667E1	4.452451E-3
2.081000E1	4.907243E-3
2.081500E1	4.883991E-3
2.081833E1	5.340779E-3
2.082333E1	5.705382E-3
2.082667E1	6.270315E-3
2.083167E1	6.649674E-3
2.083500E1	7.224391E-3
2.084000E1	7.709305E-3
2.084333E1	7.946477E-3
2.084833E1	9.206924E-3
2.085667E1	9.734177E-3
2.086000E1	1.036292E-2
2.086500E1	1.080058E-2
2.086833E1	1.099098E-2
2.087333E1	1.173340E-2
2.087667E1	1.228649E-2
2.088167E1	1.300325E-2
2.088500E1	1.340880E-2
2.089000E1	1.411546E-2
2.089333E1	1.451173E-2
2.089833E1	1.528492E-2
2.090167E1	1.661929E-2
2.091000E1	1.726774E-2
2.091500E1	1.808095E-2
2.091833E1	1.938777E-2
2.092667E1	2.013203E-2
2.093167E1	2.062972E-2
2.093500E1	2.146970E-2
2.094000E1	2.231518E-2
2.094333E1	2.316193E-2
2.094833E1	2.391808E-2
2.095167E1	2.485641E-2
2.095667E1	2.582298E-2
2.096000E1	2.656468E-2
2.096500E1	2.733994E-2
2.096833E1	2.920599E-2
2.097667E1	2.994677E-2
2.098167E1	3.074313E-2
2.098500E1	3.272508E-2
2.099333E1	3.360858E-2
2.099833E1	3.453857E-2
2.100167E1	3.527269E-2
2.100667E1	3.628476E-2
2.101000E1	3.722184E-2
2.101500E1	3.834788E-2
2.101833E1	3.710739E-2
2.102333E1	3.787589E-2
2.102667E1	3.866818E-2
2.103167E1	3.942159E-2
2.103500E1	4.172290E-2
2.104333E1	4.283662E-2
2.104833E1	4.403101E-2
2.105167E1	4.481533E-2
2.105667E1	4.595901E-2
2.106000E1	4.712060E-2
2.106500E1	4.821039E-2
2.106833E1	4.938933E-2
2.107333E1	5.054466E-2
2.107667E1	5.140529E-2
2.108167E1	5.289542E-2
2.108500E1	5.366524E-2
2.109000E1	5.486570E-2
2.109333E1	5.744068E-2
2.110167E1	5.981352E-2
2.111000E1	6.100576E-2
2.111500E1	6.218912E-2
2.111833E1	6.334166E-2
2.112333E1	6.475891E-2
2.112667E1	6.597334E-2
2.113167E1	6.719084E-2
2.113500E1	6.866867E-2
2.114000E1	6.979866E-2
2.114333E1	7.134299E-2
2.114833E1	7.247939E-2
2.115167E1	7.401280E-2
2.115667E1	7.521821E-2
2.116000E1	7.942397E-2
2.117333E1	8.060294E-2
2.117667E1	8.216260E-2
2.118167E1	8.365441E-2
2.118500E1	8.485381E-2
2.119000E1	8.635287E-2
2.119333E1	8.789085E-2
2.119833E1	8.907489E-2
2.120167E1	9.059968E-2
2.120667E1	9.213641E-2
2.121000E1	9.333644E-2
2.121500E1	9.485624E-2
2.121833E1	9.638415E-2
2.122333E1	1.010061E-1
2.123500E1	1.021587E-1
2.124000E1	1.037159E-1
2.124333E1	1.052477E-1
2.124833E1	1.082961E-1
2.125667E1	1.098419E-1
2.126000E1	1.117435E-1
2.126500E1	1.148850E-1
2.126833E1	1.172855E-1
2.127333E1	1.179714E-1
2.127667E1	1.190002E-1
2.128167E1	1.207149E-1
2.128500E1	1.234585E-1
2.129000E1	1.265449E-1
2.129333E1	1.279167E-1
2.129833E1	1.299743E-1
2.130667E1	1.313461E-1
2.131000E1	1.327178E-1
2.131500E1	1.334037E-1
2.131833E1	1.354614E-1
2.132333E1	1.368331E-1
2.132667E1	1.385478E-1
2.133167E1	1.399196E-1
2.133500E1	1.416343E-1
2.134000E1	1.433490E-1
2.134333E1	1.457496E-1
2.134833E1	1.481502E-1
2.136167E1	1.515796E-1
2.136500E1	1.546660E-1
2.137000E1	1.563807E-1
2.137333E1	1.574095E-1
2.137833E1	1.583622E-1
2.138167E1	1.600940E-1
2.138667E1	1.618258E-1
2.139000E1	1.631728E-1
2.139500E1	1.645198E-1
2.139833E1	1.656744E-1
2.140333E1	1.670214E-1
2.140667E1	1.681760E-1
2.141167E1	1.729582E-1
2.142333E1	1.741404E-1
2.143667E1	1.824156E-1
2.144000E1	1.872736E-1
2.144500E1	1.895426E-1
2.144833E1	1.914260E-1
2.145333E1	1.929937E-1
2.145667E1	1.948784E-1
2.146167E1	1.964555E-1
2.146500E1	1.983385E-1
2.147000E1	1.998627E-1
2.147333E1	2.014730E-1
2.147833E1	2.064602E-1
2.150333E1	2.079790E-1
