mass_A
t	x
3.167	-345.1
3.200	-333.3
3.233	-315.7
3.267	-297.3
3.300	-274.6
3.333	-253.7
3.367	-228.0
3.400	-200.4
3.433	-172.8
3.467	-143.3
3.500	-118.5
3.533	-92.83
3.567	-66.17
3.600	-46.18
3.633	-28.09
3.667	-9.997
3.700	3.332
3.733	14.76
3.767	22.37
3.800	27.13
3.833	29.99
3.867	29.99
3.900	28.22
3.933	22.39
3.967	14.02
4.000	1.769
4.033	-11.96
4.067	-29.28
4.100	-50.44
4.133	-70.15
4.167	-97.59
4.200	-123.3
4.233	-153.8
4.267	-177.6
4.300	-203.3
4.333	-231.8
4.367	-256.6
4.400	-279.4
4.433	-295.6
4.467	-312.5
4.500	-328.0
4.533	-339.5
4.567	-349.0
4.600	-355.2
4.633	-358.9
4.667	-360.2
4.700	-359.0
4.733	-355.3
4.767	-349.1
4.800	-339.8
4.833	-328.8
4.867	-313.8
4.900	-295.2
4.933	-274.6
4.967	-255.6
5.000	-229.9
5.033	-203.3
5.067	-177.6
5.100	-151.9
5.133	-125.2
5.167	-99.49
5.200	-75.69
5.233	-56.65
5.267	-38.56
5.300	-18.99
5.333	-5.352
5.367	5.296
5.400	13.49
5.433	18.84
5.467	21.66
5.500	21.86
5.533	19.47
5.567	13.93
5.600	5.912
5.633	-4.908
5.667	-18.84
5.700	-35.67
5.733	-54.21
5.767	-74.94
5.800	-100.4
5.833	-124.2
5.867	-149.9
5.900	-179.5
5.933	-202.3
5.967	-226.1
6.000	-249.9
6.033	-272.8
6.067	-291.8
6.100	-304.6
6.133	-318.7
6.167	-330.8
6.200	-339.2
6.233	-345.9
6.267	-349.3
6.300	-350.2
6.333	-349.4
6.367	-345.7
6.400	-339.4
6.433	-330.8
6.467	-319.0
6.500	-304.0
6.533	-286.9
6.567	-267.3
6.600	-245.4
6.633	-228.0
6.667	-203.3
6.700	-177.6
6.733	-156.6
6.767	-129.0
6.800	-104.3
6.833	-82.35
6.867	-60.46
6.900	-43.32
6.933	-28.09
6.967	-17.61
7.000	-6.188
7.033	2.380
7.067	8.093
7.100	11.90
7.133	9.997
7.167	9.645
7.200	4.620
7.233	-3.291
7.267	-14.23
7.300	-27.12
7.333	-43.15
7.367	-60.88
7.400	-79.50
7.433	-108.1
7.467	-129.0
7.500	-152.8
7.533	-179.5
7.567	-203.3
7.600	-225.2
7.633	-248.0
7.667	-268.0
7.700	-286.1
7.733	-296.7
7.767	-311.1
7.800	-322.0
7.833	-330.9
7.867	-337.0
7.900	-340.3
7.933	-341.8
7.967	-340.7
8.000	-336.9
8.033	-330.9
8.067	-322.1
8.100	-310.4
8.133	-297.1
8.167	-280.1
8.200	-262.3
8.233	-246.1
8.267	-221.4
8.300	-195.6
8.333	-172.8
8.367	-149.9
8.400	-128.1
8.433	-107.1
8.467	-85.21
8.500	-66.17
8.533	-51.89
8.567	-33.75
8.600	-21.72
8.633	-12.22
8.667	-5.226
8.700	-0.210
8.733	2.017
8.767	1.413
8.800	-1.506
8.833	-6.707
8.867	-15.04
8.900	-26.01
8.933	-38.71
8.967	-54.31
9.000	-72.02
9.033	-91.18
9.067	-113.2
9.100	-136.6
9.133	-158.5
9.167	-182.3
9.200	-205.2
9.233	-229.0
9.267	-247.1
9.300	-265.1
9.333	-282.3
9.367	-294.9
9.400	-307.1
9.433	-317.3
9.467	-324.8
9.500	-330.1
9.533	-332.7
9.567	-333.0
9.600	-331.3
9.633	-326.8
9.667	-320.1
9.700	-310.4
9.733	-298.9
9.767	-285.2
9.800	-268.3
9.833	-249.4
9.867	-230.1
9.900	-209.2
9.933	-193.7
9.967	-168.0
10.000	-145.2
10.033	-125.2
10.067	-105.2
10.100	-88.07
10.133	-68.07
10.167	-52.84
10.200	-38.97
10.233	-27.85
10.267	-19.13
10.300	-13.21
10.333	-9.253
10.367	-7.961
10.400	-9.095
10.433	-13.05
10.467	-18.85
10.500	-27.53
10.533	-37.92
10.567	-51.32
10.600	-66.27
10.633	-83.63
10.667	-103.3
10.700	-125.2
10.733	-145.2
10.767	-166.1
10.800	-189.0
10.833	-209.9
10.867	-230.9
10.900	-248.0
10.933	-264.2
10.967	-278.6
11.000	-291.2
11.033	-301.9
11.067	-310.4
11.100	-317.2
11.133	-321.2
11.167	-323.1
11.200	-322.9
11.233	-320.3
11.267	-315.3
11.300	-308.1
11.333	-298.3
11.367	-286.2
11.400	-272.9
11.433	-255.3
11.467	-237.3
11.500	-220.4
11.533	-201.4
11.567	-180.4
11.600	-160.4
11.633	-140.4
11.667	-120.4
11.700	-101.4
11.733	-83.31
11.767	-67.37
11.800	-54.11
11.833	-41.42
11.867	-32.34
11.900	-24.67
11.933	-20.36
11.967	-17.67
12.000	-17.67
12.033	-19.69
12.067	-24.87
12.100	-31.89
12.133	-40.59
12.167	-51.61
12.200	-65.03
12.233	-80.64
12.267	-97.03
12.300	-115.6
12.333	-135.4
12.367	-154.7
12.400	-176.6
12.433	-197.6
12.467	-214.9
12.500	-233.0
12.533	-250.1
12.567	-265.0
12.600	-278.2
12.633	-289.8
12.667	-299.5
12.700	-306.8
12.733	-311.3
12.767	-314.3
12.800	-315.0
12.833	-313.4
12.867	-310.0
12.900	-304.1
