time,gFx,gFy,gFz,gFTotal
0.000,-0.048,-0.038,-0.992,0.994
0.010,-0.049,-0.037,-0.992,0.994
0.020,-0.049,-0.038,-0.991,0.993
0.030,-0.048,-0.039,-0.995,0.997
0.040,-0.049,-0.037,-0.997,0.999
0.050,-0.050,-0.039,-0.997,0.999
0.060,-0.049,-0.040,-0.998,1.000
0.070,-0.049,-0.039,-0.997,0.999
0.080,-0.049,-0.039,-0.995,0.997
0.090,-0.050,-0.037,-0.992,0.994
0.100,-0.049,-0.036,-0.993,0.995
0.110,-0.049,-0.037,-0.993,0.995
0.120,-0.049,-0.036,-0.996,0.998
0.130,-0.048,-0.038,-0.997,0.998
0.140,-0.048,-0.039,-0.996,0.997
0.150,-0.047,-0.039,-0.993,0.995
0.160,-0.048,-0.039,-0.994,0.996
0.170,-0.047,-0.039,-0.995,0.997
0.179,-0.048,-0.039,-0.996,0.998
0.190,-0.047,-0.039,-0.995,0.997
0.200,-0.049,-0.038,-0.994,0.995
0.209,-0.047,-0.039,-0.993,0.995
0.219,-0.048,-0.038,-0.994,0.996
0.229,-0.049,-0.038,-0.994,0.996
0.239,-0.049,-0.038,-0.996,0.998
0.249,-0.049,-0.037,-0.997,0.999
0.259,-0.050,-0.038,-0.996,0.998
0.269,-0.049,-0.037,-0.994,0.996
0.279,-0.049,-0.038,-0.993,0.995
0.289,-0.050,-0.038,-0.993,0.995
0.299,-0.048,-0.040,-0.995,0.997
0.309,-0.050,-0.039,-0.998,1.000
0.319,-0.049,-0.039,-0.999,1.001
0.329,-0.048,-0.038,-0.995,0.997
0.339,-0.048,-0.038,-0.991,0.993
0.349,-0.047,-0.039,-0.990,0.992
0.359,-0.048,-0.039,-0.994,0.995
0.369,-0.049,-0.039,-0.998,1.000
0.379,-0.047,-0.039,-0.998,1.000
0.389,-0.047,-0.039,-0.999,1.001
0.399,-0.048,-0.037,-0.997,0.999
0.409,-0.047,-0.038,-0.996,0.998
0.419,-0.048,-0.037,-0.994,0.996
0.429,-0.047,-0.038,-0.993,0.995
0.439,-0.047,-0.038,-0.992,0.994
0.449,-0.050,-0.038,-0.993,0.995
0.459,-0.049,-0.040,-0.997,0.999
0.469,-0.051,-0.040,-0.997,0.999
0.479,-0.051,-0.040,-0.997,0.999
0.489,-0.050,-0.040,-0.995,0.997
0.499,-0.050,-0.038,-0.994,0.996
0.509,-0.051,-0.037,-0.994,0.996
0.519,-0.050,-0.036,-0.995,0.997
0.528,-0.049,-0.036,-0.996,0.998
0.539,-0.050,-0.037,-0.996,0.998
0.548,-0.049,-0.038,-0.995,0.997
0.558,-0.048,-0.037,-0.994,0.996
0.568,-0.048,-0.039,-0.995,0.997
0.578,-0.047,-0.038,-0.995,0.997
0.588,-0.047,-0.039,-0.992,0.994
0.598,-0.047,-0.039,-0.993,0.995
0.608,-0.047,-0.039,-0.995,0.997
0.618,-0.045,-0.038,-0.998,0.999
0.628,-0.048,-0.038,-0.998,1.000
0.638,-0.047,-0.038,-0.996,0.998
0.648,-0.048,-0.036,-0.993,0.995
0.658,-0.048,-0.038,-0.995,0.997
0.668,-0.048,-0.039,-0.995,0.997
0.678,-0.050,-0.038,-0.995,0.997
0.688,-0.049,-0.037,-0.994,0.996
0.698,-0.050,-0.038,-0.995,0.997
0.708,-0.051,-0.038,-0.998,1.000
0.718,-0.051,-0.039,-0.995,0.997
0.728,-0.050,-0.038,-0.993,0.995
0.738,-0.051,-0.038,-0.993,0.995
0.748,-0.051,-0.038,-0.996,0.998
0.758,-0.050,-0.038,-0.997,0.999
0.768,-0.050,-0.038,-0.997,0.999
0.778,-0.049,-0.036,-0.993,0.995
0.788,-0.049,-0.038,-0.990,0.992
0.798,-0.047,-0.037,-0.992,0.994
0.808,-0.046,-0.038,-0.995,0.997
0.818,-0.048,-0.039,-0.998,1.000
0.828,-0.048,-0.037,-0.999,1.001
0.838,-0.046,-0.037,-0.998,1.000
0.848,-0.047,-0.037,-0.996,0.998
0.858,-0.048,-0.038,-0.992,0.994
0.868,-0.047,-0.038,-0.991,0.993
0.877,-0.048,-0.039,-0.994,0.995
0.888,-0.049,-0.038,-0.998,0.999
0.897,-0.050,-0.040,-0.999,1.001
0.907,-0.051,-0.037,-0.999,1.001
0.918,-0.049,-0.036,-0.995,0.997
0.927,-0.049,-0.037,-0.993,0.995
0.937,-0.049,-0.037,-0.992,0.994
0.947,-0.050,-0.038,-0.994,0.996
0.957,-0.051,-0.036,-0.995,0.997
0.967,-0.050,-0.037,-0.996,0.998
0.977,-0.050,-0.039,-0.997,0.999
0.987,-0.049,-0.038,-0.995,0.996
0.997,-0.049,-0.038,-0.994,0.996
1.007,-0.049,-0.038,-0.994,0.996
1.017,-0.047,-0.037,-0.994,0.996
1.027,-0.047,-0.037,-0.996,0.998
1.037,-0.047,-0.038,-0.995,0.997
1.047,-0.047,-0.038,-0.994,0.996
1.057,-0.048,-0.039,-0.995,0.997
1.067,-0.046,-0.038,-0.996,0.997
1.077,-0.048,-0.035,-0.994,0.996
1.087,-0.048,-0.038,-0.994,0.996
1.097,-0.048,-0.038,-0.995,0.997
1.107,-0.048,-0.037,-0.996,0.998
1.117,-0.048,-0.037,-0.996,0.998
1.127,-0.048,-0.038,-0.996,0.998
1.137,-0.049,-0.038,-0.995,0.997
1.147,-0.049,-0.039,-0.994,0.996
1.157,-0.050,-0.039,-0.994,0.996
1.167,-0.051,-0.039,-0.994,0.996
1.176,-0.050,-0.038,-0.995,0.997
1.187,-0.050,-0.037,-0.997,0.999
1.196,-0.049,-0.038,-0.995,0.996
1.207,-0.050,-0.038,-0.994,0.996
1.216,-0.050,-0.036,-0.995,0.997
1.226,-0.048,-0.036,-0.995,0.997
1.236,-0.047,-0.038,-0.994,0.996
1.246,-0.048,-0.038,-0.997,0.999
1.256,-0.048,-0.038,-0.996,0.998
1.266,-0.047,-0.038,-0.996,0.998
1.276,-0.047,-0.039,-0.995,0.997
1.286,-0.048,-0.038,-0.993,0.995
1.296,-0.047,-0.040,-0.991,0.993
1.306,-0.049,-0.038,-0.991,0.993
1.316,-0.047,-0.038,-0.994,0.996
1.326,-0.049,-0.038,-0.998,1.000
1.336,-0.049,-0.039,-0.998,1.000
1.346,-0.050,-0.038,-0.997,0.999
1.356,-0.050,-0.038,-0.994,0.996
1.366,-0.051,-0.036,-0.991,0.993
