"t(s)","a(m/s²)"
2.114999952E-4,9.805509338E0
1.018049999E-2,9.816735992E0
2.015050000E-2,9.823771362E0
3.011949999E-2,9.800868988E0
4.008850000E-2,9.756112061E0
5.005850000E-2,9.719887390E0
6.002749999E-2,9.729168091E0
6.999649999E-2,9.745334473E0
7.996649999E-2,9.741292877E0
8.993550000E-2,9.776918793E0
9.990449999E-2,9.767039337E0
1.098745000E-1,9.782457275E0
1.198435000E-1,9.786199493E0
1.298125000E-1,9.787995758E0
1.397825000E-1,9.785750427E0
1.497515000E-1,9.792187042E0
1.597205000E-1,9.771080933E0
1.696905000E-1,9.755363617E0
1.796595000E-1,9.750274200E0
1.896285000E-1,9.757010193E0
1.995985000E-1,9.774074707E0
2.095675000E-1,9.786498871E0
2.195365000E-1,9.780661011E0
2.295065000E-1,9.778265991E0
2.394755000E-1,9.777367859E0
2.494445000E-1,9.755363617E0
2.594145000E-1,9.757459259E0
2.693835000E-1,9.749825134E0
2.793525000E-1,9.765692139E0
2.893215000E-1,9.756860504E0
2.992915000E-1,9.772128754E0
3.092605000E-1,9.773775330E0
3.192295000E-1,9.798773346E0
3.291995000E-1,9.795629883E0
3.391685000E-1,9.767488403E0
3.491375000E-1,9.761800232E0
3.591075000E-1,9.749376068E0
3.690765000E-1,9.772727509E0
3.790455000E-1,9.757908325E0
3.890155000E-1,9.783654785E0
3.989845000E-1,9.773775330E0
4.089535000E-1,9.759704590E0
4.189235000E-1,9.771380310E0
4.288925000E-1,9.755513306E0
4.388615000E-1,9.767488403E0
4.488315000E-1,9.770182800E0
4.588005000E-1,9.789492645E0
4.687695000E-1,9.796378326E0
4.787395000E-1,9.763596497E0
4.887085000E-1,9.762548676E0
4.986775000E-1,9.741592255E0
5.086475000E-1,9.769733734E0
5.186165000E-1,9.768835602E0
5.285855000E-1,9.760003967E0
5.385555000E-1,9.756411438E0
5.485245000E-1,9.762099609E0
5.584935000E-1,9.765542450E0
5.684625000E-1,9.777816925E0
5.784325000E-1,9.784552917E0
5.884015000E-1,9.770332489E0
5.983705000E-1,9.774374084E0
6.083405000E-1,9.775122528E0
6.183095000E-1,9.765542450E0
6.282905000E-1,9.751771088E0
6.382775000E-1,9.781708832E0
6.482635000E-1,9.765392761E0
6.582495000E-1,9.779463501E0
6.682355000E-1,9.778565369E0
6.782225833E-1,9.762698364E0
6.882085833E-1,9.772128754E0
6.981955833E-1,9.738299103E0
7.081815833E-1,9.739795990E0
7.181665833E-1,9.732760620E0
7.281545833E-1,9.766290894E0
7.381405833E-1,9.797575836E0
7.481265833E-1,9.780361633E0
7.581125833E-1,9.773925018E0
7.680985833E-1,9.767488403E0
7.780835833E-1,9.769733734E0
7.880695833E-1,9.756411438E0
7.980565833E-1,9.738748169E0
8.080425833E-1,9.766889648E0
8.180285833E-1,9.758956146E0
8.280155833E-1,9.774972839E0
8.380025833E-1,9.776469727E0
8.479875833E-1,9.765542450E0
8.579735833E-1,9.775721283E0
8.679605833E-1,9.762698364E0
8.779475833E-1,9.761949921E0
8.879335833E-1,9.743687897E0
8.979195833E-1,9.778864746E0
9.079065833E-1,9.786199493E0
9.178935833E-1,9.785151672E0
9.278805833E-1,9.764195251E0
9.378665833E-1,9.768835602E0
9.478535833E-1,9.753417664E0
9.578415833E-1,9.768386536E0
9.678285833E-1,9.761800232E0
9.778145833E-1,9.751022644E0
9.877995833E-1,9.749525757E0
9.977855833E-1,9.766590271E0
1.007772583E0,9.781110077E0
1.017759583E0,9.772727509E0
1.027745583E0,9.775870972E0
1.037732583E0,9.783205719E0
1.047718583E0,9.765841827E0
1.057704583E0,9.764943695E0
1.067690583E0,9.762698364E0
1.077677583E0,9.768087158E0
1.087664583E0,9.771080933E0
1.097651583E0,9.765093384E0
1.107637583E0,9.764195251E0
1.117624583E0,9.763895874E0
1.127611583E0,9.767937469E0
1.137598583E0,9.763746185E0
1.147584583E0,9.753567352E0
1.157571583E0,9.760902100E0
1.167558583E0,9.777068481E0
1.177545583E0,9.776918793E0
1.187532583E0,9.744136963E0
1.197519583E0,9.754764862E0
1.207506583E0,9.783804474E0
1.217493583E0,9.789941711E0
1.227480583E0,9.765841827E0
1.237467583E0,9.777367859E0
1.247454583E0,9.793534241E0
1.257441583E0,9.768536224E0
1.267427583E0,9.748627625E0
1.277414583E0,9.760752411E0
1.287402583E0,9.758357391E0
1.297388583E0,9.742191010E0
1.307376583E0,9.739047546E0
1.317363583E0,9.763596497E0
1.327350583E0,9.770182800E0
1.337337583E0,9.784253540E0
1.347324583E0,9.780960388E0
1.357311583E0,9.763746185E0
1.367297583E0,9.768835602E0
1.377284583E0,9.768536224E0
1.387271583E0,9.766290894E0
1.397258583E0,9.783355408E0
1.407245583E0,9.782157898E0
1.417232583E0,9.761949921E0
1.427218583E0,9.765542450E0
1.437204583E0,9.750124512E0
1.447191583E0,9.756561127E0
1.457179583E0,9.774673462E0
1.467167583E0,9.768985291E0
1.477156583E0,9.754016418E0
1.487143583E0,9.772428131E0
1.497130583E0,9.775272217E0
1.507117583E0,9.761650543E0
1.517103583E0,9.766440582E0
1.527090583E0,9.763895874E0
1.537077583E0,9.752818909E0
1.547064583E0,9.754465485E0
1.557050583E0,9.770182800E0
1.567036583E0,9.766590271E0
1.577022583E0,9.764794006E0
1.587009583E0,9.768985291E0
1.596997583E0,9.786648560E0
1.606985583E0,9.782906342E0
1.616973583E0,9.774972839E0
1.626960583E0,9.763297119E0
1.636947583E0,9.771080933E0
1.646935583E0,9.765392761E0
1.656923583E0,9.746981049E0
1.666910583E0,9.761051788E0
1.676896958E0,9.773326263E0
1.686883958E0,9.756860504E0
1.696871958E0,9.774224396E0
1.706858958E0,9.765692139E0
1.716844958E0,9.761500854E0
1.726831958E0,9.766440582E0
1.736819958E0,9.783056030E0
1.746806958E0,9.769284668E0
1.756794958E0,9.772128754E0
1.766781958E0,9.764045563E0
1.776769958E0,9.750573578E0
1.786756958E0,9.771529999E0
1.796743958E0,9.780511322E0
1.806731958E0,9.763147430E0
1.816718958E0,9.756261749E0
1.826705958E0,9.763895874E0
1.836691958E0,9.778415680E0
1.846679958E0,9.780810699E0
1.856665958E0,9.767189026E0
1.866651958E0,9.773026886E0
1.876637958E0,9.758207703E0
1.886625958E0,9.755064240E0
1.896611958E0,9.757758636E0
1.906597958E0,9.765392761E0
1.916584958E0,9.768386536E0
1.926571958E0,9.764494629E0
1.936558958E0,9.758058014E0
1.946545958E0,9.768386536E0
1.956532958E0,9.764943695E0
1.966519958E0,9.767787781E0
1.976506958E0,9.765093384E0
1.986493958E0,9.774972839E0
1.996480958E0,9.787696381E0
2.006466958E0,9.775421906E0
2.016453958E0,9.764794006E0
2.026439958E0,9.760153656E0
2.036426958E0,9.761051788E0
2.046412958E0,9.744286652E0
2.056399958E0,9.758507080E0
2.066386958E0,9.764344940E0
2.076373958E0,9.778715057E0
2.086361958E0,9.771380310E0
2.096349958E0,9.771979065E0
2.106336958E0,9.761800232E0
2.116324958E0,9.774823151E0
2.126312958E0,9.771979065E0
2.136300958E0,9.769584045E0
2.146288958E0,9.754166107E0
2.156275958E0,9.759554901E0
2.166263958E0,9.758058014E0
2.176252958E0,9.760453033E0
2.186239958E0,9.770332489E0
2.196226958E0,9.783056030E0
2.206215958E0,9.778265991E0
2.216201958E0,9.781409454E0
2.226188958E0,9.776170349E0
2.236175958E0,9.760752411E0
2.246162958E0,9.765692139E0
2.256149958E0,9.766590271E0
2.266136958E0,9.761051788E0
2.276123958E0,9.771230621E0
2.286111958E0,9.750872955E0
2.296098958E0,9.775421906E0
2.306085958E0,9.764644318E0
2.316072958E0,9.758207703E0
2.326058958E0,9.780062256E0
2.336045958E0,9.771380310E0
2.346033958E0,9.764195251E0
2.356019958E0,9.771230621E0
2.366007958E0,9.774823151E0
2.375996958E0,9.782307587E0
2.385984958E0,9.770931244E0
2.395971958E0,9.764943695E0
2.405959958E0,9.774823151E0
2.415947958E0,9.770182800E0
2.425934958E0,9.757010193E0
2.435922958E0,9.738448792E0
2.445909958E0,9.734107819E0
2.455898958E0,9.761351166E0
2.465884958E0,9.763895874E0
2.475871958E0,9.771230621E0
2.485859958E0,9.774673462E0
2.495846958E0,9.775272217E0
2.505833958E0,9.770332489E0
2.515820958E0,9.778265991E0
2.525806958E0,9.756411438E0
2.535792958E0,9.770931244E0
2.545779958E0,9.762548676E0
2.555767958E0,9.770182800E0
2.565755958E0,9.763297119E0
2.575742958E0,9.765841827E0
2.585730958E0,9.762249298E0
2.595718958E0,9.756710815E0
2.605705958E0,9.770033112E0
2.615693958E0,9.786648560E0
2.625681958E0,9.782157898E0
2.635667958E0,9.773176575E0
2.645654958E0,9.769134979E0
2.655641958E0,9.771230621E0
2.665629958E0,9.776170349E0
2.675617833E0,9.766141205E0
2.685604833E0,9.767787781E0
2.695591833E0,9.776320038E0
2.705578833E0,9.770931244E0
2.715566833E0,9.748627625E0
2.725553833E0,9.754016418E0
2.735541833E0,9.771679688E0
2.745527833E0,9.774224396E0
